credit/table1.age,credit/table1.checking_status,credit/table1.duration,credit/table1.installment_commitment,credit/table1.property_magnitude,credit/table1.purpose,credit/table1.residence_since,credit_amount
50.0,no checking,24.0,4.0,real estate,furniture/equipment,4.0,3777.0
26.0,no checking,27.0,3.0,car,business,4.0,5117.0
65.0,<0,42.0,4.0,car,repairs,4.0,3394.0
52.0,no checking,12.0,4.0,real estate,radio/tv,4.0,717.0
35.0,no checking,36.0,2.0,life insurance,used car,2.0,5842.0
30.0,no checking,9.0,3.0,real estate,new car,1.0,1224.0
40.0,0<=X<200,12.0,3.0,real estate,radio/tv,3.0,1155.0
24.0,<0,21.0,2.0,real estate,new car,2.0,3763.0
48.0,<0,12.0,4.0,car,new car,4.0,1082.0
23.0,0<=X<200,48.0,2.0,car,business,2.0,15672.0
29.0,<0,12.0,3.0,real estate,new car,2.0,3499.0
21.0,no checking,60.0,2.0,car,radio/tv,4.0,15653.0
27.0,no checking,24.0,2.0,car,business,2.0,8648.0
60.0,0<=X<200,20.0,1.0,real estate,used car,4.0,6468.0
26.0,<0,24.0,2.0,real estate,used car,4.0,2812.0
29.0,0<=X<200,36.0,3.0,no known property,domestic appliance,2.0,3990.0
28.0,no checking,11.0,1.0,real estate,business,2.0,2142.0
64.0,no checking,10.0,2.0,car,new car,4.0,1364.0
38.0,0<=X<200,15.0,4.0,car,repairs,4.0,1308.0
32.0,0<=X<200,48.0,1.0,life insurance,other,2.0,18424.0
23.0,0<=X<200,12.0,2.0,real estate,business,4.0,841.0
26.0,0<=X<200,6.0,3.0,real estate,radio/tv,3.0,590.0
39.0,<0,24.0,4.0,life insurance,furniture/equipment,2.0,3345.0
65.0,<0,18.0,4.0,no known property,radio/tv,4.0,2600.0
29.0,<0,12.0,2.0,life insurance,furniture/equipment,2.0,3590.0
59.0,no checking,15.0,1.0,car,new car,4.0,5045.0
21.0,no checking,18.0,4.0,real estate,radio/tv,2.0,1126.0
29.0,<0,24.0,1.0,no known property,new car,4.0,1193.0
45.0,no checking,39.0,4.0,car,used car,2.0,8588.0
38.0,no checking,24.0,4.0,car,radio/tv,3.0,1533.0
26.0,<0,18.0,4.0,real estate,radio/tv,3.0,1345.0
30.0,<0,12.0,2.0,life insurance,furniture/equipment,3.0,1620.0
29.0,0<=X<200,36.0,4.0,no known property,furniture/equipment,1.0,9034.0
28.0,0<=X<200,18.0,3.0,real estate,new car,3.0,6260.0
25.0,0<=X<200,15.0,3.0,real estate,repairs,2.0,2631.0
35.0,no checking,12.0,3.0,no known property,radio/tv,1.0,2141.0
24.0,<0,12.0,4.0,life insurance,furniture/equipment,4.0,652.0
50.0,0<=X<200,36.0,4.0,no known property,radio/tv,4.0,2671.0
31.0,no checking,36.0,2.0,car,business,2.0,5742.0
63.0,no checking,60.0,2.0,no known property,new car,4.0,13756.0
33.0,no checking,48.0,3.0,car,business,2.0,4844.0
23.0,no checking,18.0,4.0,real estate,repairs,4.0,1943.0
25.0,0<=X<200,18.0,4.0,real estate,radio/tv,2.0,866.0
35.0,0<=X<200,18.0,4.0,life insurance,business,2.0,1941.0
33.0,no checking,24.0,4.0,car,furniture/equipment,4.0,5150.0
48.0,0<=X<200,24.0,1.0,life insurance,furniture/equipment,4.0,4351.0
38.0,>=200,24.0,4.0,no known property,new car,3.0,947.0
20.0,0<=X<200,24.0,4.0,car,radio/tv,4.0,1967.0
33.0,no checking,15.0,1.0,real estate,furniture/equipment,4.0,2186.0
37.0,0<=X<200,9.0,2.0,real estate,radio/tv,2.0,2118.0
28.0,no checking,12.0,4.0,real estate,radio/tv,2.0,776.0
23.0,no checking,15.0,1.0,car,used car,4.0,3812.0
30.0,<0,39.0,4.0,life insurance,furniture/equipment,4.0,14179.0
29.0,0<=X<200,9.0,2.0,no known property,new car,3.0,1437.0
23.0,0<=X<200,15.0,4.0,life insurance,radio/tv,1.0,1444.0
49.0,>=200,18.0,4.0,car,radio/tv,4.0,1445.0
34.0,no checking,18.0,2.0,real estate,radio/tv,3.0,2320.0
26.0,no checking,30.0,2.0,life insurance,business,2.0,4272.0
30.0,no checking,15.0,3.0,car,used car,2.0,4657.0
26.0,no checking,36.0,4.0,car,furniture/equipment,2.0,10974.0
46.0,<0,48.0,4.0,no known property,new car,4.0,3931.0
28.0,<0,9.0,4.0,car,new car,3.0,654.0
23.0,0<=X<200,24.0,1.0,no known property,radio/tv,4.0,3758.0
27.0,no checking,10.0,4.0,life insurance,new car,4.0,1309.0
26.0,<0,42.0,3.0,life insurance,radio/tv,2.0,4370.0
64.0,no checking,13.0,2.0,real estate,radio/tv,4.0,1409.0
58.0,no checking,30.0,4.0,car,radio/tv,4.0,1867.0
20.0,<0,12.0,2.0,real estate,radio/tv,2.0,1107.0
49.0,no checking,12.0,4.0,real estate,new car,2.0,640.0
33.0,no checking,24.0,4.0,real estate,new car,3.0,1474.0
35.0,no checking,12.0,4.0,car,radio/tv,4.0,976.0
27.0,no checking,36.0,4.0,car,business,4.0,7980.0
68.0,no checking,18.0,2.0,car,new car,4.0,6761.0
28.0,0<=X<200,18.0,3.0,car,new car,3.0,2278.0
37.0,0<=X<200,9.0,2.0,real estate,radio/tv,4.0,1154.0
33.0,no checking,24.0,3.0,car,education,2.0,1927.0
22.0,no checking,9.0,2.0,life insurance,furniture/equipment,4.0,2301.0
29.0,no checking,12.0,4.0,real estate,business,2.0,1412.0
24.0,<0,48.0,3.0,no known property,used car,4.0,4605.0
24.0,no checking,18.0,4.0,car,radio/tv,2.0,1800.0
34.0,no checking,6.0,1.0,real estate,radio/tv,2.0,1898.0
26.0,0<=X<200,18.0,4.0,real estate,radio/tv,4.0,1113.0
25.0,0<=X<200,45.0,4.0,life insurance,radio/tv,2.0,4746.0
23.0,0<=X<200,12.0,1.0,real estate,radio/tv,1.0,1534.0
33.0,<0,15.0,4.0,car,new car,3.0,950.0
35.0,no checking,24.0,4.0,car,used car,3.0,2346.0
43.0,<0,27.0,4.0,car,business,4.0,2442.0
28.0,no checking,15.0,4.0,no known property,furniture/equipment,2.0,3343.0
28.0,no checking,24.0,4.0,real estate,new car,2.0,1249.0
46.0,<0,15.0,4.0,life insurance,furniture/equipment,1.0,1845.0
28.0,no checking,24.0,2.0,car,used car,4.0,2603.0
58.0,0<=X<200,54.0,3.0,no known property,business,4.0,15945.0
37.0,0<=X<200,36.0,1.0,no known property,new car,4.0,12389.0
29.0,<0,24.0,4.0,car,new car,2.0,915.0
41.0,no checking,21.0,4.0,life insurance,radio/tv,3.0,3160.0
27.0,0<=X<200,9.0,4.0,car,radio/tv,4.0,1082.0
25.0,<0,15.0,2.0,life insurance,furniture/equipment,3.0,975.0
37.0,<0,36.0,1.0,life insurance,furniture/equipment,2.0,3620.0
27.0,0<=X<200,12.0,4.0,car,new car,1.0,1995.0
34.0,no checking,36.0,4.0,car,new car,4.0,6614.0
43.0,no checking,12.0,4.0,real estate,furniture/equipment,4.0,1935.0
39.0,<0,36.0,2.0,no known property,new car,4.0,3249.0
32.0,no checking,24.0,4.0,no known property,furniture/equipment,3.0,3062.0
46.0,<0,36.0,3.0,life insurance,furniture/equipment,2.0,2348.0
31.0,<0,30.0,2.0,life insurance,furniture/equipment,4.0,3108.0
59.0,<0,9.0,3.0,real estate,radio/tv,4.0,1364.0
23.0,>=200,36.0,2.0,real estate,radio/tv,2.0,3913.0
53.0,<0,24.0,3.0,no known property,new car,4.0,4870.0
28.0,0<=X<200,12.0,1.0,car,furniture/equipment,4.0,3617.0
40.0,no checking,15.0,3.0,life insurance,education,2.0,4623.0
43.0,<0,12.0,4.0,real estate,new car,2.0,1344.0
29.0,<0,21.0,4.0,car,radio/tv,2.0,3357.0
45.0,no checking,6.0,1.0,no known property,new car,3.0,6761.0
37.0,no checking,24.0,4.0,car,new car,4.0,2022.0
41.0,no checking,6.0,2.0,real estate,new car,2.0,250.0
47.0,no checking,24.0,3.0,no known property,radio/tv,3.0,5103.0
36.0,0<=X<200,36.0,4.0,real estate,radio/tv,4.0,2337.0
24.0,0<=X<200,12.0,1.0,real estate,new car,2.0,7472.0
25.0,<0,18.0,4.0,car,radio/tv,4.0,1882.0
22.0,<0,15.0,4.0,life insurance,business,4.0,806.0
43.0,no checking,24.0,4.0,car,used car,4.0,2197.0
49.0,>=200,9.0,2.0,real estate,radio/tv,4.0,1126.0
23.0,<0,6.0,1.0,life insurance,used car,2.0,1352.0
30.0,0<=X<200,18.0,2.0,car,new car,2.0,5866.0
67.0,0<=X<200,18.0,2.0,car,repairs,4.0,3872.0
46.0,no checking,24.0,4.0,real estate,radio/tv,3.0,2611.0
52.0,no checking,9.0,4.0,car,education,2.0,936.0
21.0,no checking,60.0,2.0,real estate,radio/tv,4.0,10144.0
42.0,>=200,12.0,3.0,real estate,radio/tv,3.0,409.0
38.0,no checking,24.0,3.0,car,used car,3.0,7814.0
26.0,>=200,36.0,4.0,car,radio/tv,2.0,4210.0
26.0,no checking,6.0,2.0,life insurance,new car,3.0,3518.0
36.0,no checking,21.0,1.0,car,used car,4.0,3275.0
57.0,0<=X<200,36.0,4.0,no known property,new car,2.0,14318.0
49.0,0<=X<200,12.0,4.0,real estate,radio/tv,4.0,1092.0
31.0,no checking,21.0,1.0,car,new car,2.0,2782.0
41.0,no checking,21.0,4.0,real estate,business,2.0,2580.0
19.0,0<=X<200,12.0,1.0,real estate,furniture/equipment,4.0,983.0
36.0,no checking,21.0,4.0,real estate,business,4.0,1572.0
32.0,0<=X<200,18.0,4.0,real estate,radio/tv,2.0,1301.0
35.0,0<=X<200,15.0,4.0,real estate,radio/tv,2.0,2728.0
61.0,0<=X<200,36.0,4.0,no known property,business,4.0,1953.0
23.0,<0,6.0,4.0,life insurance,education,4.0,448.0
26.0,no checking,12.0,2.0,life insurance,new car,2.0,1386.0
34.0,0<=X<200,12.0,4.0,car,used car,2.0,1860.0
64.0,0<=X<200,6.0,2.0,real estate,radio/tv,3.0,753.0
44.0,no checking,24.0,3.0,no known property,repairs,4.0,5507.0
63.0,<0,24.0,4.0,life insurance,used car,4.0,2957.0
29.0,no checking,15.0,3.0,no known property,new car,2.0,3556.0
26.0,no checking,24.0,4.0,life insurance,radio/tv,4.0,3181.0
24.0,<0,36.0,4.0,car,used car,4.0,9629.0
28.0,<0,15.0,2.0,car,new car,4.0,1403.0
48.0,<0,9.0,3.0,real estate,repairs,4.0,1288.0
30.0,no checking,30.0,4.0,car,radio/tv,2.0,2333.0
27.0,no checking,6.0,1.0,life insurance,radio/tv,1.0,1237.0
52.0,no checking,6.0,4.0,car,new car,4.0,362.0
68.0,0<=X<200,16.0,2.0,car,new car,3.0,1175.0
30.0,no checking,21.0,4.0,no known property,new car,4.0,12680.0
31.0,<0,18.0,3.0,life insurance,business,1.0,3104.0
41.0,no checking,24.0,3.0,car,used car,4.0,6313.0
25.0,no checking,12.0,3.0,car,radio/tv,2.0,1262.0
27.0,<0,9.0,3.0,no known property,new car,2.0,1422.0
24.0,<0,15.0,4.0,car,domestic appliance,2.0,1275.0
26.0,no checking,21.0,1.0,car,used car,3.0,5248.0
31.0,0<=X<200,20.0,3.0,car,used car,4.0,6148.0
21.0,no checking,27.0,3.0,real estate,new car,3.0,2570.0
26.0,0<=X<200,48.0,1.0,car,furniture/equipment,2.0,9960.0
46.0,<0,48.0,4.0,no known property,used car,4.0,6331.0
46.0,>=200,12.0,1.0,car,furniture/equipment,2.0,2251.0
47.0,no checking,15.0,2.0,life insurance,radio/tv,2.0,1316.0
36.0,<0,15.0,2.0,real estate,new car,3.0,1721.0
29.0,no checking,24.0,4.0,no known property,used car,1.0,2679.0
40.0,<0,30.0,4.0,life insurance,used car,4.0,3857.0
54.0,0<=X<200,36.0,2.0,life insurance,new car,2.0,7432.0
35.0,<0,24.0,4.0,real estate,radio/tv,4.0,2439.0
25.0,no checking,24.0,4.0,car,radio/tv,2.0,999.0
27.0,<0,12.0,4.0,real estate,new car,3.0,1168.0
30.0,no checking,18.0,4.0,life insurance,new car,1.0,1055.0
22.0,0<=X<200,12.0,2.0,car,radio/tv,1.0,1331.0
36.0,>=200,24.0,2.0,real estate,business,4.0,1275.0
28.0,0<=X<200,18.0,4.0,real estate,business,4.0,1887.0
47.0,>=200,24.0,4.0,no known property,radio/tv,2.0,1377.0
24.0,no checking,39.0,4.0,car,used car,4.0,2569.0
24.0,>=200,12.0,3.0,car,radio/tv,1.0,3016.0
25.0,<0,36.0,3.0,no known property,education,2.0,8065.0
39.0,0<=X<200,24.0,2.0,car,other,3.0,11938.0
23.0,0<=X<200,24.0,3.0,life insurance,radio/tv,2.0,1553.0
27.0,no checking,9.0,3.0,car,business,2.0,1449.0
22.0,0<=X<200,48.0,2.0,real estate,radio/tv,2.0,5951.0
30.0,0<=X<200,6.0,4.0,car,radio/tv,3.0,2063.0
28.0,>=200,21.0,1.0,car,new car,1.0,2923.0
24.0,<0,24.0,4.0,car,radio/tv,4.0,1546.0
44.0,no checking,24.0,1.0,car,radio/tv,1.0,5943.0
38.0,<0,30.0,3.0,no known property,used car,4.0,10623.0
33.0,>=200,12.0,4.0,life insurance,furniture/equipment,1.0,1474.0
25.0,<0,24.0,4.0,real estate,new car,4.0,1371.0
28.0,no checking,24.0,4.0,life insurance,radio/tv,2.0,1413.0
46.0,no checking,18.0,4.0,real estate,radio/tv,3.0,1149.0
31.0,<0,24.0,2.0,life insurance,new car,3.0,4817.0
27.0,no checking,18.0,3.0,car,used car,1.0,3850.0
54.0,<0,12.0,4.0,real estate,used car,3.0,1409.0
31.0,0<=X<200,10.0,4.0,car,furniture/equipment,2.0,1521.0
35.0,no checking,12.0,3.0,life insurance,furniture/equipment,2.0,1592.0
37.0,0<=X<200,24.0,4.0,life insurance,business,2.0,4712.0
43.0,no checking,15.0,4.0,car,radio/tv,2.0,1459.0
37.0,no checking,36.0,4.0,car,new car,4.0,3535.0
51.0,no checking,6.0,3.0,life insurance,radio/tv,2.0,1595.0
60.0,<0,24.0,4.0,car,new car,4.0,1199.0
31.0,<0,36.0,4.0,car,furniture/equipment,4.0,2746.0
45.0,0<=X<200,7.0,1.0,real estate,radio/tv,1.0,2329.0
40.0,0<=X<200,18.0,4.0,life insurance,furniture/equipment,4.0,7374.0
28.0,0<=X<200,48.0,4.0,real estate,radio/tv,4.0,3060.0
33.0,<0,18.0,4.0,car,furniture/equipment,2.0,1131.0
29.0,<0,36.0,4.0,life insurance,furniture/equipment,2.0,5179.0
23.0,<0,18.0,2.0,car,radio/tv,4.0,1936.0
32.0,<0,30.0,2.0,real estate,furniture/equipment,2.0,4583.0
43.0,<0,36.0,2.0,car,other,3.0,15857.0
44.0,no checking,12.0,4.0,real estate,new car,4.0,1163.0
49.0,0<=X<200,30.0,2.0,life insurance,furniture/equipment,2.0,8386.0
24.0,<0,24.0,4.0,life insurance,new car,4.0,1207.0
23.0,<0,18.0,4.0,car,new car,3.0,1216.0
27.0,no checking,12.0,3.0,real estate,business,2.0,1185.0
36.0,<0,12.0,2.0,car,new car,3.0,1372.0
40.0,0<=X<200,11.0,4.0,car,new car,4.0,1322.0
29.0,>=200,6.0,2.0,life insurance,radio/tv,1.0,683.0
27.0,>=200,10.0,4.0,life insurance,radio/tv,2.0,1347.0
33.0,0<=X<200,18.0,1.0,car,furniture/equipment,4.0,3244.0
31.0,0<=X<200,12.0,2.0,real estate,retraining,2.0,1410.0
40.0,>=200,15.0,4.0,car,education,4.0,1905.0
26.0,<0,18.0,1.0,life insurance,furniture/equipment,4.0,3114.0
37.0,no checking,12.0,4.0,no known property,radio/tv,4.0,2279.0
26.0,<0,12.0,4.0,real estate,new car,2.0,759.0
23.0,>=200,18.0,3.0,car,new car,2.0,1961.0
33.0,0<=X<200,18.0,4.0,car,radio/tv,2.0,1245.0
49.0,<0,24.0,4.0,no known property,used car,4.0,2964.0
40.0,no checking,10.0,4.0,life insurance,retraining,3.0,894.0
37.0,<0,12.0,3.0,real estate,new car,1.0,1274.0
24.0,0<=X<200,30.0,4.0,no known property,new car,2.0,2150.0
44.0,<0,6.0,2.0,real estate,radio/tv,3.0,2647.0
25.0,0<=X<200,12.0,2.0,car,new car,3.0,685.0
32.0,no checking,18.0,3.0,car,radio/tv,2.0,4594.0
36.0,no checking,24.0,3.0,real estate,radio/tv,4.0,2872.0
26.0,no checking,18.0,2.0,car,radio/tv,2.0,2404.0
57.0,<0,24.0,4.0,life insurance,radio/tv,4.0,1231.0
34.0,0<=X<200,48.0,4.0,no known property,business,4.0,3844.0
25.0,no checking,18.0,2.0,car,radio/tv,1.0,2238.0
24.0,<0,36.0,2.0,car,new car,1.0,9271.0
40.0,no checking,10.0,3.0,no known property,new car,2.0,1597.0
42.0,0<=X<200,27.0,2.0,no known property,business,4.0,8318.0
33.0,0<=X<200,18.0,1.0,real estate,business,1.0,4439.0
63.0,no checking,12.0,2.0,real estate,radio/tv,4.0,1655.0
24.0,0<=X<200,8.0,3.0,real estate,furniture/equipment,4.0,1237.0
23.0,<0,12.0,4.0,car,new car,2.0,900.0
24.0,0<=X<200,48.0,1.0,car,new car,2.0,8487.0
35.0,0<=X<200,6.0,4.0,life insurance,furniture/equipment,1.0,1050.0
46.0,>=200,6.0,1.0,real estate,new car,4.0,1343.0
36.0,0<=X<200,20.0,3.0,life insurance,used car,4.0,7057.0
23.0,no checking,10.0,1.0,real estate,furniture/equipment,3.0,2146.0
47.0,0<=X<200,36.0,1.0,no known property,education,4.0,12612.0
27.0,<0,6.0,4.0,real estate,domestic appliance,1.0,343.0
75.0,<0,24.0,2.0,no known property,used car,4.0,6615.0
51.0,no checking,36.0,4.0,car,radio/tv,2.0,3342.0
29.0,<0,24.0,4.0,car,radio/tv,2.0,1659.0
41.0,no checking,24.0,4.0,car,used car,2.0,3868.0
22.0,no checking,18.0,4.0,real estate,furniture/equipment,1.0,1808.0
48.0,no checking,9.0,4.0,car,new car,4.0,2134.0
29.0,no checking,12.0,4.0,car,furniture/equipment,4.0,1123.0
46.0,no checking,7.0,4.0,life insurance,radio/tv,2.0,730.0
39.0,no checking,18.0,2.0,no known property,new car,4.0,6458.0
32.0,no checking,18.0,4.0,life insurance,new car,3.0,2662.0
27.0,no checking,24.0,4.0,real estate,used car,2.0,5804.0
25.0,0<=X<200,12.0,2.0,real estate,radio/tv,1.0,1484.0
24.0,no checking,6.0,3.0,real estate,radio/tv,2.0,932.0
