checking_status,credit_amount,credit_history,duration
<0,1169.0,critical/other existing credit,6.0
0<=X<200,5951.0,existing paid,48.0
no checking,2096.0,critical/other existing credit,12.0
<0,7882.0,existing paid,42.0
<0,4870.0,delayed previously,24.0
no checking,9055.0,existing paid,36.0
no checking,2835.0,existing paid,24.0
0<=X<200,6948.0,existing paid,36.0
no checking,3059.0,existing paid,12.0
0<=X<200,5234.0,critical/other existing credit,30.0
0<=X<200,1295.0,existing paid,12.0
<0,4308.0,existing paid,48.0
0<=X<200,1567.0,existing paid,12.0
<0,1199.0,critical/other existing credit,24.0
<0,1403.0,existing paid,15.0
<0,1282.0,existing paid,24.0
no checking,2424.0,critical/other existing credit,24.0
<0,8072.0,no credits/all paid,30.0
0<=X<200,12579.0,existing paid,24.0
no checking,3430.0,existing paid,24.0
no checking,2134.0,critical/other existing credit,9.0
<0,2647.0,existing paid,6.0
<0,2241.0,critical/other existing credit,10.0
0<=X<200,1804.0,critical/other existing credit,12.0
no checking,2069.0,critical/other existing credit,10.0
<0,1374.0,existing paid,6.0
no checking,426.0,no credits/all paid,6.0
>=200,409.0,all paid,12.0
0<=X<200,2415.0,existing paid,7.0
<0,6836.0,delayed previously,60.0
0<=X<200,1913.0,existing paid,18.0
<0,4020.0,existing paid,24.0
0<=X<200,5866.0,existing paid,18.0
no checking,1264.0,critical/other existing credit,12.0
>=200,1474.0,existing paid,12.0
0<=X<200,4746.0,critical/other existing credit,45.0
no checking,6110.0,critical/other existing credit,48.0
>=200,2100.0,existing paid,18.0
>=200,1225.0,existing paid,10.0
0<=X<200,458.0,existing paid,9.0
no checking,2333.0,existing paid,30.0
0<=X<200,1158.0,existing paid,12.0
0<=X<200,6204.0,delayed previously,18.0
<0,6187.0,critical/other existing credit,30.0
<0,6143.0,critical/other existing credit,48.0
no checking,1393.0,critical/other existing credit,11.0
no checking,2299.0,existing paid,36.0
<0,1352.0,existing paid,6.0
no checking,7228.0,critical/other existing credit,11.0
no checking,2073.0,existing paid,12.0
0<=X<200,2333.0,delayed previously,24.0
0<=X<200,5965.0,delayed previously,27.0
no checking,1262.0,existing paid,12.0
no checking,3378.0,existing paid,18.0
0<=X<200,2225.0,delayed previously,36.0
no checking,783.0,all paid,6.0
0<=X<200,6468.0,existing paid,12.0
no checking,9566.0,critical/other existing credit,36.0
>=200,1961.0,existing paid,18.0
<0,6229.0,critical/other existing credit,36.0
0<=X<200,1391.0,existing paid,9.0
0<=X<200,1537.0,critical/other existing credit,15.0
0<=X<200,1953.0,no credits/all paid,36.0
0<=X<200,14421.0,no credits/all paid,48.0
no checking,3181.0,existing paid,24.0
no checking,5190.0,existing paid,27.0
no checking,2171.0,existing paid,12.0
0<=X<200,1007.0,existing paid,12.0
no checking,1819.0,existing paid,36.0
no checking,2394.0,existing paid,36.0
no checking,8133.0,existing paid,36.0
no checking,730.0,critical/other existing credit,7.0
<0,1164.0,critical/other existing credit,8.0
0<=X<200,5954.0,critical/other existing credit,42.0
<0,1977.0,existing paid,36.0
<0,1526.0,critical/other existing credit,12.0
<0,3965.0,existing paid,42.0
0<=X<200,4771.0,delayed previously,11.0
no checking,9436.0,no credits/all paid,54.0
0<=X<200,3832.0,existing paid,30.0
no checking,5943.0,existing paid,24.0
no checking,1213.0,existing paid,15.0
no checking,1568.0,existing paid,18.0
<0,1755.0,existing paid,24.0
<0,2315.0,existing paid,10.0
no checking,1412.0,critical/other existing credit,12.0
0<=X<200,1295.0,critical/other existing credit,18.0
0<=X<200,12612.0,existing paid,36.0
<0,2249.0,existing paid,18.0
<0,1108.0,no credits/all paid,12.0
no checking,618.0,critical/other existing credit,12.0
<0,1409.0,critical/other existing credit,12.0
no checking,797.0,critical/other existing credit,12.0
>=200,3617.0,critical/other existing credit,24.0
0<=X<200,1318.0,existing paid,12.0
0<=X<200,15945.0,no credits/all paid,54.0
no checking,2012.0,critical/other existing credit,12.0
0<=X<200,2622.0,existing paid,18.0
0<=X<200,2337.0,critical/other existing credit,36.0
0<=X<200,7057.0,delayed previously,20.0
no checking,1469.0,existing paid,24.0
0<=X<200,2323.0,existing paid,36.0
no checking,932.0,delayed previously,6.0
0<=X<200,1919.0,critical/other existing credit,9.0
no checking,2445.0,existing paid,12.0
0<=X<200,11938.0,critical/other existing credit,24.0
no checking,6458.0,all paid,18.0
0<=X<200,6078.0,existing paid,12.0
<0,7721.0,existing paid,24.0
0<=X<200,1410.0,existing paid,14.0
0<=X<200,1449.0,delayed previously,6.0
>=200,392.0,existing paid,15.0
0<=X<200,6260.0,existing paid,18.0
no checking,7855.0,critical/other existing credit,36.0
<0,1680.0,existing paid,12.0
no checking,3578.0,critical/other existing credit,48.0
<0,7174.0,existing paid,42.0
<0,2132.0,critical/other existing credit,10.0
<0,4281.0,critical/other existing credit,33.0
0<=X<200,2366.0,critical/other existing credit,12.0
<0,1835.0,existing paid,21.0
no checking,3868.0,critical/other existing credit,24.0
no checking,1768.0,existing paid,12.0
>=200,781.0,critical/other existing credit,10.0
0<=X<200,1924.0,existing paid,18.0
<0,2121.0,critical/other existing credit,12.0
<0,701.0,existing paid,12.0
0<=X<200,639.0,existing paid,12.0
0<=X<200,1860.0,critical/other existing credit,12.0
<0,3499.0,critical/other existing credit,12.0
0<=X<200,8487.0,existing paid,48.0
<0,6887.0,delayed previously,36.0
no checking,2708.0,existing paid,15.0
no checking,1984.0,existing paid,18.0
no checking,10144.0,existing paid,60.0
no checking,1240.0,critical/other existing credit,12.0
no checking,8613.0,delayed previously,27.0
0<=X<200,766.0,existing paid,12.0
0<=X<200,2728.0,critical/other existing credit,15.0
>=200,1881.0,existing paid,12.0
>=200,709.0,existing paid,6.0
0<=X<200,4795.0,existing paid,36.0
<0,3416.0,existing paid,27.0
<0,2462.0,existing paid,18.0
no checking,2288.0,critical/other existing credit,21.0
0<=X<200,3566.0,all paid,48.0
<0,860.0,critical/other existing credit,6.0
no checking,682.0,critical/other existing credit,12.0
<0,5371.0,critical/other existing credit,36.0
no checking,1582.0,critical/other existing credit,18.0
no checking,1346.0,existing paid,6.0
no checking,1924.0,existing paid,10.0
>=200,5848.0,existing paid,36.0
0<=X<200,7758.0,critical/other existing credit,24.0
0<=X<200,6967.0,delayed previously,24.0
<0,1282.0,existing paid,12.0
<0,1288.0,critical/other existing credit,9.0
<0,339.0,all paid,12.0
0<=X<200,3512.0,existing paid,24.0
no checking,1898.0,critical/other existing credit,6.0
no checking,2872.0,critical/other existing credit,24.0
no checking,1055.0,critical/other existing credit,18.0
no checking,1262.0,existing paid,15.0
0<=X<200,7308.0,existing paid,10.0
no checking,909.0,existing paid,36.0
no checking,2978.0,existing paid,6.0
<0,1131.0,existing paid,18.0
0<=X<200,1577.0,existing paid,11.0
no checking,3972.0,existing paid,24.0
0<=X<200,1935.0,critical/other existing credit,24.0
<0,950.0,no credits/all paid,15.0
no checking,763.0,existing paid,12.0
0<=X<200,2064.0,delayed previously,24.0
0<=X<200,1414.0,existing paid,8.0
<0,3414.0,delayed previously,21.0
no checking,7485.0,all paid,30.0
<0,2577.0,existing paid,12.0
<0,338.0,critical/other existing credit,6.0
no checking,1963.0,existing paid,12.0
<0,571.0,critical/other existing credit,21.0
no checking,9572.0,delayed previously,36.0
0<=X<200,4455.0,delayed previously,36.0
<0,1647.0,all paid,21.0
no checking,3777.0,critical/other existing credit,24.0
0<=X<200,884.0,critical/other existing credit,18.0
no checking,1360.0,critical/other existing credit,15.0
0<=X<200,5129.0,all paid,9.0
0<=X<200,1175.0,critical/other existing credit,16.0
<0,674.0,existing paid,12.0
0<=X<200,3244.0,no credits/all paid,18.0
no checking,4591.0,existing paid,24.0
0<=X<200,3844.0,no credits/all paid,48.0
0<=X<200,3915.0,existing paid,27.0
no checking,2108.0,existing paid,6.0
0<=X<200,3031.0,existing paid,45.0
0<=X<200,1501.0,critical/other existing credit,9.0
no checking,1382.0,critical/other existing credit,6.0
0<=X<200,951.0,existing paid,12.0
0<=X<200,2760.0,existing paid,24.0
0<=X<200,4297.0,delayed previously,18.0
no checking,936.0,critical/other existing credit,9.0
<0,1168.0,existing paid,12.0
no checking,5117.0,delayed previously,27.0
<0,902.0,existing paid,12.0
no checking,1495.0,critical/other existing credit,12.0
<0,10623.0,critical/other existing credit,30.0
no checking,1935.0,critical/other existing credit,12.0
0<=X<200,1424.0,critical/other existing credit,12.0
<0,6568.0,existing paid,24.0
no checking,1413.0,existing paid,12.0
no checking,3074.0,critical/other existing credit,9.0
no checking,3835.0,existing paid,36.0
<0,5293.0,no credits/all paid,27.0
>=200,1908.0,delayed previously,30.0
no checking,3342.0,critical/other existing credit,36.0
0<=X<200,932.0,critical/other existing credit,6.0
<0,3104.0,no credits/all paid,18.0
>=200,3913.0,existing paid,36.0
<0,3021.0,existing paid,24.0
no checking,1364.0,existing paid,10.0
0<=X<200,625.0,existing paid,12.0
<0,1200.0,existing paid,12.0
no checking,707.0,existing paid,12.0
no checking,2978.0,delayed previously,24.0
no checking,4657.0,existing paid,15.0
no checking,2613.0,no credits/all paid,36.0
0<=X<200,10961.0,existing paid,48.0
<0,7865.0,existing paid,12.0
no checking,1478.0,existing paid,9.0
<0,3149.0,existing paid,24.0
>=200,4210.0,existing paid,36.0
no checking,2507.0,existing paid,9.0
no checking,2141.0,existing paid,12.0
0<=X<200,866.0,existing paid,18.0
no checking,1544.0,critical/other existing credit,4.0
<0,1823.0,existing paid,24.0
0<=X<200,14555.0,existing paid,6.0
0<=X<200,2767.0,existing paid,21.0
no checking,1291.0,critical/other existing credit,12.0
<0,2522.0,existing paid,30.0
<0,915.0,existing paid,24.0
no checking,1595.0,existing paid,6.0
<0,4605.0,no credits/all paid,48.0
no checking,1185.0,critical/other existing credit,12.0
no checking,3447.0,all paid,12.0
no checking,1258.0,existing paid,24.0
no checking,717.0,critical/other existing credit,12.0
no checking,1204.0,no credits/all paid,6.0
>=200,1925.0,existing paid,24.0
no checking,433.0,existing paid,18.0
<0,666.0,critical/other existing credit,6.0
>=200,2251.0,existing paid,12.0
0<=X<200,2150.0,existing paid,30.0
no checking,4151.0,delayed previously,24.0
0<=X<200,2030.0,existing paid,9.0
0<=X<200,7418.0,delayed previously,60.0
no checking,2684.0,critical/other existing credit,24.0
<0,2149.0,all paid,12.0
no checking,3812.0,existing paid,15.0
no checking,1154.0,critical/other existing credit,11.0
<0,1657.0,existing paid,12.0
<0,1603.0,existing paid,24.0
<0,5302.0,critical/other existing credit,18.0
no checking,2748.0,critical/other existing credit,12.0
no checking,1231.0,critical/other existing credit,10.0
0<=X<200,802.0,existing paid,15.0
no checking,6304.0,critical/other existing credit,36.0
no checking,1533.0,existing paid,24.0
<0,8978.0,existing paid,14.0
no checking,999.0,existing paid,24.0
no checking,2662.0,existing paid,18.0
no checking,1402.0,critical/other existing credit,12.0
0<=X<200,12169.0,all paid,48.0
0<=X<200,3060.0,existing paid,48.0
<0,11998.0,existing paid,30.0
no checking,2697.0,existing paid,9.0
no checking,2404.0,critical/other existing credit,18.0
<0,1262.0,existing paid,12.0
no checking,4611.0,existing paid,6.0
no checking,1901.0,existing paid,24.0
no checking,3368.0,critical/other existing credit,15.0
no checking,1574.0,existing paid,12.0
>=200,1445.0,all paid,18.0
no checking,1520.0,critical/other existing credit,15.0
0<=X<200,3878.0,critical/other existing credit,24.0
<0,10722.0,existing paid,47.0
<0,4788.0,existing paid,48.0
0<=X<200,7582.0,delayed previously,48.0
0<=X<200,1092.0,existing paid,12.0
<0,1024.0,delayed previously,24.0
no checking,1076.0,existing paid,12.0
0<=X<200,9398.0,existing paid,36.0
<0,6419.0,critical/other existing credit,24.0
>=200,4796.0,critical/other existing credit,42.0
no checking,7629.0,critical/other existing credit,48.0
0<=X<200,9960.0,existing paid,48.0
no checking,4675.0,existing paid,12.0
no checking,1287.0,existing paid,10.0
no checking,2515.0,existing paid,18.0
0<=X<200,2745.0,critical/other existing credit,21.0
no checking,672.0,existing paid,6.0
0<=X<200,3804.0,no credits/all paid,36.0
>=200,1344.0,critical/other existing credit,24.0
<0,1038.0,critical/other existing credit,10.0
no checking,10127.0,critical/other existing credit,48.0
no checking,1543.0,existing paid,6.0
no checking,4811.0,existing paid,30.0
<0,727.0,existing paid,12.0
0<=X<200,1237.0,existing paid,8.0
0<=X<200,276.0,existing paid,9.0
0<=X<200,5381.0,existing paid,48.0
no checking,5511.0,existing paid,24.0
>=200,3749.0,existing paid,24.0
0<=X<200,685.0,existing paid,12.0
>=200,1494.0,existing paid,4.0
<0,2746.0,all paid,36.0
<0,708.0,existing paid,12.0
0<=X<200,4351.0,existing paid,24.0
no checking,701.0,critical/other existing credit,12.0
<0,3643.0,delayed previously,15.0
0<=X<200,4249.0,critical/other existing credit,30.0
<0,1938.0,existing paid,24.0
<0,2910.0,existing paid,24.0
<0,2659.0,existing paid,18.0
no checking,1028.0,critical/other existing credit,18.0
<0,3398.0,critical/other existing credit,8.0
no checking,5801.0,critical/other existing credit,12.0
no checking,1525.0,existing paid,24.0
>=200,4473.0,existing paid,36.0
0<=X<200,1068.0,existing paid,6.0
<0,6615.0,critical/other existing credit,24.0
no checking,1864.0,critical/other existing credit,18.0
0<=X<200,7408.0,existing paid,60.0
no checking,11590.0,critical/other existing credit,48.0
<0,4110.0,no credits/all paid,24.0
<0,3384.0,critical/other existing credit,6.0
0<=X<200,2101.0,existing paid,13.0
<0,1275.0,existing paid,15.0
<0,4169.0,existing paid,24.0
0<=X<200,1521.0,existing paid,10.0
0<=X<200,5743.0,critical/other existing credit,24.0
<0,3599.0,existing paid,21.0
0<=X<200,3213.0,existing paid,18.0
0<=X<200,4439.0,existing paid,18.0
>=200,3949.0,existing paid,10.0
no checking,1459.0,critical/other existing credit,15.0
0<=X<200,882.0,critical/other existing credit,13.0
0<=X<200,3758.0,existing paid,24.0
no checking,1743.0,delayed previously,6.0
0<=X<200,1136.0,critical/other existing credit,9.0
no checking,1236.0,existing paid,9.0
0<=X<200,959.0,existing paid,9.0
no checking,3229.0,critical/other existing credit,18.0
<0,6199.0,no credits/all paid,12.0
no checking,727.0,existing paid,10.0
0<=X<200,1246.0,existing paid,24.0
no checking,2331.0,critical/other existing credit,12.0
no checking,4463.0,delayed previously,36.0
no checking,776.0,existing paid,12.0
<0,2406.0,existing paid,30.0
0<=X<200,1239.0,existing paid,18.0
>=200,3399.0,existing paid,12.0
>=200,2247.0,delayed previously,12.0
no checking,1766.0,existing paid,6.0
<0,2473.0,existing paid,18.0
no checking,1542.0,existing paid,12.0
no checking,3850.0,critical/other existing credit,18.0
<0,3650.0,existing paid,18.0
<0,3446.0,existing paid,36.0
0<=X<200,3001.0,existing paid,18.0
no checking,3079.0,existing paid,36.0
no checking,6070.0,critical/other existing credit,18.0
no checking,2146.0,critical/other existing credit,10.0
no checking,13756.0,critical/other existing credit,60.0
0<=X<200,14782.0,all paid,60.0
<0,7685.0,all paid,48.0
no checking,2320.0,delayed previously,18.0
no checking,846.0,delayed previously,7.0
0<=X<200,14318.0,existing paid,36.0
no checking,362.0,critical/other existing credit,6.0
<0,2212.0,existing paid,20.0
0<=X<200,12976.0,existing paid,18.0
no checking,1283.0,existing paid,22.0
>=200,1330.0,existing paid,12.0
no checking,4272.0,delayed previously,30.0
no checking,2238.0,critical/other existing credit,18.0
no checking,1126.0,existing paid,18.0
0<=X<200,7374.0,critical/other existing credit,18.0
0<=X<200,2326.0,critical/other existing credit,15.0
no checking,1449.0,existing paid,9.0
no checking,1820.0,existing paid,18.0
0<=X<200,983.0,existing paid,12.0
<0,3249.0,existing paid,36.0
<0,1957.0,critical/other existing credit,6.0
no checking,2406.0,critical/other existing credit,9.0
0<=X<200,11760.0,delayed previously,39.0
<0,2578.0,existing paid,12.0
<0,2348.0,critical/other existing credit,36.0
0<=X<200,1223.0,existing paid,12.0
no checking,1516.0,critical/other existing credit,24.0
no checking,1473.0,existing paid,18.0
0<=X<200,1887.0,critical/other existing credit,18.0
no checking,8648.0,delayed previously,24.0
no checking,802.0,delayed previously,14.0
0<=X<200,2899.0,delayed previously,18.0
0<=X<200,2039.0,existing paid,24.0
no checking,2197.0,critical/other existing credit,24.0
<0,1053.0,existing paid,15.0
no checking,3235.0,existing paid,24.0
>=200,939.0,critical/other existing credit,12.0
0<=X<200,1967.0,existing paid,24.0
no checking,7253.0,critical/other existing credit,33.0
no checking,2292.0,critical/other existing credit,12.0
no checking,1597.0,existing paid,10.0
<0,1381.0,existing paid,24.0
no checking,5842.0,critical/other existing credit,36.0
<0,2579.0,existing paid,12.0
<0,8471.0,delayed previously,18.0
no checking,2782.0,existing paid,21.0
0<=X<200,1042.0,existing paid,18.0
no checking,3186.0,existing paid,15.0
0<=X<200,2028.0,existing paid,12.0
0<=X<200,958.0,critical/other existing credit,12.0
no checking,1591.0,delayed previously,21.0
0<=X<200,2762.0,existing paid,12.0
0<=X<200,2779.0,existing paid,18.0
no checking,2743.0,critical/other existing credit,28.0
no checking,1149.0,critical/other existing credit,18.0
no checking,1313.0,existing paid,9.0
<0,1190.0,critical/other existing credit,18.0
no checking,3448.0,existing paid,5.0
0<=X<200,11328.0,existing paid,24.0
<0,1872.0,critical/other existing credit,6.0
no checking,2058.0,critical/other existing credit,24.0
<0,2136.0,existing paid,9.0
0<=X<200,1484.0,existing paid,12.0
no checking,660.0,existing paid,6.0
no checking,1287.0,critical/other existing credit,24.0
<0,3394.0,critical/other existing credit,42.0
>=200,609.0,all paid,12.0
no checking,1884.0,existing paid,12.0
<0,1620.0,existing paid,12.0
0<=X<200,2629.0,delayed previously,20.0
no checking,719.0,existing paid,12.0
0<=X<200,5096.0,critical/other existing credit,48.0
no checking,1244.0,critical/other existing credit,9.0
<0,1842.0,existing paid,36.0
0<=X<200,2576.0,existing paid,7.0
>=200,1424.0,existing paid,12.0
0<=X<200,1512.0,delayed previously,15.0
no checking,11054.0,critical/other existing credit,36.0
no checking,518.0,existing paid,6.0
no checking,2759.0,no credits/all paid,12.0
no checking,2670.0,existing paid,24.0
<0,4817.0,existing paid,24.0
no checking,2679.0,existing paid,24.0
<0,3905.0,critical/other existing credit,11.0
<0,3386.0,existing paid,12.0
<0,343.0,existing paid,6.0
no checking,4594.0,existing paid,18.0
<0,3620.0,existing paid,36.0
<0,1721.0,existing paid,15.0
0<=X<200,3017.0,existing paid,12.0
0<=X<200,754.0,existing paid,12.0
no checking,1950.0,existing paid,18.0
<0,2924.0,existing paid,24.0
<0,1659.0,delayed previously,24.0
no checking,7238.0,delayed previously,48.0
no checking,2764.0,delayed previously,33.0
no checking,4679.0,delayed previously,24.0
0<=X<200,3092.0,existing paid,24.0
<0,448.0,existing paid,6.0
<0,654.0,existing paid,9.0
no checking,1238.0,existing paid,6.0
0<=X<200,1245.0,critical/other existing credit,18.0
<0,3114.0,no credits/all paid,18.0
no checking,2569.0,existing paid,39.0
>=200,5152.0,existing paid,24.0
0<=X<200,1037.0,existing paid,12.0
<0,1478.0,critical/other existing credit,15.0
0<=X<200,3573.0,critical/other existing credit,12.0
0<=X<200,1201.0,existing paid,24.0
<0,3622.0,existing paid,30.0
no checking,960.0,delayed previously,15.0
no checking,1163.0,critical/other existing credit,12.0
0<=X<200,1209.0,delayed previously,6.0
no checking,3077.0,existing paid,12.0
no checking,3757.0,existing paid,24.0
no checking,1418.0,existing paid,10.0
no checking,3518.0,existing paid,6.0
no checking,1934.0,critical/other existing credit,12.0
0<=X<200,8318.0,no credits/all paid,27.0
no checking,1237.0,critical/other existing credit,6.0
0<=X<200,368.0,existing paid,6.0
<0,2122.0,critical/other existing credit,12.0
