Class,V13,V14,V27,V28,V29,V3,V32
1,0,80,0.5822,1,0,270900,0
1,0,80,0.2984,1,0,2538079,0
1,0,100,0.215,1,0,1553913,0
1,1,290,0.5212,1,0,369370,0
1,1,185,1.0,1,0,498078,0
1,1,40,0.9874,1,0,100250,0
1,1,150,1.0,1,0,138468,0
1,1,150,0.3359,1,0,210936,0
1,1,150,0.5593,1,0,429227,0
1,1,150,1.0,1,0,779144,0
1,1,150,0.8612,1,0,813452,0
1,1,150,0.9048,1,0,106604,0
1,1,150,0.9093,1,0,179258,0
1,1,150,0.8299,1,0,230644,0
1,1,150,0.9888,1,0,368143,0
1,1,150,1.0,1,0,491552,0
1,1,150,1.0,1,0,713788,0
1,1,150,0.9918,1,0,751059,0
1,1,150,0.2998,1,0,844704,0
1,1,200,0.5362,1,0,21349,0
1,1,200,0.6173,1,0,42683,0
1,1,200,0.4317,1,0,86284,0
1,1,200,0.2942,1,0,115485,0
1,1,200,0.6422,1,0,149044,0
1,1,200,0.4913,1,0,184350,0
1,1,40,0.3464,1,0,2128884,0
1,1,40,0.8355,1,0,2356396,0
1,1,40,0.215,1,0,5202306,0
1,1,40,1.0,1,0,4332564,0
1,1,40,0.7822,1,0,4822354,0
1,1,40,0.3834,1,0,1874382,0
1,1,40,0.9691,1,0,2378173,0
1,1,40,0.2901,1,0,2891780,0
1,1,50,0.463,1,0,2691161,0
1,1,50,0.9994,1,0,3874199,0
1,1,50,0.8061,1,0,3957796,0
1,1,70,0.7512,1,0,304433,0
1,1,70,0.9381,1,0,505964,0
1,1,40,0.7659,1,0,1701480,0
1,1,250,0.4564,1,0,183688,0
1,1,200,0.8299,1,0,284144,0
1,1,70,0.7037,1,0,1918092,0
1,1,40,0.5162,1,0,19815,0
1,1,40,0.7889,1,0,3884411,0
1,0,60,0.2901,1,0,1009978,0
1,0,60,0.7161,1,0,1702442,0
1,0,60,0.1965,1,0,3509718,0
1,0,60,0.2083,1,0,3550754,0
1,0,60,0.2583,1,0,43036,0
1,0,60,0.1822,1,0,1686880,0
1,0,60,0.1965,1,0,2379116,0
1,0,60,0.944,1,0,2512899,0
1,0,60,0.4025,1,0,2845229,0
1,0,69,0.3977,1,0,3826564,0
1,0,69,0.5063,1,0,4157586,0
1,0,69,0.4025,1,0,5437033,0
1,0,69,0.1832,1,0,5683008,0
1,0,100,0.5951,1,0,1005865,0
1,0,100,0.2018,1,0,1094617,0
1,0,100,0.1954,1,0,718602,0
1,0,100,0.1753,1,0,807870,0
1,0,120,0.1822,1,0,238656,0
1,0,120,0.2051,1,0,2071945,0
1,0,100,0.1892,1,0,893849,0
1,0,100,0.2051,1,0,969900,0
1,0,100,0.8299,1,0,1031539,0
1,0,100,0.2792,1,0,1060712,0
1,0,100,0.1832,1,0,914648,0
1,0,100,0.2195,1,0,1194800,0
1,0,100,0.1773,1,0,1944129,0
1,0,100,0.257,1,0,2095494,0
1,0,100,0.417,1,0,2493647,0
1,0,100,0.2792,1,0,11430396,0
1,0,211,0.215,1,0,237702,0
1,0,211,0.2018,1,0,309514,0
1,0,143,0.1499,1,0,200561,0
1,0,143,0.4613,1,0,519677,0
1,0,80,0.3464,1,0,1334420,0
1,1,40,1.0,1,0,2377039,0
1,1,40,1.0,1,0,513812,0
1,1,40,1.0,1,0,66196,0
1,1,40,0.2482,1,0,161967,0
1,1,60,0.1622,1,0,126951,0
1,1,60,1.0,1,0,417618,0
1,1,200,0.3241,1,0,33796,0
1,1,220,0.2583,1,0,638468,0
1,1,220,0.2532,1,0,837868,0
1,1,40,0.633,1,0,3496093,0
1,1,40,0.6514,1,0,3980733,0
1,1,40,0.8682,1,0,4178002,0
1,1,40,0.9236,1,0,4383724,0
1,1,40,0.997,1,0,132507,0
1,1,40,0.9779,1,0,273320,0
1,1,100,0.4729,1,0,31580,0
1,1,100,0.1687,1,0,106512,0
1,1,40,0.6221,1,0,2425687,0
1,1,70,0.3479,1,0,367429,0
1,1,70,0.4979,1,0,1044544,0
1,1,70,0.2686,1,0,1246698,0
1,1,70,0.2384,1,0,2670756,0
1,1,70,0.1892,1,0,2928247,0
1,1,70,0.3509,1,0,3375744,0
1,1,120,0.6453,1,0,1280228,0
1,1,175,0.998,1,0,333332,0
1,1,125,0.9491,1,0,562576,0
1,1,125,0.266,1,0,719009,0
1,1,125,1.0,1,0,1837263,0
1,1,125,0.6015,1,0,2094748,0
1,1,125,0.4763,1,0,2124816,0
1,1,40,0.2699,1,0,1959035,0
1,1,50,0.5822,1,0,552783,0
1,1,50,0.7347,1,0,702370,0
1,1,90,0.417,1,0,150712,0
1,1,90,0.4763,1,0,188768,0
1,1,90,0.7933,1,0,247330,0
1,1,90,0.7776,1,0,297096,0
1,1,90,0.3509,1,0,348227,0
1,1,90,0.8299,1,0,435871,0
1,1,90,0.3068,1,0,487568,0
1,1,90,0.9985,1,0,564536,0
1,1,90,0.9992,1,0,689792,0
1,1,90,0.8705,1,0,815462,0
1,1,90,0.5999,1,0,939827,0
1,1,90,0.5951,1,0,1108752,0
1,1,90,0.3601,1,0,1137189,0
1,1,90,0.9708,1,0,1208774,0
1,1,90,0.9993,1,0,1594430,0
1,1,90,0.633,1,0,1678200,0
1,1,90,0.9997,1,0,1724027,0
1,1,90,0.4613,1,0,1743219,0
1,1,90,0.6514,1,0,1751260,0
1,1,90,0.9998,1,0,1771553,0
1,1,90,0.9349,1,0,1809470,0
1,1,90,0.7659,1,0,1823955,0
1,0,70,0.3125,1,0,1120157,0
1,0,70,1.0,1,0,1511165,0
1,1,40,0.1954,1,0,458923,0
1,1,40,0.3882,1,0,3528981,0
1,1,60,0.4187,1,0,1063504,0
1,1,60,0.2288,1,0,1421726,0
1,0,80,1.0,1,0,2550845,0
1,0,100,0.4138,1,0,4270168,0
1,1,40,0.5642,1,0,212157,0
1,1,40,0.2583,1,0,2277670,0
1,1,40,0.2532,1,0,5427410,0
1,1,40,1.0,1,0,11741476,0
1,1,40,0.9294,1,0,12577343,0
1,1,40,0.6995,1,0,12725281,0
1,1,40,0.9212,1,0,12917033,0
1,1,40,0.6142,1,0,12987661,0
1,0,70,0.3725,1,0,471253,0
1,0,70,0.3212,1,0,786881,0
1,0,70,0.3882,1,0,808173,0
1,0,70,0.5626,1,0,1377748,0
1,0,70,0.7833,1,0,1461247,0
1,0,70,0.3241,1,0,1488612,0
1,0,70,0.3329,1,0,1620686,0
1,0,70,0.3197,1,0,1651888,0
1,0,100,0.4399,0,1,2258648,0
1,0,70,0.1773,0,1,21512,0
1,0,70,0.6574,0,1,50442,0
1,0,70,0.9216,0,1,66522,0
1,0,70,0.2432,0,1,82308,0
1,0,70,0.2901,0,1,102099,0
1,0,70,1.0,0,1,118073,0
1,0,70,1.0,0,1,133683,0
1,0,70,0.9998,0,1,149046,0
1,0,70,0.94,0,1,162885,0
1,0,70,0.9747,0,1,177337,0
1,0,70,0.6868,0,1,190885,0
1,0,70,0.3663,0,1,204933,0
1,0,70,0.7933,0,1,221100,0
1,0,70,0.2105,0,1,240377,0
1,0,70,0.215,0,1,254652,0
1,0,70,0.2359,0,1,274230,0
1,0,70,0.9082,0,1,287835,0
1,0,70,0.2583,0,1,303149,0
1,0,70,0.2532,0,1,319303,0
1,0,70,0.3977,0,1,334304,0
1,0,70,0.5029,0,1,350481,0
1,0,70,0.2583,0,1,362724,0
1,0,70,0.2051,0,1,374580,0
1,0,70,0.2901,0,1,387402,0
1,0,70,1.0,0,1,411630,0
1,0,70,1.0,0,1,425023,0
1,0,70,0.9474,0,1,439180,0
1,0,70,0.2018,0,1,451067,0
1,0,70,0.2739,0,1,463836,0
1,0,70,0.1892,0,1,477075,0
1,0,70,0.9639,0,1,494893,0
1,0,70,0.3494,0,1,506783,0
1,0,70,0.23,0,1,518261,0
1,0,70,0.2083,0,1,530968,0
1,0,70,0.5162,0,1,548929,0
1,0,70,0.3977,0,1,560425,0
1,0,70,0.9997,0,1,573049,0
1,0,70,0.4465,0,1,585861,0
1,0,70,0.9818,0,1,604478,0
1,0,70,0.3977,0,1,618132,0
1,0,70,0.2051,0,1,634279,0
1,0,70,0.2532,0,1,646729,0
1,0,70,0.9999,0,1,677297,0
1,0,70,1.0,0,1,697885,0
1,0,70,1.0,0,1,718425,0
1,0,70,0.9996,0,1,751592,0
1,0,70,1.0,0,1,763872,0
1,0,70,1.0,0,1,776120,0
1,0,70,1.0,0,1,791161,0
1,0,70,0.9917,0,1,802771,0
1,0,70,1.0,0,1,814236,0
1,0,70,1.0,0,1,830707,0
1,0,70,1.0,0,1,851460,0
1,0,70,0.9963,0,1,874488,0
1,0,70,1.0,0,1,896899,0
1,0,70,1.0,0,1,908862,0
1,0,70,0.9984,0,1,923170,0
1,0,70,0.9999,0,1,936743,0
1,0,70,1.0,0,1,949306,0
1,0,70,0.9974,0,1,961682,0
1,0,70,0.9814,0,1,973635,0
1,0,70,0.9999,0,1,983776,0
1,0,70,0.2288,0,1,1009876,0
1,0,70,1.0,0,1,1025376,0
1,0,70,0.8756,0,1,1036126,0
1,0,70,0.3945,0,1,1048818,0
1,0,70,0.4729,0,1,1060291,0
1,0,70,0.2532,0,1,1072228,0
1,0,70,1.0,0,1,1082731,0
1,0,70,0.4713,0,1,1093477,0
1,0,70,0.7933,0,1,1105359,0
1,0,70,0.2532,0,1,1116878,0
1,0,70,0.1965,0,1,1127920,0
1,0,70,0.2061,0,1,1137747,0
1,0,70,0.7598,0,1,1148345,0
1,0,70,0.1965,0,1,1159125,0
1,0,70,0.385,0,1,1172603,0
1,0,70,0.1892,0,1,1184511,0
1,0,70,0.204,0,1,1196901,0
1,0,70,0.9997,0,1,1211728,0
1,0,70,0.9685,0,1,1226170,0
1,0,70,0.2051,0,1,1266537,0
1,0,70,0.4399,0,1,1285730,0
1,0,70,0.3479,0,1,1301932,0
1,0,70,0.2018,0,1,1312116,0
1,0,70,0.6453,0,1,1323717,0
1,0,70,0.2384,0,1,1335585,0
1,0,70,0.9747,0,1,1346996,0
1,0,70,0.8299,0,1,1359784,0
1,0,70,0.23,0,1,1373431,0
1,0,70,0.2712,0,1,1385900,0
1,0,70,0.2173,0,1,1398904,0
1,0,70,0.2712,0,1,1411801,0
1,0,70,0.9998,0,1,1427809,0
1,0,70,0.8123,0,1,1457758,0
1,0,70,0.2432,0,1,1471277,0
1,0,70,0.4729,0,1,1483879,0
1,0,70,0.5903,0,1,1495862,0
1,0,70,0.5096,0,1,1508012,0
1,0,70,0.4465,0,1,1536604,0
1,0,70,0.9998,0,1,1549800,0
1,0,70,0.6868,0,1,1564536,0
1,0,70,1.0,0,1,1578055,0
1,0,70,0.2901,0,1,1589431,0
1,0,70,0.6268,0,1,1602180,0
1,0,70,0.7161,0,1,1622697,0
1,0,70,0.9884,0,1,1647143,0
1,0,70,0.6648,0,1,1658742,0
1,0,70,0.2901,0,1,1671098,0
1,0,70,0.2583,0,1,1686794,0
1,0,70,1.0,0,1,1699784,0
1,0,70,0.2288,0,1,1713172,0
1,0,70,0.2408,0,1,1723382,0
1,0,70,0.4729,0,1,1736811,0
1,0,70,0.9979,0,1,1747625,0
1,0,70,0.2712,0,1,1761692,0
1,0,70,0.6453,0,1,1772722,0
1,0,70,0.9848,0,1,1785901,0
1,0,70,0.43,0,1,1798152,0
1,0,70,0.2432,0,1,1810277,0
1,0,70,0.2408,0,1,1821904,0
1,0,70,0.286,0,1,1835338,0
1,0,70,0.1954,0,1,1846280,0
1,0,70,0.2928,0,1,1859616,0
1,0,70,0.2061,0,1,1889430,0
1,0,70,0.2116,0,1,1901970,0
1,0,70,0.2173,0,1,1913635,0
1,0,70,0.4089,0,1,1924923,0
1,0,70,0.3068,0,1,1939590,0
1,0,70,0.929,0,1,1951256,0
1,0,70,0.8563,0,1,1964561,0
1,0,70,0.5903,0,1,1978821,0
1,0,70,0.2173,0,1,1990021,0
1,0,70,0.3601,0,1,2001776,0
1,0,70,0.2051,0,1,2012938,0
1,0,70,0.6079,0,1,2023127,0
1,0,70,0.2928,0,1,2032900,0
1,0,70,0.6236,0,1,2044448,0
1,0,70,0.2195,0,1,2058002,0
1,0,70,0.5362,0,1,2070769,0
1,0,70,0.2051,0,1,2082327,0
1,0,70,0.2253,0,1,2097257,0
1,0,70,0.4138,0,1,2109314,0
1,0,70,0.2914,0,1,2126449,0
1,0,70,0.3241,0,1,2153394,0
1,0,70,0.3419,0,1,2216544,0
1,0,70,1.0,0,1,2280779,0
1,0,70,0.3359,0,1,2293926,0
1,0,70,1.0,0,1,2381257,0
1,0,70,0.2288,0,1,2409503,0
1,0,70,0.9985,0,1,2433660,0
1,0,70,0.3678,0,1,2445033,0
1,0,70,0.3601,0,1,2457919,0
1,0,70,0.463,0,1,2535272,0
1,0,70,0.1954,0,1,2550643,0
1,0,70,0.5096,0,1,2563219,0
1,0,70,0.2583,0,1,2583771,0
1,0,70,0.999,0,1,2595595,0
1,0,70,0.1954,0,1,2632520,0
1,0,70,0.4514,0,1,2644076,0
1,0,70,0.2792,0,1,2656857,0
1,0,70,0.3419,0,1,2669665,0
1,0,70,0.8894,0,1,2682394,0
1,0,70,0.3241,0,1,2724583,0
1,0,70,1.0,0,1,2787299,0
1,0,70,0.5362,0,1,2811785,0
1,0,70,0.2288,0,1,2824729,0
1,0,70,0.5329,0,1,2837245,0
1,0,70,0.1965,0,1,2857887,0
1,0,70,0.2083,0,1,2939205,0
1,0,100,0.1892,0,1,750387,0
1,1,40,0.8153,0,1,639972,0
1,1,40,0.4963,0,1,843822,0
1,1,40,0.9955,0,1,909471,0
1,1,40,0.3787,0,1,1136912,0
1,1,40,0.9998,0,1,1317364,0
1,1,40,0.556,0,1,1346248,0
1,1,40,0.5951,0,1,1417276,0
1,1,40,0.9985,0,1,1566427,0
1,1,175,0.4729,0,1,9007,0
1,1,175,0.3977,0,1,737538,0
1,1,175,1.0,0,1,840091,0
1,1,175,0.4399,0,1,882674,0
1,1,175,1.0,0,1,971714,0
1,1,175,0.3359,0,1,1062881,0
1,1,175,0.4089,0,1,1127580,0
1,1,175,0.374,0,1,1170194,0
1,1,175,1.0,0,1,1183612,0
1,1,175,0.8901,0,1,1246188,0
1,1,40,0.2173,0,0,28542,0
1,1,40,0.1934,0,0,31984,0
1,1,40,0.215,0,0,35152,0
1,1,40,0.1934,0,0,40184,0
1,1,40,0.9863,0,0,48480,0
1,1,40,0.1954,0,0,117715,0
1,1,40,0.3285,0,0,125025,0
1,1,40,1.0,0,0,135196,0
1,1,40,0.2469,0,0,155584,0
1,1,40,0.3329,0,0,177076,0
1,1,40,0.2914,0,0,185575,0
1,1,40,0.2018,0,0,198764,0
1,1,40,0.1852,0,0,211983,0
1,1,40,0.1934,0,0,222646,0
1,1,40,0.204,0,0,236266,0
1,1,40,0.1822,0,0,251869,0
1,1,40,0.1773,0,0,270702,0
1,1,40,0.9093,0,0,365905,0
1,1,40,0.3068,0,0,394965,0
1,1,40,0.257,0,0,419960,0
1,1,40,0.2253,0,0,435870,0
1,1,40,0.2061,0,0,494451,0
1,1,40,0.2173,0,0,508640,0
1,1,40,0.1773,0,0,519257,0
1,1,40,0.2051,0,0,552377,0
1,1,40,0.2173,0,0,561832,0
1,1,40,0.215,0,0,578380,0
1,1,40,0.1753,0,0,612662,0
1,1,40,0.1715,0,0,625664,0
1,1,40,0.1773,0,0,639848,0
1,1,40,0.2051,0,0,675316,0
1,1,40,0.2173,0,0,898704,0
1,1,40,0.2432,0,0,908164,0
1,1,40,0.1696,0,0,928256,0
1,1,40,1.0,0,0,78207,0
1,1,40,1.0,0,0,795618,0
1,1,40,0.417,0,0,13302,0
1,1,40,0.4779,0,0,31041,0
1,1,40,0.4219,0,0,41184,0
1,1,40,0.5212,0,0,55547,0
1,1,40,0.4089,0,0,64701,0
1,1,40,0.9831,0,0,3149494,0
1,0,80,0.9685,0,0,676623,0
1,1,40,1.0,0,0,4197607,0
1,1,40,1.0,0,0,308503,0
1,1,40,1.0,0,0,333373,0
1,1,40,1.0,0,0,344016,0
1,1,40,1.0,0,0,407936,0
1,1,40,1.0,0,0,418600,0
1,1,40,1.0,0,0,468317,0
1,1,40,1.0,0,0,486069,0
1,1,40,1.0,0,0,500276,0
1,1,40,1.0,0,0,510931,0
1,1,40,1.0,0,0,553549,0
1,1,40,1.0,0,0,564200,0
1,1,40,1.0,0,0,581949,0
1,1,40,1.0,0,0,592614,0
1,1,40,1.0,0,0,652969,0
1,1,40,1.0,0,0,663618,0
1,1,40,1.0,0,0,674290,0
1,1,40,1.0,0,0,684933,0
1,1,40,1.0,0,0,695578,0
1,1,40,1.0,0,0,702679,0
1,1,40,1.0,0,0,713328,0
1,1,40,1.0,0,0,830512,0
1,1,40,1.0,0,0,844714,0
1,1,40,1.0,0,0,855369,0
1,1,40,1.0,0,0,862475,0
1,1,40,1.0,0,0,876673,0
1,1,40,1.0,0,0,897989,0
1,1,40,1.0,0,0,908650,0
1,1,40,1.0,0,0,919301,0
1,1,40,0.3494,0,0,933630,0
1,1,40,0.9437,0,0,947849,0
1,1,40,1.0,0,0,965451,0
1,1,40,1.0,0,0,979651,0
1,1,40,1.0,0,0,990300,0
1,1,40,0.3945,0,0,997542,0
1,1,40,1.0,0,0,1018714,0
1,1,40,1.0,0,0,1029360,0
1,1,40,1.0,0,0,1040020,0
1,1,40,1.0,0,0,1050670,0
1,1,40,1.0,0,0,1150090,0
1,1,40,1.0,0,0,1157189,0
1,1,40,1.0,0,0,1164302,0
1,1,40,1.0,0,0,1174946,0
1,1,40,1.0,0,0,1185602,0
1,1,40,1.0,0,0,1196243,0
1,1,40,0.9999,0,0,1206989,0
1,1,40,1.0,0,0,1221106,0
1,1,40,1.0,0,0,1228221,0
1,1,40,1.0,0,0,1242405,0
1,1,40,1.0,0,0,1253069,0
1,1,40,1.0,0,0,1263724,0
1,1,40,1.0,0,0,1277926,0
1,1,40,1.0,0,0,1285016,0
1,1,40,1.0,0,0,1292132,0
1,1,40,1.0,0,0,1299230,0
1,1,40,1.0,0,0,1309877,0
1,1,40,1.0,0,0,1316989,0
1,1,40,0.9848,0,0,1327718,0
1,1,40,0.9966,0,0,1338367,0
1,1,40,1.0,0,0,1359602,0
1,1,40,1.0,0,0,1370247,0
1,1,40,0.9995,0,0,1384526,0
1,1,40,1.0,0,0,1391555,0
1,1,40,1.0,0,0,1402211,0
1,1,40,1.0,0,0,1430612,0
1,1,40,1.0,0,0,1437715,0
1,1,40,1.0,0,0,1448373,0
1,1,40,1.0,0,0,1469673,0
1,1,40,1.0,0,0,1480323,0
1,1,40,1.0,0,0,1494534,0
1,1,40,1.0,0,0,1512277,0
1,1,40,1.0,0,0,1530040,0
1,1,40,1.0,0,0,1540695,0
1,1,40,1.0,0,0,1554895,0
1,1,40,1.0,0,0,1565555,0
1,1,40,1.0,0,0,1576208,0
1,1,40,1.0,0,0,1586862,0
1,1,40,1.0,0,0,1597511,0
1,1,40,1.0,0,0,1611713,0
1,1,40,1.0,0,0,1625918,0
1,1,40,1.0,0,0,1636571,0
1,1,40,1.0,0,0,1647218,0
1,1,40,1.0,0,0,1661425,0
1,1,40,1.0,0,0,1672082,0
1,1,40,1.0,0,0,1682722,0
1,1,40,1.0,0,0,1700480,0
1,1,40,1.0,0,0,1711137,0
1,1,40,1.0,0,0,1721788,0
1,1,40,1.0,0,0,1735985,0
1,1,40,1.0,0,0,1799909,0
1,1,40,1.0,0,0,1810559,0
1,1,40,1.0,0,0,1821207,0
1,1,40,1.0,0,0,1831860,0
1,1,40,1.0,0,0,1842518,0
1,1,40,1.0,0,0,1853169,0
1,1,40,1.0,0,0,1863816,0
1,1,40,1.0,0,0,1881566,0
1,1,40,1.0,0,0,1892225,0
1,1,40,1.0,0,0,1902883,0
1,1,40,1.0,0,0,1913522,0
1,1,40,1.0,0,0,1924169,0
1,1,40,1.0,0,0,1934838,0
1,1,40,1.0,0,0,1945494,0
1,1,40,1.0,0,0,1959683,0
1,1,40,1.0,0,0,1970337,0
1,1,40,1.0,0,0,2098167,0
1,1,40,1.0,0,0,2112377,0
1,1,40,1.0,0,0,2133677,0
1,1,40,1.0,0,0,2194041,0
1,1,40,1.0,0,0,2204696,0
1,1,40,1.0,0,0,2215354,0
1,1,40,1.0,0,0,2229552,0
1,1,40,1.0,0,0,2240199,0
1,1,40,1.0,0,0,2254407,0
1,1,40,1.0,0,0,2265059,0
1,1,40,1.0,0,0,2289914,0
1,1,40,1.0,0,0,2300567,0
1,1,40,1.0,0,0,2311225,0
1,1,40,1.0,0,0,2321871,0
1,1,40,1.0,0,0,2339627,0
1,1,40,1.0,0,0,2357383,0
1,1,40,1.0,0,0,2368032,0
1,1,40,1.0,0,0,2399992,0
1,1,40,1.0,0,0,2410724,0
1,1,40,1.0,0,0,2421293,0
1,1,40,1.0,0,0,2431945,0
1,1,40,1.0,0,0,2442600,0
1,1,40,1.0,0,0,2460355,0
1,1,40,1.0,0,0,2542022,0
1,1,40,1.0,0,0,2552670,0
1,1,40,1.0,0,0,2563319,0
1,1,40,1.0,0,0,2573973,0
1,1,40,1.0,0,0,2584705,0
1,1,40,1.0,0,0,2595328,0
1,1,40,1.0,0,0,2605918,0
1,1,40,1.0,0,0,2616577,0
1,1,40,1.0,0,0,2627229,0
1,1,40,1.0,0,0,2641432,0
1,1,40,1.0,0,0,2662727,0
1,1,40,1.0,0,0,29559,0
1,1,40,1.0,0,0,47299,0
1,1,40,1.0,0,0,65059,0
1,1,40,0.9491,0,0,75758,0
1,1,40,0.8223,0,0,86408,0
1,1,40,1.0,0,0,104115,0
1,1,40,1.0,0,0,114768,0
1,1,40,1.0,0,0,125418,0
1,1,40,1.0,0,0,143167,0
1,1,40,1.0,0,0,157419,0
1,1,40,1.0,0,0,168027,0
1,1,40,0.3012,0,0,178723,0
1,1,40,1.0,0,0,189330,0
1,1,40,1.0,0,0,199980,0
1,1,40,1.0,0,0,210633,0
1,1,40,1.0,0,0,239041,0
1,1,40,1.0,0,0,249693,0
1,1,40,1.0,0,0,260349,0
1,1,40,1.0,0,0,270999,0
1,1,40,1.0,0,0,281656,0
1,1,40,1.0,0,0,299413,0
1,1,40,1.0,0,0,310065,0
1,1,40,1.0,0,0,320720,0
1,1,40,1.0,0,0,327823,0
1,1,40,1.0,0,0,334925,0
1,1,40,1.0,0,0,345580,0
1,1,40,1.0,0,0,356230,0
1,1,40,1.0,0,0,366881,0
1,1,40,1.0,0,0,377537,0
1,1,40,1.0,0,0,388190,0
1,1,40,1.0,0,0,398837,0
1,1,40,1.0,0,0,409491,0
1,1,40,1.0,0,0,420136,0
1,1,40,1.0,0,0,430771,0
1,1,40,1.0,0,0,441418,0
1,1,40,1.0,0,0,452068,0
1,1,40,1.0,0,0,462709,0
1,1,40,0.8848,0,0,473414,0
1,1,40,1.0,0,0,498190,0
1,1,40,1.0,0,0,508837,0
1,1,40,1.0,0,0,519483,0
1,1,40,0.7966,0,0,533732,0
1,1,40,0.8082,0,0,544375,0
1,1,40,1.0,0,0,554961,0
1,1,40,1.0,0,0,579795,0
1,1,40,1.0,0,0,590440,0
1,1,40,1.0,0,0,601086,0
1,1,40,1.0,0,0,611732,0
1,1,40,1.0,0,0,622372,0
1,1,40,1.0,0,0,633023,0
1,1,40,1.0,0,0,643657,0
1,1,40,1.0,0,0,686245,0
1,1,40,1.0,0,0,696884,0
1,1,40,1.0,0,0,707526,0
1,1,40,1.0,0,0,718174,0
1,1,40,1.0,0,0,728912,0
1,1,40,1.0,0,0,743010,0
1,1,40,1.0,0,0,775041,0
1,1,40,1.0,0,0,799788,0
1,1,40,1.0,0,0,899231,0
1,1,40,1.0,0,0,909876,0
1,1,40,1.0,0,0,920427,0
1,1,40,1.0,0,0,931074,0
1,1,40,1.0,0,0,938265,0
1,1,40,1.0,0,0,1413654,0
1,1,40,1.0,0,0,1424299,0
1,1,40,1.0,0,0,1434944,0
1,1,40,1.0,0,0,1445593,0
1,1,40,1.0,0,0,1463330,0
1,1,40,1.0,0,0,1473977,0
1,1,40,1.0,0,0,1484624,0
1,1,40,1.0,0,0,1495267,0
1,1,40,1.0,0,0,1505915,0
1,1,40,1.0,0,0,1516553,0
1,1,40,1.0,0,0,1527208,0
1,1,40,1.0,0,0,1541496,0
1,1,40,1.0,0,0,1555596,0
1,1,40,1.0,0,0,1566243,0
1,1,40,1.0,0,0,1576890,0
1,1,40,1.0,0,0,1587535,0
1,1,40,1.0,0,0,1601728,0
1,1,40,1.0,0,0,1615921,0
1,1,40,1.0,0,0,1626575,0
1,1,40,1.0,0,0,1637218,0
1,1,40,1.0,0,0,1647865,0
1,1,40,1.0,0,0,1658501,0
1,1,40,1.0,0,0,1669152,0
1,1,40,1.0,0,0,1679793,0
1,1,40,1.0,0,0,1693992,0
1,1,40,1.0,0,0,1704636,0
1,1,40,1.0,0,0,1715280,0
1,1,40,0.119,0,0,1729556,0
1,1,40,1.0,0,0,1740121,0
1,1,40,1.0,0,0,1750768,0
1,1,40,1.0,0,0,1761412,0
1,1,40,1.0,0,0,1775604,0
1,1,40,1.0,0,0,1786253,0
1,1,40,1.0,0,0,1803992,0
1,1,40,1.0,0,0,1814642,0
1,1,40,1.0,0,0,1825287,0
1,1,40,1.0,0,0,1835934,0
1,1,40,1.0,0,0,1853674,0
1,1,40,1.0,0,0,1867972,0
1,1,40,1.0,0,0,1878514,0
1,1,40,1.0,0,0,1889165,0
1,1,40,1.0,0,0,1903355,0
1,1,40,1.0,0,0,1914002,0
1,1,40,1.0,0,0,1935297,0
1,1,40,1.0,0,0,1945941,0
1,1,40,1.0,0,0,1960132,0
1,1,40,1.0,0,0,1970779,0
1,1,40,1.0,0,0,1981417,0
1,1,40,1.0,0,0,1992062,0
1,1,40,1.0,0,0,2002718,0
1,1,40,1.0,0,0,2013457,0
1,1,40,1.0,0,0,2027555,0
1,1,40,1.0,0,0,2041748,0
1,1,40,1.0,0,0,2052389,0
1,1,40,1.0,0,0,2070134,0
1,1,40,1.0,0,0,2087881,0
1,1,40,1.0,0,0,2098521,0
1,1,40,1.0,0,0,2109173,0
1,1,40,1.0,0,0,2119822,0
1,1,40,1.0,0,0,2134009,0
1,1,40,0.119,0,0,2166065,0
1,1,40,1.0,0,0,2187237,0
1,1,40,1.0,0,0,2201440,0
1,1,40,1.0,0,0,2212076,0
1,1,40,1.0,0,0,2222725,0
1,1,40,1.0,0,0,2233368,0
1,1,40,1.0,0,0,2244009,0
1,1,40,1.0,0,0,2254664,0
1,1,40,1.0,0,0,2265307,0
