all/school_ap.DBN,all/school_ap.SchoolName,all/school_ap.AP Test Takers ,all/school_ap.Total Exams Taken,all/school_ap.Number of Exams with scores 3 4 or 5
31R455,TOTTENVILLE HS,396.0,687.0,206.0
19K510,World Academy for Total Community Health High Scho,22.0,22.0,
10X445,BRONX HS OF SCIENCE,1190.0,2435.0,2189.0
08X295,Gateway School for Environmental Research and Tech,,,
19K583,Multicultural High School,44.0,44.0,39.0
02M625,HS COMMUNICATION GRAPHIC ART,79.0,85.0,9.0
14K071,JHS 071 JUAN MOREL CAMPOS,16.0,16.0,12.0
15K519,COBBLE HILL SCH OF AMER STUDIE,25.0,36.0,
28Q505,HILLCREST HS,241.0,362.0,50.0
25Q285,World Journalism Preparatory: A College Board Scho,65.0,87.0,18.0
08X540,School for Community Research and Learning,9.0,9.0,
27Q650,"High School for Construction Trades, Engineering a",91.0,109.0,21.0
10X438,FORDHAM LDRSHP ACAD BUS & TECH,42.0,47.0,12.0
30Q555,NEWCOMERS HS:ACAD AMER STD,119.0,163.0,140.0
09X517,FREDERICK DOUGLASS ACADEMY III,26.0,36.0,
20K445,NEW UTRECHT HS,174.0,271.0,95.0
11X455,HARRY S TRUMAN HS,103.0,135.0,27.0
30Q575,ACADEMY OF AMER. STUDIES HS,101.0,170.0,119.0
13K419,SCIENCE SKILLS CENTER,52.0,59.0,
31R460,SUSAN E. WAGNER HS,279.0,408.0,175.0
13K509,FREEDOM ACADEMY H.S.,74.0,89.0,
08X312,Millennium Art Academy,35.0,55.0,
13K412,"Brooklyn Community High School of Communication, A",21.0,21.0,
07X547,New Explorers High School,18.0,18.0,
01M515,LOWER EASTSIDE PREP,24.0,26.0,24.0
10X477,MARBLE HILL HS FOR INT STUDIES,83.0,141.0,37.0
28Q620,THOS A EDISON VHS,183.0,244.0,100.0
17K625,PAUL ROBESON HS,50.0,51.0,
21K690,BROOKLYN STUDIO SCHOOL,39.0,43.0,13.0
09X505,"BRONX SCH FOR LAW, GOVT, JUST",45.0,55.0,27.0
31R445,PORT RICHMOND HS,194.0,304.0,76.0
21K525,EDWARD R MURROW HS,397.0,577.0,307.0
02M529,JACQUELINE K. ONASSIS HS,80.0,118.0,29.0
21K540,JOHN DEWEY H.S.,232.0,370.0,154.0
18K415,SAMUEL J. TILDEN HS,,,
14K561,Williamsburg Preparatory School,31.0,41.0,
17K528,"High School for Global Citizenship, The",20.0,34.0,
02M298,Pace High School,21.0,21.0,
05M499,FREDRICK DOUGLAS SEC. SCHOOL,163.0,226.0,159.0
13K605,GEORGE WESTINGHOUSE,35.0,35.0,
29Q283,Preparatory Academy for Writers,40.0,43.0,
11X299,Astor Collegiate Academy,36.0,48.0,12.0
07X221,South Bronx Preparatory: A College Board School,63.0,89.0,24.0
13K430,BROOKLYN TECHNICAL HS,2117.0,3692.0,2687.0
09X239,Urban Assembly Academy for History and Citizenship,9.0,9.0,
27Q475,RICHMOND HILL HS,142.0,170.0,55.0
14K558,Williamsburg High School for Architecture and Desi,30.0,48.0,
02M545,High School for Dual Language and Asian Studies,61.0,96.0,89.0
02M411,BARUCH COLLEGE CAMPUS HS,78.0,115.0,88.0
02M600,HS FOR FASHION INDUSTRIES,70.0,87.0,26.0
02M520,MURRY BERGTRAUM H.S.,118.0,157.0,76.0
03M470,LOUIS D. BRANDEIS HS,48.0,70.0,6.0
10X696,HIGH SCHOOL OF AMERICAN STUDIES At Lehman College,194.0,302.0,243.0
10X440,DEWITT CLINTON HS,366.0,540.0,262.0
02M440,HS FOR HUMANITIES,6.0,6.0,
24Q610,AVIATION CAREER & TECHNICAL H.S.,130.0,140.0,61.0
09X365,Academy for Language and Technology,20.0,20.0,20.0
19K420,FRANKLIN K LANE HIGH SCHOOL,10.0,10.0,
10X442,"Celia Cruz Bronx High School of Music, The",31.0,35.0,8.0
04M610,THE YOUNG WOMEN'S LEADERSHIP SCHOOL OF EAST HARLEM,41.0,55.0,29.0
10X439,BRONX HS OF LAW & COMM SERVICE,44.0,65.0,9.0
11X275,High School of Computers and Technology,,,
09X414,J. LEVIN HS FOR MEDIA & COMM.,18.0,18.0,
30Q445,WM CULLEN BRYANT HS,243.0,330.0,97.0
27Q480,JOHN ADAMS HS,140.0,168.0,33.0
08X293,Renaissance High School for Musical Theater & Tech,22.0,29.0,14.0
03M415,WADLEIGH ARTS HIGH SCHOOL,65.0,73.0,
11X415,CHRISTOPHER COLUMBUS HS,34.0,34.0,6.0
15K497,SCHOOL FOR INTERNATL.STUDIES,30.0,34.0,
08X305,Pablo Neruda Academy for Architecture and World St,,,
16K455,BOYS AND GIRLS HS,22.0,32.0,
02M489,HS OF ECONOMICS & FINANCE,101.0,176.0,78.0
31R600,RAPLH MCKEE VHS,,,
25Q670,R F KENNEDY COLLABORATIVE H S,77.0,112.0,43.0
10X546,Bronx Theatre High School,34.0,34.0,
22K425,JAMES MADISON HS,323.0,463.0,188.0
13K499,ACORN COMMUNITY HIGH SCHOOL,64.0,95.0,
01M448,UNIVERSITY NEIGHBORHOOD H.S.,39.0,49.0,10.0
10X213,Bronx Engineering and Technology Academy,107.0,228.0,10.0
20K490,FORT HAMILTON HS,357.0,576.0,331.0
19K659,Cypress Hills Collegiate Preparatory School,21.0,21.0,10.0
09X525,BRONX LEADERSHIP ACADEMY HS,40.0,42.0,8.0
02M615,CHELSEA VHS,52.0,97.0,13.0
06M467,H.S. LAW & PUBLIC SERVICE,141.0,212.0,82.0
27Q400,AUGUST MARTIN HS,19.0,28.0,
21K400,LAFAYETTE HS,,,
02M408,PROFESSIONAL PERFORMING ARTS,20.0,20.0,15.0
32K552,Academy of Urban Planning,76.0,100.0,10.0
24Q550,HIGH SCHOOL FOR ARTS & BUSINESS,198.0,320.0,73.0
02M519,TALENT UNLIMITED,30.0,34.0,21.0
28Q680,GATEWAY TO HEALTH SCIENCES,89.0,136.0,57.0
02M296,High School of Hospitality Management,,,
11X253,Bronx High School for Writing and Communication Ar,28.0,30.0,
02M551,HARBOR HIGH SCHOOL,7.0,7.0,
14K474,PROGRESS HIGH SCHOOL,50.0,66.0,
20K485,HS OF TELECOMMUNICATIONS,251.0,413.0,123.0
13K265,Dr Susan S McKinney Secondary School of the Arts,17.0,22.0,
06M468,H.S. HEALTH CAREERS & SCIENCE,32.0,38.0,17.0
12X682,FANNIE LOU HAMER FREEDOM HS,,,
11X418,BRONX HS FOR THE VISUAL ARTS,26.0,41.0,9.0
29Q420,SPRINGFIELD GARDENS HS,,,
22K495,SHEEPSHEAD BAY HS,37.0,59.0,27.0
07X548,Urban Assembly School for Careers in Sports,,,
23K514,Frederick Douglass Academy VII High School,39.0,40.0,
06M552,GREGORIO LUPERON HS SCI & MATH,88.0,138.0,73.0
03M485,FIORELLO H.LAGUARDIA HS,691.0,1236.0,790.0
17K547,Brooklyn Academy of Science and the  Environment,49.0,59.0,
14K685,EL PUENTE ACADEMY,,,
02M655,LIFE SCIENCES SECONDARY SCHL,50.0,90.0,10.0
11X270,Academy for Scholarship and Entrepreneurship: A Co,24.0,24.0,
14K488,Brooklyn Preparatory High School,28.0,46.0,7.0
02M459,CES-MANHATTAN INTERNATIONAL,12.0,12.0,6.0
22K405,MIDWOOD HS,745.0,1223.0,758.0
28Q896,"Young  Women's Leadership School, Queens",6.0,6.0,
08X405,HERBERT LEHMAN HS,430.0,532.0,197.0
02M630,HS OF ART AND DESIGN,84.0,100.0,33.0
26Q495,BAYSIDE HS,480.0,686.0,413.0
04M409,COALITION SCHL FOR SOCIAL CHG,18.0,18.0,
09X412,BRONX HIGH SCHOOL OF BUSINESS,26.0,31.0,9.0
22K535,LEON GOLDSTEIN HS SCIENCES,367.0,575.0,382.0
15K656,BROOKLYN H.S. FOR THE ARTS,,,
03M479,BEACON SCHOOL,166.0,197.0,140.0
13K595,Bedford Academy High School,43.0,57.0,16.0
19K507,Performing Arts and Technology High School,,,
01M539,"NEW EXPLORATIONS SCI,TECH,MATH",255.0,377.0,191.0
10X284,Bronx School of Law and Finance,21.0,27.0,
05M304,Mott Hall High School,11.0,11.0,
12X271,East Bronx Academy for the Future,32.0,37.0,
29Q492,MATH/SCIENCE RESEARCH TECH CTR,22.0,31.0,8.0
23K697,TEACHERS PREPARATORY SCHOOL,33.0,37.0,
30Q502,INFORMATION TECHNOLOGY HS,51.0,74.0,13.0
04M495,PARK EAST H.S.,,,
16K498,Acorn High School for Social Justice,49.0,80.0,
08X332,Holcombe L. Rucker School of Community Research,20.0,28.0,
02M580,R.R.GREEN HS OF TEACHING,67.0,117.0,40.0
31R450,CURTIS HS,247.0,295.0,90.0
02M303,"Facing History School, The",42.0,44.0,
17K600,CLARA BARTON VHS,135.0,211.0,63.0
27Q323,Scholars' Academy,55.0,121.0,57.0
10X437,FORDHAM HS FOR THE ARTS,,,
09X276,Leadership Institute,17.0,17.0,7.0
08X650,JANE ADDAMS VHS,44.0,69.0,8.0
29Q248,Queens Preparatory Academy,15.0,15.0,
29Q496,BUSINESS/COMPUTER APPLICATIONS,,,
09X260,Bronx Center for Science and Mathematics,62.0,80.0,35.0
02M305,"Urban Assembly Academy of Government and Law, The",25.0,37.0,15.0
02M412,NYC LAB HS FOR COLL. STUDIES,114.0,140.0,97.0
06M462,H.S. INT'L BUSINESS & FINANCE,108.0,135.0,43.0
28Q440,FOREST HILLS HS,733.0,1116.0,526.0
12X248,"Metropolitan High School, The",25.0,25.0,
02M418,Millennium High School,86.0,95.0,67.0
17K537,High School for Youth and Community Development at,21.0,37.0,
07X600,ALFRED E. SMITH VHS,11.0,11.0,
28Q687,Queens HS for Science York Colllege,215.0,338.0,275.0
12X278,Peace and Diversity Academy,8.0,8.0,
25Q525,TOWNSEND HARRIS HS,613.0,796.0,625.0
30Q450,LONG ISLAND CITY HS,406.0,805.0,169.0
06M540,A PHILIP RANDOLPH CAMPUS,165.0,222.0,72.0
05M367,Academy for Social Action: A College Board School,17.0,17.0,
10X368,MS/HS 368 INFO & NETWORK TECH,40.0,54.0,17.0
04M555,CENTRAL PARK EAST H.S.,,,
26Q430,FRANCIS LEWIS HS,697.0,1033.0,583.0
18K500,CANARSIE HS,11.0,14.0,
26Q435,MARTIN VAN BUREN HS,71.0,101.0,15.0
21K348,High School of Sports Management,10.0,10.0,
02M413,SCHOOL OF THE FUTURE,11.0,11.0,
24Q600,QUEENS VHS,27.0,27.0,20.0
28Q690,High School for Law Enforcement and Public Safety,19.0,19.0,
27Q262,Channel View School for Research,43.0,69.0,18.0
17K548,Brooklyn School for Music & Theatre,37.0,41.0,9.0
05M692,HIGH SCHOOL FOR MATH SCIENCE ENGINEERING @ CCNY,114.0,124.0,71.0
26Q566,"Queens High School of Teaching, Liberal Arts and t",,,
04M435,MANHATTAN CENTER-SCIENCE&MATH,328.0,426.0,261.0
09X250,Eximius College Preparatory Academy: A College Boa,90.0,146.0,11.0
02M439,MANHATTAN VILLAGE ACADEMY HS,42.0,69.0,29.0
05M670,THURGOOD MARSHALL ACADEMY,37.0,38.0,
24Q267,High School of Applied Communication,46.0,48.0,
15K530,METROPOLITAN CORP. ACADEMY,14.0,14.0,
31R605,STATEN ISLAND TECHNICAL HS,528.0,905.0,809.0
20K505,F.D. ROOSEVELT HS,228.0,340.0,186.0
21K410,ABRAHAM LINCOLN HS,133.0,193.0,18.0
11X513,New World High School,12.0,12.0,
02M620,NORMAN THOMAS H.S.,34.0,34.0,14.0
15K463,Secondary School for Journalism,22.0,22.0,
29Q272,George Washington Carver High School for the Scien,14.0,21.0,
31R080,PS 080 MICHAEL J. PETRIDES,162.0,243.0,66.0
01M450,EAST SIDE COMMUNITY HS,19.0,21.0,
04M610,YOUNG WOMEN'S LEADERSHIP SCH,,,
14K322,Foundations Academy,42.0,53.0,
11X542,Pelham Preparatory Academy,46.0,57.0,17.0
14K477,HIGH SCHOOL OF LEGAL STUDIES,24.0,27.0,
10X243,West Bronx Academy for the Future,25.0,29.0,14.0
10X141,MS/HS 141 D A STEIN RIV/KINGSB,133.0,184.0,119.0
10X475,JOHN F KENNEDY HS,46.0,48.0,19.0
09X241,Urban Assembly School for Applied Math and Science,16.0,16.0,
24Q264,Academy of Finance and  Enterprise,95.0,137.0,40.0
07X670,HEALTH OPPORTUNITIES PROGRAM,61.0,117.0,29.0
26Q415,BENJAMIN N. CARDOZO,676.0,1145.0,796.0
25Q425,JOHN BOWNE HS,176.0,229.0,116.0
11X249,Bronx Health Sciences High School,,,
32K556,Bushwick Leaders High School for Academic Excellen,34.0,35.0,18.0
02M429,LEGACY SCHOOL,22.0,26.0,
21K344,Rachel Carson High School for Coastal Studies,34.0,64.0,
07X551,Bronx Academy of Letters,53.0,92.0,37.0
10X342,International School for Liberal Arts,55.0,73.0,45.0
10X237,"The Marie Curie School for Medicine, Nursing, and",15.0,15.0,
