all/school_sat.DBN,all/school_sat.School Name,all/school_sat.Number of Test Takers,all/school_sat.Critical Reading Mean,all/school_sat.Mathematics Mean,all/school_sat.Writing Mean
75R025,South Richmond High School ,10.0,407.0,421.0,400.0
02M565,URBAN ACADEMY ,34.0,513.0,460.0,502.0
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY ,,,,
17K539,HS FOR SERVICE AND LEARNING AT ERASMUS ,54.0,371.0,366.0,381.0
02M408,Professional Performng Arts School ,69.0,495.0,465.0,499.0
02M308,LOWER MANHATTAN ARTS ACADEMY ,35.0,409.0,381.0,412.0
02M625,HS of Graphic Commnctn And Art ,125.0,370.0,378.0,360.0
10X667,YABC AT GRACE DODGE HIGH SCHOOL ,13.0,367.0,378.0,358.0
14K561,WILLIAMSBURG PREP ,58.0,375.0,386.0,369.0
02M419,LANDMARK SCHOOL ,47.0,369.0,370.0,359.0
04M495,PARK EAST HIGH SCHOOL ,46.0,360.0,374.0,362.0
28Q310,Queens Collegiate: A College Board School ,,,,
08X312,MILLENNIUM ART ACADEMY ,41.0,380.0,389.0,371.0
27Q475,RICHMOND HILL HIGH SCHOOL ,397.0,380.0,401.0,380.0
18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL ,,,,
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMIN ,34.0,349.0,370.0,363.0
14K404,ACADEMY FOR YOUNG WRITERS ,70.0,377.0,366.0,365.0
07X473,Mott Haven Village Preparatory High School ,48.0,345.0,352.0,349.0
07X495,UNIVERSITY HEIGHTS HIGH SCHOOL ,66.0,401.0,388.0,396.0
13K419,Science Skills Center High School ,104.0,419.0,421.0,409.0
13K509,FREEDOM ACADEMY ,40.0,416.0,386.0,408.0
06M462,HIGH SCHOOL FOR INTL BUS/FIN ,56.0,383.0,384.0,379.0
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUS ,,,,
01M515,Lower East Side Preparatory High School ,154.0,314.0,532.0,314.0
02M519,TALENT UNLIMITED HIGH SCHOOL ,124.0,465.0,454.0,461.0
10X319,Providing Urban Learners Success in Education HS ,10.0,349.0,346.0,364.0
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY ,34.0,374.0,362.0,366.0
27Q323,Region Five Scholars' Academy ,,,,
17K537,HS FOR YOUTH CMMTY DEVLPMT AT ERASMUS ,71.0,361.0,376.0,365.0
02M305,Urban Assembly Academy of Government and Law ,48.0,411.0,406.0,411.0
30Q445,WILLIAM C BRYANT HIGH SCHOOL ,322.0,405.0,456.0,408.0
02M605,HUMANITIES PREPARATORY ACADEMY ,37.0,433.0,405.0,417.0
28Q620,Thomas Edison Vocational-Technical High School ,529.0,455.0,490.0,439.0
01M458,SATELLITE ACADEMY FORSYTH ST ,26.0,385.0,370.0,378.0
02M313,The James Baldwin School ,45.0,421.0,419.0,394.0
17K528,HIGH SCHOOL FOR GLOBAL CITIZENSHIP ,81.0,382.0,387.0,381.0
02M580,Richard R Green High School of Teaching ,79.0,425.0,429.0,419.0
07X221,SOUTH BRONX PREPARATORY ,60.0,399.0,393.0,382.0
17K543,SCIENCE TECH RESEARCH HS AT ERASMUS ,68.0,445.0,425.0,415.0
21K337,International High School at LaFayette ,35.0,355.0,395.0,355.0
02M416,ELEANOR ROOSEVELT HIGH SCHOOL ,122.0,555.0,596.0,567.0
14K322,FOUNDATIONS ACADEMY ,28.0,373.0,377.0,359.0
31R600,RALPH MCKEE VOC-TECH HIGH SCH ,48.0,411.0,429.0,386.0
02M412,New York City Laboratory School Collab Studies ,108.0,561.0,597.0,567.0
01M650,CASCADES HIGH SCHOOL ,35.0,411.0,401.0,401.0
29Q283,PREPARATORY ACADEMY FOR WRITERS ,18.0,413.0,402.0,388.0
06M540,A Philip Randolph Campus High School ,193.0,436.0,451.0,421.0
30Q501,Frank Sinatra School of the Arts ,153.0,506.0,495.0,499.0
30Q555,NEWCOMERS HIGH SCHOOL ,147.0,343.0,447.0,346.0
07X500,HOSTOS-LINCOLN ACADEMY SCIENCE ,62.0,460.0,455.0,457.0
07X381,BRONX HAVEN HIGH SCHOOL ,15.0,335.0,342.0,372.0
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIE ,22.0,388.0,352.0,378.0
09X250,EXIMIUS COLLEGE PREP ACADEMY ,44.0,401.0,383.0,387.0
31R470,CONCORD HIGH SCHOOL ,10.0,474.0,431.0,397.0
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT ,33.0,370.0,427.0,381.0
25Q252,Queens School of Inquiry ,,,,
11X265,BRONX LAB SCHOOL ,70.0,356.0,370.0,355.0
10X430,WALTON HIGH SCHOOL ,,,,
18K642,Urban Action Academy ,,,,
28Q680,Queens Gateway to Health Sciences Secondary Schoo ,89.0,525.0,532.0,515.0
08X540,HIGH SCHOOL CMTY RESEARCH LRN ,29.0,356.0,376.0,368.0
20K505,Franklin D Roosevelt High School ,385.0,387.0,492.0,377.0
27Q487/27Q481,YABC AT JOHN ADAMS HIGH SCHOOL ,,,,
29Q420,Springfield Gardens High School ,20.0,429.0,402.0,403.0
11X418,Bronx High School for the Visual Arts ,54.0,419.0,403.0,392.0
06M552,GREGORIO LUPERON PREP SCHOOL ,60.0,342.0,384.0,333.0
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH ,63.0,455.0,423.0,420.0
09X231,Eagle Academy for Young Men ,66.0,391.0,399.0,386.0
12X400,Morris High School ,9.0,369.0,374.0,360.0
09X276,LEADERSHIP INSTITUTE ,21.0,362.0,380.0,358.0
10X437,Fordham High School for the Arts ,42.0,377.0,375.0,375.0
25Q467,YABC AT FLUSHING HIGH SCHOOL ,,,,
04M435,Manhattan Center for Science and Math ,312.0,485.0,531.0,475.0
13K553,BROOKLYN ACADEMY HIGH SCHOOL ,19.0,403.0,384.0,377.0
10X141,RIVERDALE KINGSBRIDGE ACADEMY ,101.0,475.0,479.0,470.0
29Q272,GEORGE WASHINGTON CARVER HS ,68.0,425.0,435.0,418.0
75Q004,P4Q SCHOOL (@ 179) ,,,,
03M415,WADLEIGH SECONDARY SCHOOL ,68.0,376.0,373.0,371.0
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL ,57.0,325.0,415.0,311.0
10X374,Knowledge & Power Prep Acad International HS ,,,,
18K578,BROOKLYN BRIDGE ACADEMY OF S SHORE ED CO ,20.0,389.0,358.0,369.0
07X520,FOREIGN LANGUAGE ACADEMY ,73.0,418.0,429.0,415.0
19K507,PERFORMING ARTS & TECH HIGH SCHOOL ,49.0,371.0,363.0,356.0
15K656,Brooklyn High School of the Arts ,71.0,416.0,417.0,425.0
11X544,High School for the Contemporary Arts ,40.0,359.0,340.0,338.0
19K510,World Acad for Total Community Health ,28.0,370.0,371.0,376.0
10X445,BRONX HIGH SCHOOL OF SCIENCE ,683.0,632.0,685.0,643.0
24Q520,MIDDLE COLLEGE HIGH SCHOOL ,32.0,386.0,402.0,373.0
12X692,MONROE ACAD VISUAL ARTS DESGN ,70.0,346.0,341.0,356.0
22K495,SHEEPSHEAD BAY HIGH SCHOOL ,192.0,380.0,416.0,380.0
23K514,Frederick Douglass Academy VII High School ,50.0,416.0,396.0,414.0
02M440,Bayard Rustin High School Humanities ,136.0,387.0,394.0,379.0
08X519,Felisa Rincon de Gautier Inst for Law & Pub Policy ,43.0,373.0,376.0,367.0
20K490,FORT HAMILTON HIGH SCHOOL ,581.0,416.0,486.0,409.0
25Q281,EAST WEST SCHOOL OF INTERNATIONAL STUDIE ,50.0,438.0,485.0,442.0
27Q410,BEACH CHANNEL HIGH SCHOOL ,114.0,393.0,390.0,380.0
22K555,Brooklyn College Academy High School ,109.0,459.0,460.0,446.0
02M575,Manhattan Comprehensive Night Day High School ,141.0,355.0,475.0,339.0
07X321,CROTANA ACADEMY HIGH SCHOOL ,,,,
24Q600,Queens Vocational & Tech High School ,130.0,415.0,428.0,401.0
12X684,WINGS ACADEMY ,58.0,386.0,397.0,383.0
01M539,"New Explorations into Sci, Tech and Math HS ",47.0,568.0,583.0,568.0
19K660,William H Maxwell Voc High School ,49.0,355.0,367.0,355.0
18K673,East Brooklyn Community High School ,,,,
09X412,BRONX HIGH SCHOOL OF BUSINESS ,35.0,369.0,397.0,366.0
09X260,Bronx Center for Science and Mathematics ,73.0,447.0,495.0,454.0
10X430,YABC AT WALTON HIGH SCHOOL ,,,,
10X442,BRONX HIGH SCHOOL OF MUSIC ,38.0,421.0,432.0,439.0
02M288,FOOD AND FNANCE HIGH SCHOOL ,50.0,422.0,412.0,407.0
23K697,TEACHERS PREPARATORY SCHOOL ,59.0,396.0,389.0,389.0
06M457,YABC AT G. WASHINGTON EDUCATIONAL CAMPUS ,,,,
03M860,FREDERICK DOUGLAS ACADEMY II ,33.0,414.0,410.0,406.0
02M449,VANGUARD HIGH SCHOOL ,54.0,367.0,395.0,373.0
17K531,SCHOOL FOR HUMAN RIGHTS ,21.0,357.0,391.0,343.0
10X225,Theatre Arts Production Company School ,53.0,382.0,375.0,363.0
30Q580,BACCALAUREATE SCH GLOBAL EDUC ,64.0,560.0,587.0,570.0
15K464,SECONDARY SCHOOL FOR RESEARCH ,65.0,373.0,395.0,368.0
11X275,High School of Computers and Technology ,56.0,399.0,402.0,373.0
24Q610,Aviation Career & Technical Education High School ,289.0,444.0,494.0,427.0
12X271,EAST BRONX ACADEMY FOR THE FUTURE ,22.0,415.0,390.0,397.0
20K445,NEW UTRECHT HIGH SCHOOL ,317.0,409.0,471.0,407.0
11X249,Bronx Health School High School 11x249 ,52.0,363.0,366.0,364.0
04M680,HERITAGE SCHOOL ,47.0,369.0,385.0,361.0
14K474,Progress High School For Professional Careers ,102.0,365.0,375.0,373.0
09X525,Bronx Leadership Academy High School ,116.0,402.0,397.0,396.0
14K488,BROOKLYN PREP HIGH SCHOOL ,44.0,397.0,377.0,387.0
09X241,Urban Assembly School for Applied Math Science ,,,,
01M450,East Side Community High School ,69.0,418.0,431.0,402.0
05M304,MOTT HALL HIGH SCHOOL ,63.0,424.0,421.0,410.0
24Q485,GROVER CLEVELAND HIGH SCHOOL ,269.0,398.0,431.0,391.0
02M690,SCHOOL FOR THE PHYSICAL CITY ,14.0,382.0,404.0,359.0
14K923,YABC at Automative High School ,,,,
07X551,Bronx Academy of Letters ,51.0,416.0,406.0,435.0
27Q400,AUGUST MARTIN HIGH SCHOOL ,102.0,377.0,372.0,362.0
05M499,FREDERICK DOUGLASS ACADEMY ,216.0,465.0,481.0,466.0
08X650,Jane Addams Vocational High School ,152.0,370.0,377.0,363.0
75X754,P754 X - Jeffrey M. Rapport School for Career Devt ,,,,
19K639,Brooklyn Lab School ,,,,
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL ,42.0,406.0,415.0,394.0
05M670,THURGOOD MARSHALL ACADEMY ,52.0,423.0,434.0,404.0
17K467,YABC AT ERASMUS CAMPUS ,,,,
02M655,LIFE SCIENCES SECONDARY SCHOOL ,71.0,399.0,389.0,383.0
02M407,Institute for Collaborative Education ,42.0,484.0,478.0,472.0
02M445,Seward Park High School ,,,,
09X227,Bronx Expeditionary Learning High School ,46.0,371.0,358.0,343.0
07X548,Urban Assembly School for Careers in Sports ,58.0,381.0,423.0,384.0
10X440,DeWitt Clinton High School ,438.0,425.0,440.0,417.0
11X415,Christopher Columbus High School ,114.0,354.0,373.0,350.0
10X439,Bronx High School of Law and Community Service ,57.0,389.0,400.0,382.0
02M630,HIGH SCHOOL OF ART AND DESIGN ,212.0,427.0,423.0,418.0
13K670,BENJAMIN BANNEKER ACADEMY ,168.0,476.0,477.0,445.0
17K382,ACADEMY FOR COLLEGE PREPARATION CAREER ,50.0,401.0,412.0,404.0
15K530,METROPOLITAN CORPORATE ACADEMY ,17.0,370.0,348.0,348.0
19K502,FDNY HIGH SCH DOR FIRE & LIFE ,29.0,376.0,375.0,363.0
28Q470,JAMAICA HIGH SCHOOL ,153.0,393.0,400.0,391.0
24Q293,Civic Leadership Academy ,,,,
24Q267,High School of Applied Communication ,67.0,411.0,420.0,407.0
07X655,Samuel Gompers Vocational Technical High School ,105.0,370.0,385.0,354.0
09X239,Urban Assembly Academy History & Citizenship ,22.0,359.0,380.0,371.0
22K405,Midwood High School at Brooklyn College ,725.0,493.0,543.0,491.0
16K455,BOYS AND GIRLS HIGH SCHOOL ,143.0,369.0,367.0,366.0
12X480,BRONX REGIONAL HIGH SCHOOL ,12.0,359.0,366.0,359.0
12X690,MONROE CAMPUS ,47.0,355.0,369.0,366.0
04M610,YOUNG WOMEN LEADERSHIP SCHOOL ,48.0,451.0,445.0,470.0
26Q435,MARTIN VAN BUREN HIGH SCHOOL ,343.0,402.0,411.0,398.0
12X278,PEACE & DIVERSITY ACAD HIGH SCHOOL ,24.0,408.0,400.0,401.0
08X295,Gateway School for Environmental Research & Tech ,31.0,377.0,367.0,368.0
26Q430,FRANCIS LEWIS HIGH SCHOOL ,808.0,457.0,530.0,454.0
27Q308,Robert H. Goddard High School for Communication Art ,,,,
18K500,CANARSIE HIGH SCHOOL ,128.0,372.0,373.0,364.0
21K572,Expeditionary Learning Sch for Community Leaders ,,,,
15K463,SECONDARY SCHOOL JOURNALISM ,75.0,393.0,372.0,370.0
22K535,LEON M GOLDSTEIN HIGH SCHOOL ,239.0,543.0,578.0,559.0
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II ,42.0,545.0,548.0,541.0
18K617,High School for Innovation in Advertising and Media ,,,,
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL ,33.0,322.0,335.0,327.0
10X434,Belmont Preparatory High School ,65.0,358.0,370.0,346.0
17K440,Prospect Heights High School ,12.0,388.0,373.0,374.0
18K589,ARTS & MEDIA PREPARATORY ACADEMY ,,,,
18K501,YABC AT CANARSIE HIGH SCHOOL ,,,,
32K403,ACADEMY OF ENVIRONMENTAL LEADERSHIP ,36.0,382.0,369.0,374.0
32K554,ALL CITY LEADERSHIP SECONDARY ,29.0,394.0,420.0,395.0
13K412,BROOKLYN COMMUNITY HIGH SCHOOL ,43.0,393.0,356.0,377.0
