credit/table7.duration,credit/table7.installment_commitment,credit/table7.savings_status,credit_amount
60.0,3.0,<100,6836.0
21.0,2.0,<100,2319.0
6.0,2.0,500<=X<1000,1236.0
21.0,1.0,no known savings,5003.0
12.0,4.0,no known savings,886.0
24.0,4.0,<100,1442.0
6.0,1.0,500<=X<1000,2978.0
24.0,1.0,100<=X<500,2359.0
24.0,2.0,no known savings,2996.0
18.0,3.0,<100,3780.0
27.0,4.0,no known savings,5190.0
36.0,4.0,<100,4795.0
12.0,4.0,<100,697.0
18.0,2.0,<100,4165.0
14.0,1.0,<100,3973.0
18.0,4.0,100<=X<500,1864.0
6.0,2.0,<100,1047.0
18.0,3.0,<100,433.0
36.0,2.0,no known savings,3711.0
9.0,4.0,<100,1206.0
6.0,4.0,>=1000,1543.0
4.0,1.0,<100,3380.0
24.0,3.0,500<=X<1000,1258.0
12.0,4.0,100<=X<500,2073.0
21.0,4.0,<100,2606.0
12.0,2.0,<100,2096.0
12.0,4.0,<100,1255.0
9.0,1.0,<100,1236.0
24.0,4.0,<100,1278.0
6.0,4.0,no known savings,1374.0
10.0,1.0,<100,3949.0
12.0,4.0,no known savings,2390.0
24.0,4.0,<100,1201.0
15.0,2.0,<100,2788.0
12.0,4.0,no known savings,1264.0
24.0,2.0,<100,4020.0
9.0,2.0,500<=X<1000,2507.0
24.0,3.0,500<=X<1000,2397.0
27.0,4.0,<100,3915.0
48.0,2.0,100<=X<500,11590.0
42.0,2.0,<100,7882.0
12.0,4.0,<100,1495.0
24.0,4.0,no known savings,2255.0
9.0,4.0,no known savings,1549.0
30.0,2.0,no known savings,4811.0
14.0,1.0,500<=X<1000,1410.0
5.0,1.0,<100,3448.0
11.0,2.0,<100,4771.0
10.0,3.0,<100,2315.0
48.0,4.0,<100,4788.0
18.0,3.0,100<=X<500,1568.0
15.0,4.0,100<=X<500,1569.0
40.0,4.0,<100,5998.0
18.0,4.0,no known savings,1169.0
12.0,1.0,<100,1223.0
18.0,4.0,>=1000,2659.0
6.0,4.0,no known savings,700.0
10.0,1.0,100<=X<500,2848.0
9.0,3.0,<100,1366.0
36.0,2.0,no known savings,9055.0
24.0,2.0,<100,1987.0
24.0,3.0,<100,2924.0
18.0,4.0,100<=X<500,2622.0
36.0,4.0,no known savings,6304.0
36.0,4.0,<100,4463.0
36.0,3.0,no known savings,7409.0
24.0,4.0,no known savings,717.0
20.0,4.0,no known savings,2212.0
18.0,4.0,<100,1553.0
18.0,3.0,<100,12976.0
12.0,2.0,<100,1934.0
33.0,1.0,500<=X<1000,4281.0
16.0,2.0,<100,2625.0
6.0,3.0,>=1000,666.0
24.0,3.0,100<=X<500,3488.0
30.0,4.0,<100,5234.0
6.0,1.0,<100,1382.0
36.0,4.0,<100,3349.0
15.0,4.0,500<=X<1000,1213.0
12.0,4.0,100<=X<500,836.0
12.0,4.0,<100,1289.0
12.0,2.0,<100,1258.0
30.0,1.0,<100,2522.0
12.0,2.0,<100,1076.0
36.0,2.0,no known savings,3835.0
18.0,4.0,<100,1505.0
30.0,4.0,<100,2406.0
15.0,3.0,>=1000,1512.0
12.0,4.0,<100,7865.0
18.0,3.0,<100,3590.0
24.0,4.0,500<=X<1000,3349.0
18.0,1.0,no known savings,7511.0
36.0,2.0,<100,5493.0
18.0,4.0,<100,1950.0
12.0,2.0,<100,2247.0
33.0,2.0,<100,2764.0
30.0,4.0,100<=X<500,1919.0
9.0,1.0,<100,1313.0
36.0,2.0,<100,6948.0
12.0,2.0,<100,1282.0
24.0,4.0,<100,2032.0
12.0,4.0,<100,1884.0
30.0,4.0,>=1000,3622.0
12.0,2.0,<100,958.0
36.0,4.0,>=1000,5711.0
24.0,2.0,100<=X<500,3621.0
24.0,3.0,<100,4110.0
12.0,2.0,<100,2930.0
12.0,4.0,<100,1498.0
24.0,2.0,>=1000,2578.0
24.0,4.0,no known savings,1358.0
36.0,3.0,<100,2273.0
12.0,1.0,<100,3124.0
12.0,4.0,<100,2969.0
12.0,3.0,no known savings,1424.0
24.0,4.0,<100,2670.0
9.0,4.0,<100,1478.0
18.0,2.0,no known savings,3229.0
48.0,4.0,<100,6416.0
27.0,2.0,<100,5293.0
30.0,2.0,<100,3832.0
36.0,3.0,<100,5371.0
24.0,4.0,no known savings,1344.0
42.0,4.0,500<=X<1000,4042.0
18.0,4.0,<100,3509.0
15.0,2.0,500<=X<1000,2360.0
18.0,1.0,500<=X<1000,3213.0
6.0,4.0,<100,1209.0
6.0,4.0,<100,1198.0
18.0,4.0,<100,1984.0
30.0,4.0,100<=X<500,2503.0
24.0,4.0,100<=X<500,5511.0
12.0,4.0,<100,1228.0
9.0,1.0,no known savings,3832.0
6.0,4.0,no known savings,1169.0
12.0,2.0,<100,708.0
48.0,3.0,100<=X<500,6560.0
24.0,3.0,<100,1552.0
24.0,4.0,100<=X<500,1382.0
12.0,4.0,<100,1503.0
24.0,4.0,<100,5152.0
18.0,4.0,no known savings,2899.0
24.0,3.0,<100,2064.0
12.0,4.0,<100,2121.0
9.0,2.0,<100,2406.0
15.0,2.0,>=1000,3186.0
48.0,1.0,<100,6999.0
15.0,4.0,no known savings,1386.0
12.0,4.0,<100,618.0
24.0,2.0,no known savings,6842.0
36.0,2.0,<100,4455.0
30.0,1.0,<100,11998.0
36.0,3.0,no known savings,8947.0
36.0,4.0,no known savings,2394.0
36.0,1.0,<100,9398.0
36.0,4.0,<100,6887.0
6.0,1.0,<100,672.0
12.0,1.0,no known savings,2762.0
12.0,2.0,no known savings,5801.0
21.0,4.0,<100,2288.0
21.0,4.0,100<=X<500,1591.0
18.0,3.0,<100,1056.0
12.0,4.0,no known savings,1240.0
36.0,4.0,no known savings,11054.0
36.0,4.0,500<=X<1000,909.0
7.0,3.0,<100,2415.0
24.0,4.0,100<=X<500,2223.0
6.0,2.0,<100,2108.0
15.0,2.0,500<=X<1000,2326.0
15.0,4.0,<100,1471.0
24.0,4.0,<100,1935.0
15.0,1.0,500<=X<1000,5324.0
6.0,2.0,>=1000,709.0
8.0,4.0,<100,1414.0
24.0,3.0,500<=X<1000,2835.0
13.0,3.0,<100,1797.0
12.0,3.0,100<=X<500,1037.0
42.0,2.0,<100,5954.0
36.0,4.0,<100,4454.0
48.0,3.0,<100,3051.0
12.0,4.0,<100,1291.0
48.0,4.0,100<=X<500,3566.0
6.0,1.0,no known savings,1221.0
4.0,2.0,<100,1544.0
12.0,4.0,<100,625.0
12.0,3.0,<100,2002.0
24.0,4.0,<100,3123.0
15.0,2.0,<100,2708.0
12.0,2.0,no known savings,3565.0
12.0,2.0,500<=X<1000,1480.0
15.0,4.0,<100,1360.0
12.0,3.0,500<=X<1000,1158.0
12.0,4.0,<100,1103.0
24.0,1.0,no known savings,7721.0
18.0,4.0,<100,1217.0
12.0,2.0,no known savings,6468.0
24.0,1.0,<100,2039.0
20.0,2.0,<100,2629.0
15.0,3.0,no known savings,1271.0
12.0,4.0,<100,804.0
10.0,2.0,no known savings,2069.0
48.0,3.0,no known savings,7238.0
18.0,1.0,<100,3049.0
15.0,2.0,100<=X<500,2631.0
30.0,2.0,100<=X<500,3441.0
24.0,4.0,<100,2284.0
18.0,4.0,<100,1049.0
24.0,4.0,<100,4169.0
27.0,1.0,<100,5965.0
15.0,1.0,100<=X<500,6850.0
6.0,2.0,<100,1361.0
18.0,4.0,<100,1817.0
24.0,4.0,>=1000,1940.0
10.0,3.0,<100,1231.0
6.0,1.0,<100,1554.0
18.0,4.0,500<=X<1000,629.0
15.0,4.0,<100,1478.0
45.0,2.0,<100,11816.0
6.0,3.0,100<=X<500,1203.0
7.0,2.0,<100,2576.0
24.0,4.0,<100,12579.0
30.0,1.0,no known savings,7596.0
15.0,3.0,>=1000,960.0
48.0,4.0,no known savings,3979.0
24.0,4.0,<100,2058.0
18.0,1.0,<100,3650.0
24.0,4.0,<100,1755.0
15.0,4.0,no known savings,1537.0
12.0,4.0,<100,1493.0
48.0,4.0,no known savings,12169.0
47.0,1.0,<100,10722.0
18.0,4.0,no known savings,1239.0
10.0,4.0,500<=X<1000,727.0
11.0,2.0,<100,3905.0
6.0,1.0,<100,4611.0
12.0,1.0,<100,1567.0
21.0,4.0,no known savings,1647.0
36.0,4.0,<100,3446.0
24.0,2.0,no known savings,9277.0
48.0,2.0,no known savings,12204.0
24.0,4.0,no known savings,2978.0
24.0,2.0,no known savings,5433.0
15.0,4.0,100<=X<500,1514.0
36.0,2.0,100<=X<500,8086.0
24.0,4.0,<100,1333.0
9.0,4.0,<100,1388.0
9.0,2.0,<100,1980.0
12.0,2.0,<100,2577.0
24.0,4.0,<100,6314.0
6.0,1.0,500<=X<1000,2080.0
18.0,1.0,<100,2039.0
15.0,4.0,no known savings,874.0
6.0,1.0,<100,1957.0
10.0,2.0,<100,7308.0
24.0,2.0,<100,1925.0
24.0,3.0,<100,1355.0
12.0,4.0,<100,795.0
30.0,4.0,<100,3017.0
48.0,2.0,<100,7685.0
12.0,4.0,<100,2292.0
36.0,4.0,no known savings,1977.0
36.0,4.0,<100,7855.0
18.0,2.0,<100,2775.0
21.0,1.0,<100,2353.0
18.0,2.0,<100,1820.0
12.0,2.0,no known savings,2445.0
12.0,3.0,500<=X<1000,1680.0
18.0,1.0,no known savings,8471.0
26.0,2.0,<100,7966.0
12.0,3.0,<100,3386.0
12.0,4.0,500<=X<1000,939.0
12.0,4.0,no known savings,797.0
24.0,4.0,<100,1747.0
12.0,4.0,<100,1108.0
13.0,2.0,<100,2101.0
24.0,4.0,<100,6579.0
48.0,4.0,500<=X<1000,12749.0
12.0,4.0,500<=X<1000,522.0
24.0,4.0,500<=X<1000,2828.0
24.0,3.0,<100,2718.0
10.0,1.0,100<=X<500,1240.0
12.0,4.0,>=1000,1318.0
48.0,3.0,<100,4308.0
12.0,3.0,<100,2578.0
24.0,4.0,100<=X<500,1311.0
30.0,1.0,100<=X<500,6187.0
18.0,2.0,<100,6204.0
6.0,4.0,<100,1068.0
11.0,4.0,>=1000,1577.0
24.0,4.0,<100,1585.0
18.0,3.0,<100,1940.0
24.0,1.0,<100,4241.0
6.0,1.0,<100,1299.0
24.0,4.0,100<=X<500,1469.0
28.0,4.0,<100,2743.0
12.0,4.0,<100,1963.0
48.0,2.0,<100,5096.0
12.0,4.0,<100,2579.0
36.0,2.0,500<=X<1000,7678.0
30.0,4.0,no known savings,2181.0
6.0,1.0,<100,1538.0
6.0,4.0,500<=X<1000,338.0
39.0,2.0,100<=X<500,11760.0
24.0,2.0,<100,4736.0
24.0,3.0,<100,2892.0
6.0,2.0,<100,1740.0
36.0,1.0,100<=X<500,9857.0
12.0,4.0,<100,1330.0
30.0,4.0,no known savings,3656.0
18.0,1.0,<100,976.0
12.0,4.0,<100,2149.0
48.0,4.0,<100,7763.0
6.0,1.0,<100,3384.0
24.0,4.0,100<=X<500,1282.0
18.0,4.0,<100,1028.0
24.0,2.0,<100,1393.0
12.0,4.0,<100,707.0
21.0,4.0,<100,571.0
36.0,2.0,<100,8229.0
10.0,1.0,<100,2241.0
12.0,1.0,no known savings,2331.0
30.0,4.0,>=1000,3496.0
18.0,4.0,<100,2169.0
24.0,2.0,<100,5743.0
24.0,2.0,<100,11328.0
6.0,2.0,500<=X<1000,1750.0
24.0,2.0,no known savings,5084.0
12.0,4.0,<100,902.0
24.0,2.0,<100,3660.0
24.0,4.0,no known savings,3617.0
24.0,3.0,<100,3552.0
36.0,4.0,<100,1819.0
48.0,4.0,no known savings,3914.0
24.0,4.0,100<=X<500,3878.0
18.0,4.0,<100,3422.0
9.0,3.0,<100,2136.0
24.0,2.0,>=1000,7758.0
12.0,4.0,<100,1526.0
24.0,1.0,<100,6403.0
36.0,4.0,<100,1842.0
12.0,4.0,100<=X<500,674.0
12.0,3.0,500<=X<1000,1402.0
6.0,1.0,no known savings,14555.0
24.0,4.0,<100,3757.0
10.0,2.0,no known savings,2132.0
4.0,2.0,<100,1455.0
15.0,2.0,<100,2687.0
21.0,4.0,<100,1602.0
24.0,4.0,no known savings,1965.0
12.0,4.0,<100,701.0
42.0,4.0,no known savings,7174.0
6.0,4.0,no known savings,1238.0
6.0,1.0,no known savings,4716.0
36.0,2.0,<100,9566.0
27.0,4.0,>=1000,4526.0
30.0,2.0,no known savings,2991.0
18.0,2.0,<100,3001.0
14.0,1.0,<100,8978.0
36.0,4.0,500<=X<1000,2299.0
9.0,4.0,>=1000,1136.0
9.0,2.0,<100,1501.0
45.0,3.0,100<=X<500,4576.0
15.0,2.0,<100,2327.0
24.0,1.0,<100,11560.0
12.0,2.0,<100,2748.0
12.0,4.0,<100,719.0
30.0,4.0,<100,4530.0
48.0,2.0,500<=X<1000,10127.0
21.0,1.0,<100,3599.0
27.0,4.0,500<=X<1000,2520.0
18.0,4.0,>=1000,1582.0
18.0,4.0,no known savings,1924.0
22.0,3.0,500<=X<1000,2675.0
24.0,4.0,no known savings,2333.0
12.0,4.0,<100,6199.0
48.0,4.0,<100,10297.0
27.0,3.0,<100,3416.0
24.0,3.0,100<=X<500,3092.0
24.0,4.0,>=1000,1516.0
15.0,4.0,no known savings,1979.0
30.0,4.0,<100,4249.0
24.0,3.0,500<=X<1000,3430.0
15.0,2.0,<100,1778.0
21.0,2.0,<100,1188.0
42.0,1.0,<100,9283.0
15.0,4.0,<100,1053.0
18.0,3.0,<100,3612.0
21.0,2.0,<100,3652.0
10.0,2.0,<100,1225.0
30.0,4.0,no known savings,7485.0
24.0,4.0,<100,1258.0
36.0,3.0,no known savings,8335.0
48.0,1.0,<100,3609.0
12.0,4.0,>=1000,1555.0
15.0,3.0,<100,3959.0
24.0,4.0,100<=X<500,6967.0
48.0,2.0,100<=X<500,7582.0
24.0,4.0,<100,1837.0
48.0,3.0,<100,6758.0
24.0,4.0,500<=X<1000,2483.0
30.0,2.0,no known savings,8072.0
12.0,4.0,<100,639.0
24.0,2.0,<100,2910.0
60.0,1.0,no known savings,7418.0
48.0,4.0,no known savings,10222.0
6.0,3.0,<100,454.0
24.0,2.0,>=1000,4591.0
48.0,4.0,no known savings,3578.0
60.0,2.0,no known savings,9157.0
24.0,3.0,<100,4526.0
36.0,1.0,<100,9572.0
36.0,4.0,<100,3804.0
12.0,4.0,<100,691.0
21.0,4.0,no known savings,2476.0
9.0,4.0,500<=X<1000,790.0
60.0,4.0,no known savings,6527.0
15.0,2.0,100<=X<500,1264.0
36.0,2.0,<100,7127.0
24.0,2.0,<100,2028.0
11.0,4.0,<100,1393.0
9.0,1.0,no known savings,3195.0
12.0,4.0,<100,339.0
24.0,3.0,no known savings,4042.0
12.0,4.0,<100,763.0
24.0,4.0,no known savings,2424.0
36.0,2.0,<100,4686.0
11.0,1.0,<100,7228.0
24.0,1.0,<100,7393.0
12.0,2.0,no known savings,3527.0
6.0,4.0,<100,609.0
24.0,3.0,500<=X<1000,4113.0
12.0,1.0,<100,3573.0
15.0,4.0,no known savings,1520.0
24.0,3.0,no known savings,3148.0
36.0,4.0,<100,3595.0
36.0,4.0,<100,2613.0
6.0,4.0,<100,426.0
12.0,4.0,<100,1893.0
24.0,4.0,>=1000,1287.0
36.0,2.0,<100,2145.0
18.0,4.0,<100,2473.0
24.0,4.0,<100,3149.0
18.0,4.0,<100,2100.0
30.0,4.0,no known savings,1715.0
60.0,3.0,100<=X<500,14782.0
24.0,3.0,<100,4679.0
15.0,4.0,<100,3568.0
20.0,4.0,<100,2235.0
27.0,4.0,<100,2528.0
21.0,3.0,<100,2993.0
45.0,4.0,100<=X<500,3031.0
36.0,2.0,<100,10875.0
10.0,2.0,<100,2210.0
24.0,4.0,100<=X<500,1216.0
11.0,1.0,<100,3939.0
24.0,4.0,500<=X<1000,2375.0
24.0,4.0,<100,937.0
42.0,2.0,no known savings,7166.0
15.0,4.0,500<=X<1000,1262.0
15.0,1.0,<100,3594.0
36.0,4.0,<100,5848.0
18.0,3.0,<100,1795.0
36.0,4.0,<100,3959.0
24.0,4.0,no known savings,1285.0
15.0,4.0,<100,392.0
48.0,1.0,>=1000,10961.0
9.0,3.0,100<=X<500,2753.0
9.0,4.0,<100,1919.0
12.0,4.0,no known savings,2028.0
18.0,4.0,no known savings,1042.0
6.0,2.0,<100,428.0
9.0,2.0,<100,2799.0
39.0,2.0,<100,4933.0
60.0,2.0,<100,10366.0
12.0,3.0,500<=X<1000,2366.0
18.0,2.0,no known savings,3378.0
10.0,1.0,<100,1924.0
14.0,4.0,<100,802.0
48.0,1.0,500<=X<1000,8358.0
12.0,4.0,<100,1424.0
30.0,2.0,<100,4221.0
24.0,4.0,<100,1559.0
12.0,4.0,<100,2214.0
12.0,2.0,>=1000,3059.0
12.0,4.0,no known savings,930.0
48.0,1.0,<100,6110.0
12.0,2.0,<100,2759.0
12.0,4.0,<100,1922.0
24.0,2.0,100<=X<500,4151.0
10.0,4.0,<100,1038.0
15.0,1.0,<100,2511.0
30.0,3.0,<100,5954.0
12.0,4.0,<100,1858.0
8.0,4.0,<100,760.0
15.0,4.0,<100,1829.0
18.0,2.0,<100,5302.0
12.0,4.0,100<=X<500,741.0
10.0,4.0,no known savings,1287.0
24.0,4.0,no known savings,1381.0
6.0,2.0,100<=X<500,1346.0
48.0,4.0,<100,6224.0
18.0,4.0,<100,750.0
28.0,3.0,no known savings,7824.0
12.0,4.0,no known savings,996.0
24.0,4.0,no known savings,2825.0
10.0,3.0,100<=X<500,1418.0
12.0,4.0,100<=X<500,682.0
6.0,1.0,<100,860.0
9.0,4.0,<100,1337.0
9.0,4.0,<100,1670.0
30.0,4.0,100<=X<500,4280.0
18.0,2.0,<100,6361.0
6.0,1.0,100<=X<500,1743.0
12.0,4.0,no known savings,754.0
8.0,1.0,<100,3398.0
9.0,2.0,<100,5129.0
10.0,4.0,<100,781.0
18.0,4.0,<100,1442.0
18.0,4.0,<100,2051.0
18.0,2.0,<100,2462.0
28.0,3.0,<100,4006.0
12.0,4.0,100<=X<500,951.0
15.0,4.0,no known savings,1300.0
24.0,4.0,100<=X<500,1901.0
42.0,4.0,<100,4796.0
18.0,3.0,<100,1473.0
12.0,3.0,<100,1768.0
24.0,4.0,>=1000,3777.0
27.0,3.0,<100,5117.0
42.0,4.0,<100,3394.0
12.0,4.0,<100,717.0
36.0,2.0,<100,5842.0
9.0,3.0,<100,1224.0
12.0,3.0,<100,1155.0
21.0,2.0,no known savings,3763.0
12.0,4.0,<100,1082.0
48.0,2.0,<100,15672.0
12.0,3.0,<100,3499.0
60.0,2.0,<100,15653.0
24.0,2.0,<100,8648.0
20.0,1.0,no known savings,6468.0
24.0,2.0,no known savings,2812.0
36.0,3.0,no known savings,3990.0
11.0,1.0,>=1000,2142.0
10.0,2.0,<100,1364.0
15.0,4.0,<100,1308.0
48.0,1.0,<100,18424.0
12.0,2.0,100<=X<500,841.0
6.0,3.0,<100,590.0
24.0,4.0,<100,3345.0
18.0,4.0,<100,2600.0
12.0,2.0,<100,3590.0
15.0,1.0,no known savings,5045.0
18.0,4.0,no known savings,1126.0
24.0,1.0,<100,1193.0
39.0,4.0,100<=X<500,8588.0
24.0,4.0,<100,1533.0
18.0,4.0,<100,1345.0
12.0,2.0,<100,1620.0
36.0,4.0,100<=X<500,9034.0
18.0,3.0,<100,6260.0
15.0,3.0,100<=X<500,2631.0
12.0,3.0,100<=X<500,2141.0
12.0,4.0,<100,652.0
36.0,4.0,100<=X<500,2671.0
36.0,2.0,100<=X<500,5742.0
60.0,2.0,no known savings,13756.0
48.0,3.0,<100,4844.0
18.0,4.0,<100,1943.0
18.0,4.0,<100,866.0
18.0,4.0,>=1000,1941.0
24.0,4.0,<100,5150.0
24.0,1.0,no known savings,4351.0
24.0,4.0,<100,947.0
24.0,4.0,<100,1967.0
15.0,1.0,no known savings,2186.0
9.0,2.0,<100,2118.0
12.0,4.0,<100,776.0
15.0,1.0,100<=X<500,3812.0
39.0,4.0,no known savings,14179.0
9.0,2.0,100<=X<500,1437.0
15.0,4.0,no known savings,1444.0
18.0,4.0,no known savings,1445.0
18.0,2.0,<100,2320.0
30.0,2.0,100<=X<500,4272.0
15.0,3.0,<100,4657.0
36.0,4.0,<100,10974.0
48.0,4.0,<100,3931.0
9.0,4.0,<100,654.0
24.0,1.0,500<=X<1000,3758.0
10.0,4.0,no known savings,1309.0
42.0,3.0,<100,4370.0
13.0,2.0,100<=X<500,1409.0
30.0,4.0,no known savings,1867.0
12.0,2.0,<100,1107.0
12.0,4.0,<100,640.0
24.0,4.0,100<=X<500,1474.0
12.0,4.0,no known savings,976.0
36.0,4.0,no known savings,7980.0
18.0,2.0,no known savings,6761.0
18.0,3.0,100<=X<500,2278.0
9.0,2.0,<100,1154.0
24.0,3.0,no known savings,1927.0
9.0,2.0,100<=X<500,2301.0
12.0,4.0,<100,1412.0
48.0,3.0,<100,4605.0
18.0,4.0,<100,1800.0
6.0,1.0,no known savings,1898.0
18.0,4.0,<100,1113.0
45.0,4.0,<100,4746.0
12.0,1.0,<100,1534.0
15.0,4.0,<100,950.0
24.0,4.0,<100,2346.0
27.0,4.0,<100,2442.0
15.0,4.0,<100,3343.0
24.0,4.0,<100,1249.0
15.0,4.0,<100,1845.0
24.0,2.0,>=1000,2603.0
54.0,3.0,<100,15945.0
36.0,1.0,no known savings,12389.0
24.0,4.0,no known savings,915.0
21.0,4.0,no known savings,3160.0
9.0,4.0,<100,1082.0
15.0,2.0,<100,975.0
36.0,1.0,<100,3620.0
12.0,4.0,100<=X<500,1995.0
36.0,4.0,<100,6614.0
12.0,4.0,<100,1935.0
36.0,2.0,<100,3249.0
24.0,4.0,500<=X<1000,3062.0
36.0,3.0,<100,2348.0
30.0,2.0,<100,3108.0
9.0,3.0,<100,1364.0
36.0,2.0,<100,3913.0
24.0,3.0,<100,4870.0
12.0,1.0,<100,3617.0
15.0,3.0,100<=X<500,4623.0
12.0,4.0,<100,1344.0
21.0,4.0,>=1000,3357.0
6.0,1.0,<100,6761.0
24.0,4.0,<100,2022.0
6.0,2.0,>=1000,250.0
24.0,3.0,<100,5103.0
36.0,4.0,<100,2337.0
12.0,1.0,no known savings,7472.0
18.0,4.0,<100,1882.0
15.0,4.0,<100,806.0
24.0,4.0,no known savings,2197.0
9.0,2.0,100<=X<500,1126.0
6.0,1.0,500<=X<1000,1352.0
18.0,2.0,100<=X<500,5866.0
18.0,2.0,<100,3872.0
24.0,4.0,<100,2611.0
9.0,4.0,500<=X<1000,936.0
60.0,2.0,100<=X<500,10144.0
12.0,3.0,>=1000,409.0
24.0,3.0,<100,7814.0
36.0,4.0,<100,4210.0
6.0,2.0,<100,3518.0
21.0,1.0,<100,3275.0
36.0,4.0,<100,14318.0
12.0,4.0,<100,1092.0
21.0,1.0,500<=X<1000,2782.0
21.0,4.0,500<=X<1000,2580.0
12.0,1.0,>=1000,983.0
21.0,4.0,>=1000,1572.0
18.0,4.0,<100,1301.0
15.0,4.0,no known savings,2728.0
36.0,4.0,<100,1953.0
6.0,4.0,<100,448.0
12.0,2.0,500<=X<1000,1386.0
12.0,4.0,<100,1860.0
6.0,2.0,<100,753.0
24.0,3.0,<100,5507.0
24.0,4.0,<100,2957.0
15.0,3.0,no known savings,3556.0
24.0,4.0,<100,3181.0
36.0,4.0,<100,9629.0
15.0,2.0,<100,1403.0
9.0,3.0,100<=X<500,1288.0
30.0,4.0,500<=X<1000,2333.0
6.0,1.0,100<=X<500,1237.0
6.0,4.0,100<=X<500,362.0
16.0,2.0,<100,1175.0
21.0,4.0,no known savings,12680.0
18.0,3.0,<100,3104.0
24.0,3.0,no known savings,6313.0
12.0,3.0,<100,1262.0
9.0,3.0,<100,1422.0
15.0,4.0,no known savings,1275.0
21.0,1.0,no known savings,5248.0
20.0,3.0,100<=X<500,6148.0
27.0,3.0,<100,2570.0
48.0,1.0,<100,9960.0
48.0,4.0,<100,6331.0
12.0,1.0,<100,2251.0
15.0,2.0,500<=X<1000,1316.0
15.0,2.0,<100,1721.0
24.0,4.0,<100,2679.0
30.0,4.0,<100,3857.0
36.0,2.0,<100,7432.0
24.0,4.0,<100,2439.0
24.0,4.0,no known savings,999.0
12.0,4.0,<100,1168.0
18.0,4.0,<100,1055.0
12.0,2.0,<100,1331.0
24.0,2.0,>=1000,1275.0
18.0,4.0,no known savings,1887.0
24.0,4.0,100<=X<500,1377.0
39.0,4.0,500<=X<1000,2569.0
12.0,3.0,<100,3016.0
36.0,3.0,<100,8065.0
24.0,2.0,<100,11938.0
24.0,3.0,100<=X<500,1553.0
9.0,3.0,<100,1449.0
48.0,2.0,<100,5951.0
6.0,4.0,<100,2063.0
21.0,1.0,100<=X<500,2923.0
24.0,4.0,<100,1546.0
24.0,1.0,no known savings,5943.0
30.0,3.0,<100,10623.0
12.0,4.0,<100,1474.0
24.0,4.0,no known savings,1371.0
24.0,4.0,<100,1413.0
18.0,4.0,>=1000,1149.0
24.0,2.0,<100,4817.0
18.0,3.0,<100,3850.0
12.0,4.0,<100,1409.0
10.0,4.0,<100,1521.0
12.0,3.0,>=1000,1592.0
24.0,4.0,no known savings,4712.0
15.0,4.0,<100,1459.0
36.0,4.0,<100,3535.0
6.0,3.0,<100,1595.0
24.0,4.0,<100,1199.0
36.0,4.0,<100,2746.0
7.0,1.0,<100,2329.0
18.0,4.0,<100,7374.0
48.0,4.0,<100,3060.0
18.0,4.0,<100,1131.0
36.0,4.0,<100,5179.0
18.0,2.0,no known savings,1936.0
30.0,2.0,<100,4583.0
36.0,2.0,<100,15857.0
12.0,4.0,500<=X<1000,1163.0
30.0,2.0,<100,8386.0
24.0,4.0,<100,1207.0
18.0,4.0,<100,1216.0
12.0,3.0,<100,1185.0
12.0,2.0,<100,1372.0
11.0,4.0,>=1000,1322.0
6.0,2.0,<100,683.0
10.0,4.0,no known savings,1347.0
18.0,1.0,<100,3244.0
12.0,2.0,<100,1410.0
15.0,4.0,<100,1905.0
18.0,1.0,<100,3114.0
12.0,4.0,no known savings,2279.0
12.0,4.0,<100,759.0
18.0,3.0,<100,1961.0
18.0,4.0,<100,1245.0
24.0,4.0,no known savings,2964.0
10.0,4.0,no known savings,894.0
12.0,3.0,<100,1274.0
30.0,4.0,<100,2150.0
6.0,2.0,500<=X<1000,2647.0
12.0,2.0,<100,685.0
18.0,3.0,<100,4594.0
24.0,3.0,100<=X<500,2872.0
18.0,2.0,<100,2404.0
24.0,4.0,>=1000,1231.0
48.0,4.0,100<=X<500,3844.0
18.0,2.0,<100,2238.0
36.0,2.0,<100,9271.0
10.0,3.0,500<=X<1000,1597.0
27.0,2.0,<100,8318.0
18.0,1.0,<100,4439.0
12.0,2.0,<100,1655.0
8.0,3.0,<100,1237.0
12.0,4.0,no known savings,900.0
48.0,1.0,no known savings,8487.0
6.0,4.0,<100,1050.0
6.0,1.0,<100,1343.0
20.0,3.0,no known savings,7057.0
10.0,1.0,<100,2146.0
36.0,1.0,100<=X<500,12612.0
6.0,4.0,<100,343.0
24.0,2.0,<100,6615.0
36.0,4.0,no known savings,3342.0
24.0,4.0,<100,1659.0
24.0,4.0,<100,3868.0
18.0,4.0,<100,1808.0
9.0,4.0,<100,2134.0
12.0,4.0,500<=X<1000,1123.0
7.0,4.0,no known savings,730.0
18.0,2.0,<100,6458.0
18.0,4.0,no known savings,2662.0
24.0,4.0,>=1000,5804.0
12.0,2.0,no known savings,1484.0
6.0,3.0,<100,932.0
