customer,cylinder_number,grain_screened,ink_type,paper_type
tvguide,x126,yes,uncoated,uncoated
tvguide,x266,yes,uncoated,uncoated
modmat,b7,yes,coated,uncoated
massey,t133,yes,uncoated,uncoated
kmart,j34,no,coated,uncoated
massey,t218,yes,uncoated,uncoated
roses,x249,no,coated,coated
roses,x788,no,coated,coated
modmat,m372,yes,uncoated,uncoated
childcraft,i320,yes,uncoated,uncoated
childcraft,i337,yes,uncoated,uncoated
hanovrhouse,x352,yes,uncoated,uncoated
hanovrhous,x67,yes,uncoated,uncoated
guideposts,x817,yes,uncoated,uncoated
hanovrhous,x273,yes,uncoated,uncoated
modmat,f108,?,coated,coated
homeshop,f237,no,coated,coated
homeshop,f267,no,coated,coated
uscav,s21,yes,uncoated,uncoated
uscav,f492,yes,uncoated,uncoated
colortil,x799,no,coated,coated
colortil,x823,no,coated,coated
wards,x163,no,coated,coated
target,o4,no,coated,coated
kmart,e84,no,coated,coated
kmart,e81,no,coated,coated
kmart,e72,no,coated,uncoated
kmart,e310,no,coated,uncoated
woolworth,x29,no,coated,coated
ames,x292,no,coated,coated
kmart,j9,no,coated,uncoated
kmart,j582,no,coated,uncoated
tvguide,x141,yes,uncoated,uncoated
tvguide,x818,yes,uncoated,uncoated
woolwrth,v376,no,coated,coated
abbypress,m254,no,coated,coated
target,r5,no,coated,coated
belks,j33,yes,uncoated,uncoated
belks,j43,yes,uncoated,uncoated
sears,i357,no,coated,uncoated
sears,i353,no,coated,uncoated
abbypress,m254,no,coated,coated
roses,x291,no,coated,coated
roses,x129,no,coated,coated
jcpenny,x297,no,coated,uncoated
jcpenny,x146,no,coated,uncoated
roses,x129,no,coated,coated
cenpurch,e303,no,coated,coated
cenpurch,e68,no,coated,coated
kmart,j42,no,uncoated,uncoated
belk,x53,yes,uncoated,uncoated
belk,x821,yes,uncoated,uncoated
toysrus,x118,no,coated,coated
toysrus,x826,no,coated,coated
target,r23,no,coated,coated
roses,x291,no,coated,coated
sears,i354,no,coated,uncoated
sears,i358,no,coated,uncoated
tvguide,x760,yes,uncoated,uncoated
kmart,e26,yes,uncoated,uncoated
kmart,e84,yes,uncoated,uncoated
kmart,e69,yes,uncoated,uncoated
kmart,e77,yes,uncoated,uncoated
kmart,e83,?,uncoated,uncoated
kmart,e67,?,uncoated,uncoated
kmart,e83,?,uncoated,uncoated
kmart,x791,yes,uncoated,uncoated
kmart,e90,no,coated,uncoated
eckerd,x271,no,coated,coated
modmat,f308,no,uncoated,coated
modmat,t281,no,uncoated,uncoated
modmat,f067,no,uncoated,uncoated
ames,x405,no,coated,coated
kmart,e91,no,coated,uncoated
modmat,f615,yes,uncoated,uncoated
modmat,f510,no,uncoated,coated
modmat,f670,yes,uncoated,uncoated
kmart,e310,no,coated,uncoated
modmat,f670,yes,uncoated,uncoated
modmat,m402,yes,uncoated,uncoated
kmart,x18,no,coated,uncoated
modmat,f615,yes,uncoated,uncoated
kmart,f310,no,coated,uncoated
kmart,f72,no,coated,uncoated
roses,x308,no,coated,coated
tvguide,x720,yes,uncoated,uncoated
jcp,g404,no,coated,uncoated
tvguide,x798,yes,uncoated,uncoated
tvguide,x160,yes,uncoated,uncoated
jcp,g416,no,coated,uncoated
kmart,x350,no,coated,coated
kmart,x264,no,coated,coated
tvguide,x838,yes,uncoated,uncoated
woolworth,x89,no,coated,coated
belk,x102,yes,uncoated,uncoated
belk,x830,yes,uncoated,uncoated
roses,x118,no,coated,coated
roses,x35,no,coated,coated
colortile,x390,no,coated,coated
colortile,x754,no,coated,coated
target,o2,no,coated,uncoated
target,3,no,coated,uncoated
bestprod,f103,no,coated,uncoated
bestprod,s180,no,coated,uncoated
target,o8,no,coated,coated
eckerd,g608,no,coated,coated
modmat,f416,yes,coated,coated
target,r14,no,coated,coated
target,r14,no,coated,coated
guideposts,x249,yes,cover,uncoated
tvguide,x817,yes,uncoated,uncoated
tvguide,x746,yes,uncoated,uncoated
toysrus,x195,no,coated,coated
toysrus,x405,no,coated,coated
modmat,m337,yes,uncoated,uncoated
modmat,t32,yes,uncoated,uncoated
modmat,m410,yes,uncoated,uncoated
modmat,e510,yes,uncoated,uncoated
ames,g108,no,coated,coated
wards,g145,no,coated,coated
tvguide,x356,yes,uncoated,uncoated
wards,g95,no,coated,coated
hanhouse,x802,yes,uncoated,uncoated
tvguide,x779,yes,uncoated,uncoated
modmat,t380,yes,uncoated,uncoated
modmat,f146,yes,uncoated,uncoated
toysrus,x9,no,coated,coated
toysrus,x21,no,coated,coated
ames,x220,no,coated,coated
ames,x147,no,coated,coated
kmart,e92,no,coated,uncoated
kmart,e85,no,coated,uncoated
bestprod,f685,no,coated,uncoated
bestprod,f569,no,cover,uncoated
hanhouse,x139,yes,uncoated,uncoated
tvguide,x12,yes,uncoated,uncoated
eckerd,g518,no,coated,coated
eckerd,x116,no,coated,coated
kmart,x818,no,coated,uncoated
kmart,x346,no,coated,uncoated
eckerd,x103,no,coated,coated
kmart,e74,no,coated,uncoated
kmart,e86,no,coated,uncoated
wards,x396,no,coated,coated
roses,x155,no,coated,coated
roses,x29,no,coated,coated
eckerd,g518,no,coated,coated
eckerd,g608,no,coated,coated
modmat,m337,yes,uncoated,uncoated
wards,x381,no,coated,coated
hills,j582,no,coated,coated
hills,j62,no,coated,coated
modmat,f510,yes,uncoated,uncoated
kmart,y216,no,coated,uncoated
wards,g089,no,coated,coated
wards,g572,no,coated,coated
ames,x390,no,coated,coated
wards,x831,no,coated,coated
wards,g78,no,coated,coated
roses,x158,no,coated,coated
roses,x804,no,coated,coated
wards,g69,no,coated,coated
wards,x820,no,coated,coated
massey,i343,yes,uncoated,uncoated
sheplers,r2,yes,uncoated,uncoated
wards,x760,no,coated,uncoated
childcraft,i383,yes,cover,uncoated
hanoverhouse,t176,yes,uncoated,uncoated
kmart,y255,no,coated,uncoated
eckerd,x253,no,coated,coated
kmart,aa11,no,coated,uncoated
modmat,m362,yes,coated,coated
modmat,f26,yes,coated,coated
massey,i820,yes,uncoated,uncoated
wards,x367,no,coated,coated
wards,x793,no,coated,coated
modmat,f679,yes,uncoated,uncoated
modmat,f242,yes,uncoated,uncoated
modmat,m260,yes,uncoated,uncoated
austads,i331,yes,uncoated,uncoated
target,o21,no,coated,coated
wards,j68,no,coated,coated
wards,j42,no,coated,coated
natlwildlife,f331,yes,uncoated,uncoated
natlwildlife,f571,yes,cover,uncoated
modmat,m93,no,coated,coated
eckerd,g467,no,coated,coated
jamesway,f227,no,coated,uncoated
burdines,g496,yes,uncoated,uncoated
exxon,f329,yes,uncoated,uncoated
tvguide,x203,yes,uncoated,uncoated
exxon,t313,yes,uncoated,uncoated
target,r4,no,coated,coated
target,r15,no,coated,coated
wards,x400,no,coated,coated
target,o6,no,coated,uncoated
target,o14,no,coated,uncoated
modmat,t244,yes,uncoated,uncoated
modmat,m260,yes,uncoated,uncoated
modmat,t383,no,coated,coated
modmat,t78,yes,uncoated,uncoated
modmat,m4,yes,uncoated,uncoated
modmat,f672,yes,uncoated,uncoated
toysrus,x776,no,coated,coated
toysrus,x713,no,coated,coated
homeshopping,m432,no,coated,coated
homeshopping,m257,no,coated,coated
tvguide,x138,yes,uncoated,uncoated
ntlwildlife,f670,yes,cover,uncoated
hanoverhouse,x787,yes,cover,uncoated
natlwildlife,f590,yes,uncoated,uncoated
jamesway,f19,no,coated,coated
jamesway,f89,no,coated,coated
target,r17,no,coated,coated
target,r29,no,coated,coated
wards,x423,no,coated,coated
wards,x414,no,coated,coated
wards,x84,no,coated,coated
wards,x96,no,coated,coated
childworld,g407,yes,uncoated,coated
childworld,g150,yes,uncoated,coated
tvguide,x777,yes,uncoated,uncoated
downs,b6,yes,uncoated,uncoated
downs,f85,yes,uncoated,uncoated
global,i301,yes,cover,uncoated
casualliving,f135,yes,uncoated,uncoated
casualliving,t178,yes,uncoated,uncoated
campingworld,f257,?,coated,coated
campingworld,f170,?,coated,coated
childcraft,f77,yes,cover,uncoated
tvguide,x95,yes,uncoated,uncoated
oldvillageshop,m254,yes,uncoated,uncoated
globalequp,i347,no,uncoated,uncoated
wards,x116,no,coated,coated
oldvillageshop,m45,yes,uncoated,uncoated
wards,x273,no,coated,coated
yieldhouse,j6,yes,uncoated,uncoated
ames,x135,no,coated,coated
tvguide,x151,yes,uncoated,uncoated
guideposts,x750,yes,uncoated,uncoated
massey,t245,yes,uncoated,uncoated
massey,f374,yes,uncoated,uncoated
modmat,b181,yes,uncoated,uncoated
modmat,m332,yes,uncoated,uncoated
massey,t234,yes,uncoated,uncoated
modmat,m39,yes,uncoated,uncoated
modmat,f450,yes,uncoated,uncoated
ames,x281,no,coated,coated
hills,x346,no,coated,coated
hills,x235,no,coated,coated
modmat,b125,yes,coated,coated
modmat,t280,yes,coated,coated
rei,t8,yes,uncoated,uncoated
rei,f257,yes,uncoated,uncoated
rei,f261,yes,uncoated,uncoated
uscav,f264,yes,uncoated,uncoated
uscav,f294,yes,uncoated,uncoated
eckerds,x232,no,coated,coated
eckerds,x750,no,coated,coated
roses,x351,no,coated,coated
roses,x25,no,coated,coated
target,o7,no,coated,coated
target,o15,no,coated,coated
wards,x753,no,coated,coated
wards,x823,no,coated,coated
wards,x60,no,coated,coated
walmart,j40,?,uncoated,coated
roses,x153,no,coated,coated
roses,x272,no,coated,coated
downs,f131,yes,uncoated,uncoated
rei,f76,yes,uncoated,uncoated
downs,f383,yes,uncoated,uncoated
rei,f374,yes,uncoated,uncoated
wards,j15,no,coated,coated
wards,j38,no,coated,coated
walmart,j60,no,uncoated,coated
walmart,j60,no,coated,coated
walmart,j40,?,uncoated,coated
walmart,j45,no,uncoated,coated
ames,x315,no,coated,coated
ames,x766,no,coated,coated
sheplers,w717,yes,uncoated,uncoated
sheplers,w516,yes,uncoated,uncoated
tvguide,x35,yes,uncoated,uncoated
dunns,f633,yes,uncoated,uncoated
dunns,m200,yes,uncoated,uncoated
target,r15,no,coated,coated
mervyns,x65,no,coated,coated
walmart,x333,no,coated,coated
mervyns,x282,no,coated,coated
walmart,x184,no,coated,coated
target,r22,no,coated,coated
target,r23,no,coated,coated
dunns,f236,yes,uncoated,uncoated
dunns,f38,yes,uncoated,uncoated
lazarus,x91,yes,uncoated,uncoated
lazarus,x132,yes,uncoated,uncoated
ames,x377,no,coated,coated
ames,x129,no,coated,coated
galls,t204,yes,uncoated,uncoated
tvguide,x197,yes,uncoated,uncoated
tvguide,x138,yes,uncoated,uncoated
ames,x727,no,coated,uncoated
ames,x60,no,coated,uncoated
competitivedge,f192,yes,uncoated,uncoated
competitivedge,m254,yes,uncoated,uncoated
austads,i353,yes,uncoated,uncoated
austads,i346,yes,uncoated,uncoated
target,r6,no,coated,coated
target,r6,no,coated,coated
colortile,g657,no,coated,coated
target,r7,no,coated,coated
modmat,f126,yes,uncoated,uncoated
modmat,f159,yes,uncoated,uncoated
modmat,f337,yes,uncoated,uncoated
modmat,f679,yes,uncoated,uncoated
modmat,m103,yes,uncoated,uncoated
modmat,m309,yes,uncoated,uncoated
modmat,t284,yes,coated,coated
modmat,t333,yes,coated,coated
modmat,f679,yes,uncoated,uncoated
modmat,f159,yes,uncoated,uncoated
target,r6,no,coated,coated
kmart,g55,no,coated,uncoated
kmart,g55,no,coated,uncoated
tvguide,x753,yes,uncoated,uncoated
kmart,g150,no,uncoated,uncoated
toysrus,x271,no,coated,coated
toysrus,x251,no,coated,coated
walmart,x326,no,coated,coated
walmart,x206,no,coated,coated
target,r9,no,coated,coated
tvguide,x820,yes,uncoated,uncoated
modmat,f337,yes,uncoated,uncoated
modmat,f126,yes,uncoated,uncoated
kmart,g71,no,uncoated,uncoated
casliving,m74,yes,uncoated,uncoated
kmart,g67,no,uncoated,uncoated
kmart,g84,no,uncoated,uncoated
kmart,g150,no,uncoated,uncoated
brendls,x828,no,coated,coated
casliving,m65,yes,uncoated,uncoated
tvguide,x367,yes,uncoated,uncoated
servmerch,t178,yes,uncoated,uncoated
servmerch,t200,yes,uncoated,uncoated
target,r34,no,uncoated,coated
target,r15,no,uncoated,coated
ames,x420,no,coated,coated
ames,x389,no,coated,coated
toysrus,x37,no,coated,coated
toysrus,x771,no,coated,coated
woolwrth,g465,no,coated,coated
tvguide,x185,yes,uncoated,uncoated
kmart,x199,yes,uncoated,uncoated
kmart,x251,yes,uncoated,uncoated
kmart,x199,yes,uncoated,uncoated
ames,g519,no,coated,coated
wards,g459,?,coated,coated
woolworth,g465,no,coated,coated
woolworth,g3,no,coated,coated
ames,g98,no,coated,coated
ames,g625,no,coated,coated
tvguide,x129,yes,uncoated,uncoated
tvguide,x243,yes,uncoated,uncoated
modmat,t281,yes,uncoated,uncoated
hills,g81,no,coated,uncoated
hills,g81,no,coated,uncoated
woolworth,g462,no,coated,coated
hills,g108,no,coated,uncoated
hills,g640,no,coated,uncoated
target,o28,no,coated,coated
target,o21,no,coated,coated
kmart,x127,no,coated,uncoated
kmart,x374,no,coated,uncoated
modmat,f601,yes,uncoated,uncoated
modmat,f601,yes,uncoated,uncoated
brendls,x795,yes,uncoated,uncoated
woolworth,g604,no,coated,coated
woolworth,g5,no,coated,coated
toysrus,w357,no,coated,coated
toysrus,w364,no,coated,coated
jcp,g60,no,coated,uncoated
jcp,g412,no,coated,uncoated
toysrus,w406,no,coated,coated
woolworth,g628,no,coated,coated
toysrus,w395,no,coated,coated
modmat,t281,yes,uncoated,uncoated
modmat,f601,yes,uncoated,uncoated
tvguide,x760,yes,uncoated,uncoated
target,o1,no,coated,uncoated
target,o14,no,coated,uncoated
kmart,x770,no,coated,uncoated
kmart,x766,no,coated,uncoated
tvguide,x001,yes,uncoated,uncoated
lurias,g81,yes,uncoated,uncoated
lurias,g5,yes,uncoated,uncoated
lurias,g5,yes,cover,uncoated
tvguide,x019,yes,uncoated,uncoated
austads,t351,yes,cover,uncoated
eckerds,x304,no,uncoated,coated
sheplers,w30,yes,uncoated,uncoated
guideposts,x220,yes,uncoated,uncoated
guideposts,x809,yes,uncoated,uncoated
abbeypress,m208,no,coated,uncoated
abbeypress,f466,no,coated,uncoated
tvguide,x295,yes,uncoated,uncoated
austads,i010,yes,uncoated,uncoated
sheplers,w785,yes,cover,uncoated
austads,i349,yes,cover,uncoated
austads,i317,yes,cover,uncoated
downs,f219,yes,uncoated,uncoated
austads,i331,yes,uncoated,uncoated
hanoverhse,f121,yes,uncoated,uncoated
hanoverhse,f133,yes,uncoated,uncoated
sheplers,w30,yes,uncoated,uncoated
tvguide,x837,yes,uncoated,uncoated
tvguide,x819,yes,uncoated,uncoated
modmat,b125,yes,uncoated,uncoated
target,r32,no,coated,coated
downs,f372,yes,uncoated,uncoated
target,r1,no,coated,coated
target,r3,no,coated,coated
target,r9,no,coated,coated
ames,x342,no,coated,coated
ames,x242,no,coated,coated
eckerds,x221,no,coated,coated
eckerds,x108,no,coated,coated
eckerds,x80,no,coated,coated
downs,f482,yes,uncoated,uncoated
tvguide,x388,yes,uncoated,uncoated
childcraft,i309,yes,uncoated,uncoated
eckerds,x381,no,coated,coated
childcraft,i303,yes,uncoated,uncoated
abbey,t368,no,coated,uncoated
kmart,y270,no,coated,uncoated
kmart,y228,no,coated,uncoated
abbey,m254,no,coated,uncoated
target,r15,no,coated,coated
target,r43,no,coated,coated
ames,x742,no,coated,coated
ames,x823,no,coated,coated
tvguide,x197,yes,uncoated,uncoated
bestprod,f25,no,coated,uncoated
bestprod,f169,no,coated,uncoated
childcraft,i325,yes,uncoated,uncoated
abbey,f629,no,coated,uncoated
abbey,f321,?,coated,uncoated
sheplers,r18,yes,uncoated,uncoated
toysrus,x408,no,coated,coated
toysrus,x264,no,coated,coated
wards,x201,no,coated,coated
wards,x57,no,coated,coated
roses,x799,no,coated,coated
roses,x753,no,coated,coated
gurney,w90,no,coated,coated
adco,t365,yes,uncoated,uncoated
kmart,y270,no,coated,uncoated
hanoverhouse,t117,yes,uncoated,uncoated
hanoverhouse,t312,yes,uncoated,uncoated
ames,g48,no,coated,coated
wards,t195,no,coated,coated
bestprod,f601,no,coated,uncoated
wards,f98,no,coated,coated
bestprod,i357,no,coated,uncoated
gurney,w92,no,coated,coated
childcraft,i365,yes,cover,uncoated
modmat,i49,yes,uncoated,uncoated
modmat,i49,no,uncoated,uncoated
modmat,i49,yes,uncoated,uncoated
toysrus,g634,no,coated,coated
toysrus,g634,no,coated,coated
toysrus,g69,no,coated,coated
tvguide,x768,yes,uncoated,uncoated
burdines,x13,no,coated,coated
sheplers,r30,yes,uncoated,uncoated
kidsrus,g407,yes,cover,uncoated
uscav,f620,yes,uncoated,uncoated
colortile,x160,no,coated,coated
colortile,x7,yes,coated,coated
childcraft,i324,yes,uncoated,uncoated
sheplers,r6,yes,uncoated,uncoated
uscav,m374,yes,uncoated,uncoated
kmart,aa1,no,coated,uncoated
kmart,aa17,no,coated,uncoated
tvguide,x139,yes,uncoated,uncoated
bestprod,t233,no,coated,uncoated
guideposts,x216,yes,coated,uncoated
kmart,aa43,no,coated,uncoated
penney,j29,no,coated,uncoated
woolworth,x129,no,coated,coated
roses,g648,no,coated,coated
roses,x66,no,coated,coated
roses,g38,no,coated,coated
toysrus,x13,no,coated,coated
target,o5,no,coated,uncoated
target,r38,no,coated,uncoated
cvs,x36,yes,uncoated,uncoated
cvs,x196,yes,uncoated,uncoated
toysrus,x292,no,uncoated,uncoated
target,r25,no,coated,coated
kmart,aa40,?,coated,uncoated
modmat,i347,yes,uncoated,uncoated
homeshop,1351,?,coated,coated
kmart,aa28,?,uncoated,super
hanoverhouse,f131,?,coated,coated
kmart,aa58,?,uncoated,super
kmart,aa45,?,uncoated,super
kmart,aa29,?,uncoated,super
kmart,aa43,?,uncoated,super
homeshopping,i366,?,uncoated,super
bestprod,t31,?,uncoated,super
venture,aa067,?,uncoated,super
homeshop,i25,?,cover,super
homeshop,i400,?,cover,super
modmat,i305,?,coated,coated
target,r32,?,uncoated,super
jfk,w368,?,coated,coated
colorfulimage,t30,?,coated,coated
bestprod,m337,?,cover,super
kmart,aa56,?,uncoated,super
toysrus,g433,?,uncoated,uncoated
eckerds,x799,?,uncoated,uncoated
modmat,i46,?,coated,coated
kmart,y209,?,uncoated,uncoated
kmart,e302,?,uncoated,super
modmat,i311,?,coated,coated
toysrus,t26,?,coated,coated
homeshop,t26,?,coated,coated
toysrus,m272,?,coated,coated
jcp,ee304,?,uncoated,super
walmart,x255,?,uncoated,super
kmart,aa97,?,coated,super
eckerd,e78,?,uncoated,uncoated
eckerd,e38,?,uncoated,uncoated
kmart,aa7,?,uncoated,super
kmart,aa66,?,uncoated,super
best,j44,?,coated,super
kmart,aa58,?,coated,super
kmart,aa70,?,uncoated,super
best,j70,?,uncoated,super
