school/sat.School Name,school/sat.Number of Test Takers,school/sat.Critical Reading Mean,school/sat.Mathematics Mean,school/sat.Writing Mean,DBN
W E B DUBOIS HIGH SCHOOL ,17.0,381.0,344.0,360.0,17K489
HIGH SCHOOL VIOLIN AND DANCE ,26.0,332.0,379.0,337.0,09X543
ADLAI E STEVENSON HIGH SCHOOL ,,,,,08X450
Academy for Scholarship and Entrepreneurship ,37.0,373.0,376.0,362.0,11X270
The Frances Perkins Academy ,,,,,14K632
Urban Assembly School of Music and Art ,59.0,394.0,371.0,371.0,13K350
Community High School Social Justice ,50.0,372.0,351.0,359.0,07X427
Bronx Leadership Academy II High School ,55.0,377.0,381.0,379.0,07X527
"YOUNG ADULT BOROUGH CTR, THOMAS JEFFERS ",,,,,19K431
HIGH SCHOOL OF WORLD CULTURES ,50.0,291.0,333.0,291.0,12X550
BUSHWICK HS FOR SOCIAL JUSTICE ,72.0,363.0,364.0,358.0,32K549
Townsend Harris High School at Queens College ,273.0,637.0,644.0,642.0,25Q525
YOUNG WOMEN'S LEADERSHIP SCH BRONX CMP ,56.0,395.0,407.0,388.0,08X282
International High School @Prospect Hgt ,32.0,302.0,339.0,325.0,17K524
JOHN BOWNE HIGH SCHOOL ,302.0,391.0,423.0,389.0,25Q425
HIGH SCHOOL FOR HLTH CARER/SER ,28.0,385.0,417.0,373.0,06M468
LAFAYETTE HIGH SCHOOL ,40.0,327.0,367.0,315.0,21K400
Clara Barton High School ,282.0,419.0,413.0,411.0,17K600
BRONX COMMUNITY HIGH SCHOOL (X377) ,10.0,416.0,393.0,414.0,08X377
High School of Telecommunication Arts ,221.0,450.0,471.0,440.0,20K485
UNITY HIGH SCHOOL ,31.0,371.0,369.0,368.0,02M500
Humanities and Arts Magnet High School ,45.0,383.0,371.0,370.0,29Q498
NORMAN THOMAS HIGH SCHOOL ,152.0,378.0,387.0,370.0,02M620
George Wood Wingate High School ,,,,,17K470
CENTRAL PARK SECONDARY SCHOOL ,35.0,362.0,378.0,356.0,04M555
George Westinghouse Vocational Technical HS ,87.0,390.0,360.0,373.0,13K605
JOHN F KENNEDY HIGH SCHOOL ,87.0,364.0,375.0,358.0,10X475
HIGH SCHOOL MEDICAL SCIENCES ,98.0,423.0,450.0,435.0,09X413
High School of Hospitality Management ,43.0,397.0,415.0,391.0,02M296
MANHATTAN VILLAGE ACADEMY ,90.0,465.0,479.0,472.0,02M439
NEW YORK CITY MUSEUM SCHOOL ,90.0,454.0,448.0,435.0,02M414
Kingsbridge International High School ,40.0,313.0,316.0,296.0,10X268
BRONX ACADEMY HIGH SCHOOL ,19.0,373.0,354.0,364.0,08X560
NEWTOWN HIGH SCHOOL ,251.0,379.0,427.0,372.0,24Q455
High School for Medical Professions ,,,,,18K633
YABC at Monroe Academy ,11.0,386.0,345.0,388.0,12X428
CHOIR ACADEMY OF HARLEM ,16.0,420.0,369.0,401.0,05M469
NEW DESIGN HIGH SCHOOL ,74.0,390.0,385.0,387.0,02M543
Bedford Stuyvesant Street Academy High School ,20.0,366.0,380.0,362.0,13K575
JAMES MADISON HIGH SCHOOL ,641.0,449.0,478.0,445.0,22K425
BROOKLYN STUDIO SECONDARY SCH ,86.0,426.0,419.0,418.0,21K690
HIGH SCHOOL TEACHING PROFESSNS ,50.0,386.0,385.0,381.0,10X433
YABC at Washington Irving High School ,,,,,02M473
Brooklyn Democracy Academy ,18.0,347.0,371.0,323.0,23K643
YABC AT HARRY S. TRUMAN HIGH SCHOOL ,,,,,11X456
Campus School of the Humanities at Erasmus Hall ,,,,,17K469
Williamsburg High School for Architecture & Design ,44.0,399.0,393.0,367.0,14K558
FLUSHING HIGH SCHOOL ,278.0,372.0,398.0,366.0,25Q460
CMSP HIGH SCHOOL ,,,,,01M509
LYONS COMMUNITY SCHOOL ,,,,,14K586
Young Women's Leadership High School ,,,,,28Q896
MS 293 City College Academy of the Arts ,,,,,06M293
Fannie Lou Hamer Freedom High School ,75.0,333.0,326.0,330.0,12X682
"Queens High School for Information, Research, and Te ",,,,,27Q302
NEW DAY ACADEMY ,24.0,368.0,349.0,358.0,12X245
BRONX SCHOOL OF LAW & FINANCE ,54.0,404.0,397.0,383.0,10X284
Bread & Rose Intergrated Arts High School ,54.0,364.0,378.0,359.0,05M685
INTERNATIONAL ARTS BUSINESS HS ,49.0,392.0,390.0,381.0,17K544
EXPLORATIONS ACADEMY ,34.0,364.0,364.0,344.0,12X251
HARVEY MILK SCHOOL ,11.0,429.0,382.0,416.0,02M586
Jacqueline Kennedy Onassis High School ,88.0,420.0,424.0,398.0,02M529
HIGH SCHOOL HLTH PROF HUMAN ,250.0,446.0,458.0,440.0,02M420
SCHOOL INTERNATIONAL STUDIES ,45.0,402.0,414.0,382.0,15K497
East New York High School of Transit Technology ,184.0,413.0,419.0,403.0,19K615
BRONX ACAD OF HEALTH CAREERS ,46.0,369.0,363.0,380.0,11X290
QUEENS HS FOR SCIENCE YORK COL ,99.0,613.0,650.0,612.0,28Q687
SCHOOL OF THE FUTURE ,79.0,475.0,488.0,466.0,02M413
ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL ,35.0,349.0,329.0,341.0,23K646
Dr Susan S McKinney Secondary School of the Arts ,46.0,387.0,369.0,369.0,13K265
El Puente Academy for Peace and Justice ,16.0,375.0,386.0,394.0,14K685
SCHOOL FOR DEMOCRACY AND LEADERSHIP ,25.0,358.0,378.0,372.0,17K533
Frederick Douglass Academy III Secondary School ,44.0,399.0,414.0,406.0,09X517
FREDERICK DOUGLASS ACADEMY VI ,65.0,393.0,390.0,387.0,27Q260
YABC AT ADLAI STEVENSON HIGH SCHOOL ,,,,,08X507
HIGH SCHOOL FASHION INDUSTRIES ,301.0,419.0,420.0,413.0,02M600
YABC AT HERBERT H. LEHMAN HIGH SCHOOL ,8.0,358.0,343.0,385.0,08X408
Renaissance High School Music Theater T ,47.0,389.0,375.0,375.0,08X293
TOTTENVILLE HIGH SCHOOL ,698.0,459.0,482.0,467.0,31R455
BARD HIGH SCHOOL EARLY COLLEGE ,138.0,630.0,608.0,630.0,01M696
Multicultural High School ,,,,,19K583
LONG ISLAND CITY HIGH SCHOOL ,296.0,418.0,434.0,408.0,30Q450
Chelsea Career and Technical Education High School ,61.0,393.0,412.0,376.0,02M615
SAMUEL J TILDEN HIGH SCHOOL ,42.0,328.0,341.0,338.0,18K415
Urban Assembly School of Design and Construction ,49.0,405.0,446.0,415.0,02M300
Bronx International High School ,37.0,335.0,335.0,340.0,09X403
WASHINGTON IRVING HIGH SCHOOL ,163.0,381.0,385.0,368.0,02M460
BUSINESS COMPUTER APPLICATION ,52.0,388.0,389.0,380.0,29Q496
ROBERT F WAGNER JR SECONDARY ,49.0,420.0,440.0,421.0,24Q560
Bronx High School Performance & Stage ,41.0,383.0,360.0,387.0,12X262
ACADEMY OF HOSPITALITY AND TOURISM ,31.0,400.0,405.0,399.0,17K408
FAR ROCKAWAY HIGH SCHOOL ,31.0,350.0,369.0,360.0,27Q465
ACADEMY OF MEDICAL TECHNOLOGY ,,,,,27Q309
YABC at Franklin D. Roosevelt High School ,33.0,363.0,443.0,369.0,20K658
Urban Assembly School of Law and Justice ,104.0,414.0,415.0,412.0,13K483
NEW WORLD HIGH SCHOOL ,43.0,331.0,384.0,341.0,11X513
BRONX AEROSPACE HIGH SCHOOL ,47.0,393.0,395.0,389.0,11X545
BROOKLYN HS MUSIC AND THEATER ,37.0,385.0,351.0,381.0,17K548
MATH SCIENCE RESEARCH TECH MAG ,59.0,405.0,430.0,405.0,29Q492
School for Legal Studies ,82.0,385.0,390.0,384.0,14K477
Bushwick Leaders High School for Academic Excel ,30.0,357.0,345.0,351.0,32K556
LAW GOVERNMENT SERVICE MAGNET ,60.0,406.0,412.0,391.0,29Q494
SOUTH SHORE HIGH SCHOOL ,29.0,365.0,352.0,336.0,18K515
Liberation Diploma Plus High School ,13.0,402.0,351.0,380.0,21K728
PACIFIC HIGH SCHOOL ,9.0,356.0,352.0,343.0,15K520
ASTOR COLLEGIATE ACADEMY ,38.0,404.0,400.0,388.0,11X299
BRONX SCH LAW GOVMT & JUSTICE ,87.0,413.0,390.0,420.0,09X505
HS of Economics And Finance ,147.0,451.0,503.0,453.0,02M489
Bronx Latin School ,,,,,12X267
DISCOVERY HIGH SCHOOL ,31.0,340.0,340.0,351.0,10X549
VICTORY COLLEGIATE HIGH SCHOOL ,,,,,18K576
HARRY VAN ARSDALE HIGH SCHOOL ,,,,,14K640
HS for Media and Communications-George Washingto ,75.0,366.0,376.0,353.0,06M463
Dual Language and Asian Studies High School ,47.0,416.0,612.0,419.0,02M545
University Neighborhood High School ,60.0,394.0,419.0,387.0,01M448
FOREST HILLS HIGH SCHOOL ,627.0,468.0,491.0,462.0,28Q440
Bushwick High School ,,,,,32K480
Park West High School ,,,,,02M535
MANHATTAN/HUNTER COLL HS SCI ,80.0,481.0,525.0,469.0,03M541
HARRY S TRUMAN HIGH SCHOOL ,201.0,380.0,384.0,379.0,11X455
LEGACY SCH INTEGRATED STUDIES ,31.0,379.0,356.0,354.0,02M429
Brooklyn Secondary Sch for Collaborative Studies ,63.0,385.0,380.0,375.0,15K448
Pan American International High School ,,,,,24Q296
HARLEM RENAISSANCE HIGH SCHOOL ,19.0,402.0,394.0,367.0,05M285
Rachel Carson High School for Coastal Studies ,66.0,422.0,459.0,418.0,21K344
John Jay High School ,9.0,390.0,381.0,398.0,76K460
INDEPENDENCE HIGH SCHOOL ,16.0,404.0,419.0,395.0,02M544
JOHN DEWEY HIGH SCHOOL ,349.0,414.0,465.0,396.0,21K540
"Secondary School for Law, Journalism and Research ",50.0,406.0,409.0,393.0,15K462
BEDFORD ACADEMY HIGH SCHOOL ,50.0,453.0,469.0,441.0,13K595
PACE HIGH SCHOOL ,71.0,424.0,448.0,423.0,02M298
OLYMPUS ACADEMY ,24.0,361.0,365.0,365.0,18K635
Academy of Environment Science Secondary School ,39.0,380.0,385.0,354.0,04M635
BENJAMIN CARDOZO HIGH SCHOOL ,697.0,486.0,551.0,492.0,26Q415
South Brooklyn Community High School ,17.0,387.0,371.0,368.0,15K698
BRONX ENGINEERING & TECH ACADEMY ,36.0,374.0,402.0,364.0,10X213
Academy of Innovative Technology High School ,,,,,19K618
MANHATTAN HIGH SCHOOL - P35M ,,,,,75M035
HERBERT H LEHMAN HIGH SCHOOL ,448.0,414.0,433.0,397.0,08X405
BROOKLYN GENERATION SCHOOL ,,,,,18K566
STATEN ISLAND TECHNICAL HIGH SCHOOL ,287.0,638.0,673.0,617.0,31R605
FRANKLIN K LANE HIGH SCHOOL ,140.0,353.0,379.0,341.0,19K420
Brooklyn High Sch for Leadership Community Svc ,9.0,323.0,281.0,310.0,13K616
Liberty High School Academy for Newcomers ,32.0,343.0,465.0,362.0,02M550
ACADEMY OF FINANCE AND ENTERPRISE ,65.0,407.0,432.0,417.0,24Q264
MANHATTAN BRIDGE HIGH SCHOOL ,31.0,345.0,380.0,325.0,02M542
Information Technology Academy ,56.0,418.0,411.0,398.0,10X368
BRONX THEATER HIGH SCHOOL ,50.0,406.0,389.0,388.0,10X546
PS12X LEWIS AND CLARK SCHOOL ,,,,,75X012
MARBLE HILL SCH INTL STUDIES ,70.0,406.0,429.0,403.0,10X477
WEST BRONX ACADEMY FOR FUTURE ,32.0,365.0,382.0,375.0,10X243
Satellite Academy High School ,16.0,400.0,336.0,376.0,02M570
NEW YORK CITY PUB SCH REP COMP ,32.0,415.0,405.0,397.0,02M531
EDWARD R MURROW HIGH SCHOOL ,686.0,472.0,503.0,468.0,21K525
BROOKLYN TECHNICAL HIGH SCHOOL ,1047.0,588.0,652.0,581.0,13K430
"Enterprise, Business and Technology High School ",80.0,360.0,390.0,354.0,14K478
NYC iSchool ,,,,,02M376
Cultural Academy for the Arts and Sciences ,,,,,18K629
Jonathan Levin HS for Media and Communications ,81.0,347.0,353.0,351.0,09X414
Acorn High School for Social Justice ,34.0,367.0,364.0,364.0,16K498
Grace Dodge Vocational High School ,93.0,380.0,385.0,369.0,10X660
Robert F Kennedy Community High School ,61.0,449.0,471.0,462.0,25Q670
HIGH SCHOOL FOR PUBLIC SERVICE ,83.0,412.0,427.0,420.0,17K546
High School For Law Enforcement And Public Safety ,62.0,408.0,429.0,412.0,28Q690
YABC AT ABRAHAM LINCOLN HIGH SCHOOL ,,,,,21K412/21K411
AUTOMOTIVE HIGH SCHOOL ,73.0,353.0,359.0,340.0,14K610
Kurt Hahn Expeditionary Learning School ,,,,,18K569
MOTT HALL BRONX HIGH SCHOOL ,63.0,395.0,398.0,399.0,09X252
Pablo Neruda Academy Architecture & World Studies ,54.0,359.0,358.0,338.0,08X305
VALIDUS PREPARATORY ACADEMY ,90.0,359.0,347.0,356.0,09X263
EBC High School for Public Service - East New York ,24.0,376.0,358.0,368.0,23K645
High School For Math Science Engineering City Coll ,106.0,592.0,627.0,575.0,05M692
HIGH SCHOOL FOR ARTS/BUSINESS ,127.0,363.0,372.0,363.0,24Q550
Young Women's Leadership School of Astoria ,,,,,04M610
CYPRESS HILLS COLLEGIATE PREPARATORY SCH ,50.0,398.0,402.0,378.0,19K659
METROPOLITAN HIGH SCHOOL ,42.0,340.0,361.0,335.0,12X248
NEW EXPLORERS HIGH SCHOOL ,36.0,382.0,376.0,376.0,07X547
PHOENIX SCHOOL ,7.0,404.0,423.0,416.0,79X490
GRAMERCY ARTS HIGH SCHOOL ,49.0,395.0,376.0,386.0,02M374
YABC AT JOHN F. KENNEDY HIGH SCHOOL ,12.0,389.0,383.0,364.0,10X478
"High School For Arts, Imagination And Inquiry ",57.0,364.0,378.0,357.0,03M299
High School for Law and Public Service ,106.0,388.0,388.0,378.0,06M467
WEST BROOKLYN COMMUNITY HIGH SCHOOL ,11.0,363.0,382.0,381.0,15K529
William E. Grady Vocational Technical High School ,56.0,385.0,393.0,361.0,21K620
NEW DORP HIGH SCHOOL ,282.0,431.0,446.0,434.0,31R440
MS 348 Washington Heights Expeditionary Learning S ,,,,,06M348
