steel/table_0_0.Class,steel/table_0_0.V13,steel/table_0_0.V12,Key_0_0
2,1,0,1505
1,1,0,717
1,1,0,743
1,1,0,1395
1,0,1,636
1,1,0,898
1,1,0,1923
1,1,0,294
1,1,0,758
1,1,0,872
2,1,0,1300
1,0,1,1695
1,0,1,1487
1,1,0,1008
2,0,1,1616
2,0,1,1581
1,1,0,1190
1,0,1,265
1,1,0,1416
1,1,0,1030
2,0,1,1893
1,1,0,1262
1,0,1,699
1,0,1,1588
1,1,0,1657
1,0,1,187
2,1,0,1251
2,1,0,1811
2,1,0,386
1,0,1,764
1,1,0,918
2,1,0,751
2,1,0,803
1,1,0,347
1,0,1,128
2,0,1,183
2,0,1,585
2,1,0,1238
1,0,1,1348
1,1,0,557
2,0,1,1393
2,0,1,525
2,1,0,545
1,0,1,741
1,1,0,882
2,0,1,1817
1,1,0,292
1,1,0,1064
1,1,0,581
1,1,0,791
2,1,0,1532
1,1,0,868
1,1,0,1845
1,1,0,997
2,1,0,280
2,0,1,953
1,1,0,1859
2,1,0,1789
1,0,1,1028
2,1,0,642
1,0,1,568
1,0,1,171
1,1,0,361
1,0,1,1361
1,0,1,1511
2,1,0,897
1,0,1,202
2,1,0,1584
1,1,0,204
2,0,1,1266
2,1,0,297
1,1,0,1917
1,1,0,1272
1,1,0,1358
1,1,0,865
1,1,0,89
1,1,0,589
1,1,0,483
1,0,1,1089
1,1,0,9
2,1,0,1087
1,0,1,1719
1,1,0,1841
2,1,0,248
2,0,1,1731
2,1,0,1315
1,1,0,1889
2,0,1,1324
1,0,1,474
1,1,0,380
1,0,1,720
1,1,0,1305
1,0,1,1635
1,1,0,1618
1,1,0,320
1,0,1,1294
1,1,0,1143
1,0,1,879
2,0,1,594
1,1,0,1024
1,0,1,994
2,0,1,614
2,1,0,1815
2,1,0,859
1,0,1,688
1,0,1,1045
2,1,0,217
1,1,0,262
1,1,0,667
2,0,1,105
1,0,1,818
2,1,0,1911
2,1,0,1882
1,0,1,227
2,0,1,1525
2,0,1,1870
2,1,0,597
2,1,0,710
1,1,0,1500
2,1,0,1592
2,0,1,802
2,1,0,1643
2,0,1,1839
1,0,1,163
2,1,0,1491
2,0,1,579
1,1,0,1716
1,1,0,1785
1,1,0,1113
1,0,1,655
1,1,0,360
1,1,0,99
2,1,0,34
1,1,0,1847
1,1,0,1799
1,1,0,1329
1,1,0,1429
2,1,0,613
1,0,1,1422
1,1,0,1529
1,0,1,1638
2,1,0,166
2,1,0,1302
1,1,0,1501
1,0,1,1448
1,0,1,1791
2,1,0,462
1,0,1,1447
1,1,0,144
1,1,0,316
1,1,0,1019
1,0,1,680
1,1,0,1576
2,1,0,1598
1,1,0,311
2,1,0,1665
2,0,1,1226
1,0,1,1317
1,0,1,1186
1,1,0,223
1,1,0,60
2,1,0,1035
1,0,1,567
1,0,1,1843
1,0,1,1732
2,1,0,1239
2,0,1,66
2,0,1,995
1,1,0,1777
1,1,0,1599
1,1,0,875
1,1,0,73
1,0,1,1902
1,1,0,1309
2,1,0,58
1,1,0,543
1,1,0,228
2,1,0,1020
1,1,0,290
2,1,0,993
2,1,0,1046
2,0,1,1125
1,0,1,1286
2,0,1,1609
1,1,0,1380
1,1,0,1591
2,0,1,482
2,1,0,1091
1,0,1,961
1,1,0,549
2,1,0,32
2,1,0,1535
2,0,1,828
1,0,1,295
1,1,0,562
1,0,1,946
2,1,0,862
2,0,1,1353
1,0,1,74
1,1,0,809
2,1,0,1693
1,0,1,354
2,0,1,648
1,1,0,1652
2,1,0,1749
1,0,1,343
1,1,0,1293
2,1,0,1840
1,1,0,451
1,0,1,1345
2,1,0,1001
2,1,0,52
1,0,1,1297
2,0,1,1768
2,0,1,57
2,0,1,139
1,1,0,1561
1,1,0,1433
1,1,0,656
1,1,0,848
2,1,0,31
2,0,1,913
2,1,0,1306
2,1,0,1363
1,1,0,1506
1,1,0,1378
1,0,1,1335
1,1,0,765
1,1,0,1628
1,1,0,1394
1,1,0,1764
1,0,1,639
2,1,0,942
1,1,0,766
2,0,1,768
1,1,0,1772
2,0,1,78
1,0,1,1002
1,1,0,268
1,1,0,580
1,0,1,1779
1,1,0,1554
1,1,0,896
1,1,0,1620
1,1,0,424
2,0,1,1558
1,0,1,336
2,1,0,70
2,1,0,1133
2,1,0,1595
2,0,1,1120
1,1,0,921
2,1,0,962
2,1,0,143
1,0,1,252
1,0,1,448
1,1,0,1654
2,0,1,1721
2,1,0,601
1,0,1,371
1,1,0,1485
2,0,1,1104
2,1,0,455
1,0,1,119
2,1,0,210
1,0,1,391
1,1,0,1538
2,1,0,907
1,1,0,1408
2,1,0,1000
2,0,1,1432
1,1,0,71
2,1,0,38
1,0,1,1005
2,1,0,1172
1,1,0,1735
1,0,1,1256
1,1,0,934
2,1,0,1145
1,0,1,1420
1,0,1,1571
1,0,1,926
1,1,0,434
1,1,0,1220
2,0,1,1565
1,1,0,112
1,1,0,1376
2,1,0,1142
1,0,1,423
2,0,1,972
1,1,0,1518
2,1,0,817
1,1,0,377
1,1,0,491
1,1,0,338
1,0,1,605
1,0,1,1312
1,0,1,1466
1,1,0,816
1,0,1,808
1,1,0,196
1,1,0,1068
1,1,0,1898
2,1,0,690
1,1,0,1718
1,1,0,467
1,1,0,1503
1,0,1,633
1,1,0,1105
1,1,0,598
1,0,1,1455
1,1,0,1224
1,0,1,1590
1,1,0,1702
2,0,1,1225
1,0,1,671
2,1,0,796
2,1,0,1298
2,0,1,466
1,1,0,0
1,1,0,359
1,0,1,219
1,0,1,109
1,0,1,1670
1,1,0,829
2,0,1,526
2,0,1,470
1,1,0,1032
1,1,0,1175
2,1,0,1892
2,0,1,1831
1,1,0,1325
2,1,0,29
1,0,1,1440
1,1,0,267
2,0,1,578
1,0,1,82
2,0,1,1241
1,0,1,1423
2,0,1,966
1,0,1,1229
1,1,0,1139
2,1,0,831
2,0,1,16
1,0,1,1428
1,1,0,563
1,1,0,1288
1,1,0,804
1,1,0,1362
1,0,1,1641
1,0,1,554
2,1,0,981
1,1,0,1869
2,1,0,1465
2,0,1,501
2,1,0,887
2,1,0,1357
2,0,1,1660
1,0,1,577
1,1,0,1807
1,1,0,1483
1,0,1,1759
2,0,1,839
1,1,0,64
2,0,1,1659
1,1,0,170
1,1,0,1478
1,1,0,967
1,1,0,1780
1,1,0,1526
2,1,0,724
1,1,0,1832
1,1,0,54
1,0,1,92
1,0,1,1093
1,0,1,1577
1,0,1,158
2,1,0,1174
2,0,1,33
2,0,1,624
2,0,1,672
2,1,0,1673
1,0,1,1079
1,1,0,146
1,0,1,969
1,1,0,1751
2,1,0,833
1,1,0,480
2,1,0,1242
1,1,0,1136
1,0,1,1636
1,0,1,781
1,1,0,1880
1,1,0,1703
2,0,1,1771
1,1,0,1066
1,1,0,1021
1,0,1,611
1,0,1,236
1,0,1,412
1,1,0,1253
1,0,1,513
2,1,0,638
1,1,0,77
1,1,0,1097
1,1,0,1763
1,0,1,661
2,1,0,155
1,0,1,1821
1,0,1,575
1,1,0,1059
1,1,0,1392
2,1,0,558
1,1,0,1655
1,0,1,1248
2,1,0,1287
1,0,1,98
1,1,0,1496
1,1,0,395
1,0,1,1586
1,1,0,1330
1,0,1,1600
1,1,0,659
1,1,0,1521
1,1,0,866
2,1,0,1017
1,1,0,1482
1,0,1,1037
2,0,1,1092
2,0,1,1108
1,1,0,922
2,1,0,1669
1,0,1,133
1,0,1,964
1,1,0,85
1,0,1,1084
2,1,0,985
1,0,1,945
2,1,0,1637
1,0,1,366
1,1,0,1331
1,0,1,1885
1,0,1,924
1,0,1,1826
1,1,0,348
1,1,0,84
2,0,1,1611
2,1,0,1842
1,1,0,834
1,1,0,856
2,1,0,1065
1,1,0,1649
2,1,0,288
1,1,0,1921
1,0,1,1527
2,1,0,1903
2,0,1,1442
2,1,0,36
1,1,0,1729
1,1,0,1177
2,1,0,915
2,0,1,237
1,1,0,1165
1,0,1,342
1,0,1,453
2,1,0,28
2,0,1,1603
2,1,0,825
2,1,0,1123
1,0,1,61
1,1,0,1802
1,0,1,1162
1,1,0,1608
2,1,0,691
2,1,0,1388
2,0,1,694
1,1,0,728
1,1,0,478
1,1,0,1026
2,0,1,535
1,1,0,1056
2,1,0,1803
2,1,0,1107
2,0,1,459
2,1,0,390
2,1,0,1867
2,1,0,224
1,1,0,823
1,1,0,1468
1,1,0,1462
1,1,0,774
2,1,0,707
2,1,0,822
1,1,0,522
1,1,0,1757
1,0,1,608
2,0,1,523
2,1,0,402
2,0,1,1816
1,1,0,1472
1,0,1,1582
1,0,1,528
1,0,1,843
2,1,0,269
2,1,0,512
2,1,0,620
1,0,1,1830
1,1,0,1848
2,0,1,1723
1,0,1,1278
1,1,0,1375
1,0,1,1425
1,0,1,718
2,1,0,1589
1,0,1,1346
1,1,0,206
1,0,1,1814
1,1,0,408
1,0,1,259
2,0,1,714
1,1,0,266
1,0,1,327
2,1,0,1316
1,1,0,949
1,0,1,651
2,1,0,737
1,0,1,341
2,1,0,458
1,1,0,1694
1,1,0,1117
2,1,0,870
1,1,0,102
1,0,1,1596
1,1,0,889
1,1,0,1222
2,0,1,370
1,0,1,1398
1,1,0,1397
1,0,1,1314
2,1,0,936
1,0,1,1350
1,0,1,27
1,1,0,1004
1,1,0,1197
2,0,1,1906
1,1,0,1101
1,0,1,86
1,0,1,10
1,1,0,65
1,1,0,1714
1,1,0,1332
1,1,0,1908
1,1,0,541
1,1,0,250
2,1,0,307
1,1,0,125
1,1,0,441
1,1,0,221
2,1,0,100
1,1,0,1849
1,0,1,607
1,1,0,628
1,0,1,1159
2,1,0,1206
1,1,0,1438
1,0,1,422
1,1,0,901
1,1,0,1740
1,0,1,761
1,0,1,362
2,1,0,1698
1,1,0,1135
2,0,1,301
2,1,0,439
2,1,0,1812
1,1,0,1776
1,1,0,1850
1,1,0,855
1,1,0,1552
1,0,1,1786
2,0,1,976
2,0,1,975
2,1,0,845
1,1,0,731
2,1,0,1245
2,1,0,1940
1,1,0,11
1,1,0,1379
2,0,1,411
1,1,0,1077
2,0,1,1677
1,0,1,1283
2,1,0,1140
1,0,1,417
2,1,0,1612
1,1,0,382
1,1,0,700
1,0,1,1933
1,0,1,1784
1,1,0,1795
2,0,1,293
2,1,0,1497
1,1,0,94
1,1,0,1916
1,1,0,742
2,0,1,644
1,1,0,754
2,1,0,1891
2,1,0,489
1,1,0,270
2,1,0,698
2,0,1,590
2,1,0,1269
1,0,1,971
1,1,0,735
1,1,0,1233
2,1,0,174
2,1,0,479
1,0,1,83
1,1,0,917
1,1,0,544
1,1,0,1689
1,0,1,938
2,1,0,736
1,1,0,1682
1,1,0,807
1,1,0,940
1,1,0,495
1,0,1,272
1,1,0,1857
2,1,0,1131
1,0,1,1054
1,0,1,12
1,1,0,1888
2,1,0,50
2,0,1,177
2,0,1,904
2,1,0,484
2,0,1,1464
1,1,0,5
2,0,1,779
1,1,0,987
1,0,1,1134
1,0,1,999
1,0,1,232
2,1,0,1365
1,0,1,1871
1,1,0,1469
1,1,0,687
1,0,1,542
1,1,0,357
2,1,0,1658
1,1,0,1351
2,1,0,1578
1,0,1,693
1,1,0,777
1,0,1,1794
1,1,0,406
1,1,0,485
1,1,0,1508
1,1,0,1626
1,0,1,1711
1,1,0,1426
1,0,1,1720
2,0,1,1255
1,1,0,1851
1,1,0,369
1,0,1,305
1,0,1,1563
1,0,1,1557
1,1,0,1385
1,1,0,324
1,0,1,442
2,0,1,1699
1,1,0,1499
1,0,1,1291
1,1,0,657
2,1,0,421
1,1,0,941
2,0,1,1209
1,1,0,1783
1,0,1,1407
1,0,1,1656
1,0,1,46
1,0,1,1128
1,1,0,1733
1,1,0,1356
1,0,1,1371
1,1,0,1285
1,1,0,257
1,1,0,723
1,1,0,500
1,1,0,81
2,1,0,298
1,1,0,1715
1,1,0,1489
1,1,0,794
1,0,1,68
1,0,1,4
1,1,0,211
1,0,1,586
1,0,1,516
2,1,0,511
1,0,1,947
1,1,0,980
1,0,1,449
1,1,0,243
1,1,0,353
1,1,0,970
2,1,0,1144
1,1,0,222
2,1,0,344
1,1,0,374
1,0,1,1769
1,0,1,1179
1,1,0,172
1,1,0,813
1,1,0,1890
1,0,1,1634
1,1,0,1813
2,1,0,564
1,1,0,697
2,1,0,1516
1,1,0,958
1,1,0,1237
1,0,1,18
2,0,1,461
1,0,1,413
1,0,1,1411
2,1,0,715
2,0,1,1406
2,0,1,844
1,1,0,702
1,0,1,1171
1,1,0,1047
1,0,1,147
2,0,1,110
1,0,1,1894
1,0,1,1678
1,1,0,1374
2,0,1,1281
1,1,0,1752
1,0,1,346
2,1,0,1386
2,1,0,883
1,1,0,979
1,1,0,1185
2,0,1,788
2,0,1,156
1,1,0,136
1,1,0,180
1,0,1,853
2,1,0,1550
1,0,1,903
2,1,0,950
1,1,0,627
1,1,0,540
1,1,0,1182
2,0,1,186
1,1,0,72
2,0,1,1736
1,0,1,230
1,1,0,337
1,0,1,1419
1,1,0,1872
2,1,0,403
2,0,1,239
1,1,0,1086
2,0,1,646
1,0,1,1706
2,1,0,1124
1,1,0,1313
1,1,0,604
1,0,1,1310
1,1,0,622
1,0,1,932
1,1,0,1184
2,0,1,587
1,0,1,465
1,1,0,1602
1,1,0,747
1,1,0,641
2,0,1,1633
1,0,1,410
2,1,0,1663
2,0,1,59
2,1,0,1861
1,0,1,1530
1,1,0,1352
1,1,0,1127
1,1,0,763
1,0,1,1865
1,0,1,519
1,1,0,1343
1,0,1,649
1,0,1,48
2,1,0,1436
2,1,0,1344
1,1,0,1924
1,0,1,863
1,0,1,1164
1,0,1,1204
1,1,0,635
1,0,1,1727
2,1,0,900
1,0,1,1382
1,1,0,1081
1,1,0,1366
1,1,0,689
2,0,1,1490
2,1,0,1033
1,0,1,931
1,0,1,878
1,1,0,87
1,1,0,1221
2,1,0,1319
1,1,0,1052
1,1,0,609
1,1,0,1183
1,1,0,1717
1,0,1,1827
1,1,0,199
2,1,0,331
2,0,1,621
2,1,0,1112
2,0,1,1622
2,1,0,440
2,0,1,914
1,1,0,677
1,1,0,1211
1,0,1,240
1,1,0,695
2,1,0,1271
1,1,0,1116
2,1,0,669
1,0,1,892
1,1,0,44
1,0,1,739
1,0,1,75
2,0,1,1877
1,1,0,115
1,0,1,762
1,1,0,595
2,1,0,1632
1,1,0,790
1,1,0,1413
1,0,1,1560
1,0,1,1645
1,1,0,1196
2,1,0,216
1,1,0,165
2,0,1,1247
2,1,0,215
1,1,0,1805
1,0,1,1151
1,0,1,1340
1,1,0,1018
1,1,0,1680
1,1,0,555
2,0,1,847
1,0,1,727
1,1,0,1427
2,0,1,3
1,1,0,1424
1,0,1,1674
2,1,0,176
2,0,1,405
1,1,0,1901
1,1,0,965
1,1,0,1158
1,1,0,1672
1,0,1,472
2,0,1,1038
2,1,0,1359
1,0,1,1210
1,0,1,350
2,1,0,814
1,0,1,1176
1,0,1,1082
1,0,1,1095
1,1,0,1642
1,0,1,1864
1,1,0,121
1,0,1,1370
1,1,0,1208
1,1,0,1709
1,1,0,692
1,0,1,1163
1,1,0,1862
2,1,0,289
2,0,1,957
1,0,1,582
2,0,1,532
2,0,1,1741
2,0,1,398
1,0,1,799
1,0,1,884
1,0,1,1679
1,1,0,463
2,1,0,1662
1,1,0,1708
1,0,1,888
1,0,1,566
1,0,1,1774
1,0,1,952
1,0,1,1692
2,1,0,233
2,0,1,1742
2,1,0,1907
1,0,1,1630
2,0,1,1509
1,1,0,1296
1,1,0,1212
1,1,0,676
1,1,0,616
1,0,1,184
1,0,1,310
2,0,1,537
1,1,0,1044
1,1,0,1414
1,0,1,1707
1,0,1,1585
2,1,0,1825
2,1,0,783
2,1,0,1223
1,1,0,785
1,0,1,1355
2,1,0,1551
1,1,0,363
2,0,1,527
2,0,1,1536
1,0,1,1273
1,1,0,1734
2,1,0,815
1,1,0,325
2,0,1,776
2,1,0,8
1,1,0,1572
2,1,0,1887
1,1,0,1610
1,0,1,1564
1,0,1,226
1,1,0,1318
1,1,0,334
1,1,0,1688
2,0,1,1122
2,1,0,1284
1,1,0,446
1,1,0,433
1,1,0,1049
1,1,0,1110
2,1,0,886
1,1,0,1132
1,1,0,798
1,1,0,1806
2,0,1,1737
1,1,0,45
1,1,0,1075
2,0,1,515
1,1,0,770
1,1,0,1205
2,1,0,665
2,0,1,1544
1,1,0,1265
1,1,0,704
2,1,0,874
2,1,0,494
1,1,0,684
1,1,0,534
1,0,1,1463
1,0,1,1852
1,1,0,1347
2,1,0,13
1,1,0,212
2,0,1,675
2,1,0,674
1,1,0,1337
1,1,0,260
1,0,1,477
1,0,1,877
2,1,0,131
1,0,1,225
1,1,0,1076
2,0,1,1793
1,0,1,1062
1,1,0,140
2,1,0,1154
1,0,1,1913
1,1,0,1579
2,1,0,1476
1,1,0,1844
1,1,0,1739
1,0,1,1389
2,0,1,1834
2,1,0,1412
1,1,0,1078
1,1,0,559
1,1,0,1036
2,1,0,1580
2,1,0,1746
2,0,1,1334
1,1,0,1200
1,1,0,1040
1,1,0,475
1,0,1,1194
1,0,1,1809
1,0,1,1748
2,1,0,664
1,0,1,1553
2,0,1,782
1,1,0,431
1,0,1,1761
1,0,1,673
1,1,0,1513
2,1,0,756
2,0,1,122
1,1,0,330
2,1,0,746
1,0,1,1439
1,0,1,154
1,1,0,1446
2,0,1,1118
2,1,0,394
1,1,0,1593
1,1,0,6
1,1,0,795
1,0,1,129
2,1,0,188
2,0,1,385
1,0,1,114
1,1,0,1240
1,1,0,959
1,0,1,840
1,1,0,220
1,1,0,1070
1,1,0,1868
1,1,0,1775
2,1,0,1914
2,1,0,499
2,0,1,1562
1,0,1,753
1,1,0,539
1,1,0,253
1,1,0,625
2,1,0,989
1,1,0,152
1,0,1,679
1,1,0,116
1,1,0,682
2,1,0,1523
1,1,0,148
1,1,0,615
1,0,1,1704
1,1,0,571
1,0,1,869
1,1,0,769
1,0,1,1484
1,0,1,708
2,0,1,1417
2,1,0,76
1,0,1,304
1,1,0,1115
1,1,0,1341
1,0,1,1548
2,0,1,873
1,1,0,827
1,0,1,630
2,0,1,1053
1,0,1,1823
2,1,0,916
2,1,0,420
1,1,0,19
1,0,1,487
1,1,0,752
1,0,1,1090
2,0,1,826
1,0,1,145
2,1,0,1199
2,1,0,238
1,0,1,1874
1,1,0,982
1,0,1,1025
1,0,1,1800
1,1,0,200
1,0,1,572
2,1,0,1878
1,1,0,1604
1,0,1,1486
2,0,1,726
1,1,0,570
1,0,1,733
1,1,0,1537
1,1,0,1257
1,1,0,591
1,1,0,425
1,1,0,476
1,0,1,1796
1,1,0,329
1,1,0,1575
1,1,0,1441
1,0,1,1833
1,1,0,1061
2,1,0,1138
1,1,0,415
1,0,1,1126
1,1,0,56
1,1,0,291
1,0,1,17
1,0,1,1900
1,0,1,991
2,0,1,1198
1,1,0,498
1,1,0,1354
2,1,0,786
1,1,0,367
1,0,1,1522
1,0,1,1568
1,1,0,1383
2,1,0,182
1,1,0,1161
1,1,0,885
2,1,0,960
1,1,0,1246
2,1,0,389
1,1,0,1231
1,1,0,404
2,1,0,894
2,0,1,1614
2,1,0,1569
1,0,1,1615
1,1,0,650
2,1,0,1819
1,0,1,1570
1,0,1,1057
1,0,1,1467
2,0,1,274
2,0,1,276
1,1,0,101
1,0,1,1192
1,0,1,218
1,1,0,939
2,1,0,1058
2,1,0,744
2,0,1,319
2,1,0,1088
1,1,0,322
2,1,0,1691
1,0,1,229
1,1,0,1909
1,0,1,1504
1,1,0,1778
1,1,0,1022
1,1,0,1349
2,0,1,1836
1,0,1,1321
2,1,0,1461
1,1,0,632
2,1,0,1661
1,1,0,1213
2,1,0,1541
1,0,1,560
2,0,1,473
2,1,0,340
1,0,1,905
2,1,0,912
1,0,1,536
1,1,0,1648
2,0,1,1275
1,0,1,1307
1,1,0,1790
2,1,0,1605
1,1,0,37
2,0,1,303
2,1,0,1743
1,0,1,706
1,1,0,1250
1,1,0,1156
1,0,1,1279
2,1,0,1276
1,1,0,141
2,1,0,426
2,1,0,1369
1,1,0,1919
2,0,1,984
1,1,0,123
2,1,0,712
1,0,1,662
1,0,1,629
2,0,1,1006
2,1,0,234
2,0,1,561
2,1,0,1023
2,1,0,393
1,1,0,164
1,0,1,1540
1,0,1,1409
1,0,1,286
1,1,0,1146
2,1,0,328
1,1,0,1232
1,0,1,1299
1,0,1,63
2,1,0,678
2,1,0,1148
1,1,0,384
1,1,0,1493
1,1,0,383
2,0,1,1474
1,1,0,312
2,0,1,1728
2,0,1,150
1,1,0,1203
2,1,0,40
1,0,1,1254
1,0,1,895
1,0,1,1014
1,1,0,1712
2,0,1,520
1,0,1,1488
2,1,0,711
1,1,0,1863
2,0,1,93
1,1,0,207
1,0,1,1401
2,1,0,1724
1,0,1,1629
1,1,0,547
1,0,1,1938
2,1,0,653
1,0,1,1106
2,1,0,1201
1,1,0,1471
2,1,0,524
2,1,0,396
1,1,0,858
1,1,0,569
2,1,0,920
1,0,1,1929
2,1,0,1437
2,0,1,821
1,0,1,1932
1,1,0,1147
1,1,0,287
2,1,0,851
2,1,0,509
1,1,0,864
1,0,1,283
1,1,0,167
2,0,1,387
1,0,1,640
1,1,0,1559
2,1,0,321
2,0,1,254
1,1,0,1169
1,0,1,364
2,1,0,2
1,1,0,1573
2,0,1,1157
1,1,0,14
2,0,1,1690
1,0,1,1295
1,0,1,1854
1,0,1,1668
1,1,0,42
1,1,0,1452
1,1,0,23
2,0,1,686
1,1,0,530
1,0,1,1435
2,0,1,824
1,0,1,1168
1,0,1,306
1,0,1,55
2,1,0,592
1,1,0,1181
1,1,0,1939
1,0,1,1214
1,0,1,909
2,1,0,507
1,0,1,930
1,0,1,419
2,0,1,1039
2,1,0,612
2,0,1,1274
1,0,1,1895
2,0,1,1193
2,0,1,493
1,1,0,1927
2,1,0,1567
1,1,0,1904
2,1,0,1444
1,0,1,1390
1,1,0,201
1,0,1,1311
1,1,0,124
1,1,0,832
2,0,1,277
1,0,1,937
2,1,0,1681
2,0,1,701
2,1,0,1528
2,0,1,407
2,0,1,1920
2,0,1,1258
2,1,0,1434
2,0,1,333
1,1,0,805
2,1,0,1787
1,1,0,1905
1,0,1,1323
2,0,1,977
2,0,1,1822
2,1,0,1667
2,1,0,871
1,1,0,1326
2,1,0,308
1,0,1,773
2,1,0,1804
2,1,0,666
1,0,1,1587
1,1,0,1055
2,0,1,610
2,1,0,496
1,1,0,1515
2,0,1,1270
2,0,1,349
1,1,0,1675
1,1,0,1280
1,1,0,1896
2,1,0,1308
2,1,0,1824
2,0,1,62
1,1,0,1261
2,0,1,1215
1,0,1,285
2,1,0,326
2,0,1,652
2,1,0,1377
2,0,1,861
2,1,0,1886
2,0,1,1726
2,1,0,314
2,1,0,1327
2,0,1,193
1,1,0,345
1,1,0,1029
1,0,1,573
2,1,0,1517
1,1,0,103
1,1,0,911
1,1,0,1189
1,1,0,893
1,0,1,1700
2,1,0,497
1,0,1,175
1,1,0,1152
1,0,1,1701
1,1,0,376
1,1,0,1884
2,0,1,460
1,1,0,683
2,0,1,1828
2,0,1,812
1,1,0,161
1,1,0,1926
1,0,1,137
1,1,0,1191
1,0,1,1725
1,1,0,192
1,1,0,1475
2,1,0,1765
2,1,0,1631
2,1,0,1646
1,0,1,1460
2,0,1,111
1,0,1,548
1,0,1,1
1,1,0,1566
1,1,0,1235
1,1,0,299
1,1,0,271
1,1,0,1495
2,1,0,1360
1,1,0,151
1,0,1,1102
1,1,0,91
2,1,0,1333
1,1,0,553
2,1,0,275
1,0,1,205
2,0,1,1007
1,1,0,602
1,1,0,1339
1,1,0,502
1,1,0,488
2,0,1,26
2,1,0,1918
1,1,0,452
1,1,0,681
1,0,1,1303
1,0,1,990
1,0,1,273
1,1,0,574
1,0,1,928
1,0,1,1153
1,0,1,518
1,1,0,1875
1,0,1,427
1,0,1,1881
2,1,0,1624
2,1,0,1925
1,1,0,256
1,0,1,1606
1,1,0,705
2,1,0,1502
1,1,0,734
1,1,0,842
2,1,0,409
1,0,1,645
1,1,0,1647
2,1,0,505
1,1,0,1041
1,0,1,757
2,0,1,41
1,1,0,948
1,0,1,1855
1,1,0,787
1,0,1,1454
1,0,1,974
1,1,0,1173
1,1,0,135
1,0,1,1373
1,1,0,1244
1,0,1,902
1,1,0,631
1,1,0,643
1,1,0,1684
1,1,0,603
2,1,0,775
1,1,0,1421
2,1,0,117
1,0,1,988
2,1,0,378
1,0,1,935
2,0,1,696
2,0,1,365
2,1,0,749
1,1,0,583
2,1,0,142
1,1,0,1410
1,0,1,899
1,0,1,852
1,0,1,588
1,0,1,416
2,0,1,1470
1,1,0,1531
1,1,0,1160
1,1,0,1187
2,1,0,1549
2,1,0,443
2,0,1,1219
1,1,0,127
1,1,0,835
2,0,1,1367
1,0,1,1042
1,0,1,1268
2,0,1,445
2,0,1,596
1,1,0,1683
1,0,1,750
1,1,0,1404
1,1,0,457
1,1,0,1899
2,0,1,249
2,0,1,1396
2,1,0,7
2,1,0,438
1,1,0,1829
2,1,0,944
1,0,1,1607
1,1,0,1846
2,0,1,255
1,1,0,1617
1,0,1,1498
1,1,0,1512
1,0,1,1625
1,1,0,1418
1,1,0,797
2,1,0,772
1,0,1,1766
1,1,0,132
1,1,0,1103
1,1,0,244
2,1,0,983
2,1,0,1722
1,0,1,302
2,1,0,118
1,0,1,1738
1,0,1,819
2,1,0,919
1,1,0,1328
2,0,1,576
1,1,0,429
1,0,1,504
1,0,1,190
2,0,1,160
1,1,0,954
1,1,0,447
2,1,0,1666
2,1,0,1051
1,1,0,113
1,1,0,39
1,1,0,213
2,0,1,264
1,1,0,1180
1,1,0,1555
1,0,1,619
1,1,0,1372
2,1,0,1402
1,1,0,1048
1,0,1,67
1,0,1,1150
1,0,1,1119
1,0,1,300
1,1,0,1594
1,1,0,857
2,0,1,838
2,1,0,1524
1,1,0,891
1,1,0,1792
2,1,0,1259
2,1,0,908
1,1,0,1912
2,1,0,388
1,1,0,214
1,1,0,986
2,1,0,951
1,1,0,933
2,1,0,1664
1,1,0,1623
1,1,0,850
1,1,0,189
1,1,0,1650
2,0,1,1640
1,0,1,1073
2,1,0,372
1,1,0,1574
1,1,0,1277
2,1,0,168
1,1,0,313
2,1,0,450
1,1,0,1430
